vul_id,repo,fixed_commit_sha,target_file,target_func,judgement,comment,vuln_type,CWE,patch_file,patch_func
CVE-2020-20448,FFmpeg/FFmpeg,8802e329c8317ca5ceb929df48a23eb0f9e852b2,libavcodec/motion_est.c,ff_pre_estimate_p_frame_motion,TP,,Integer Overflow,CWE-369,libavcodec/snowenc.c,encode_q_branch
CVE-2020-20450,FFmpeg/FFmpeg,3865b1952e5cf993b016d83ba78fe1deb63bbfad,libavformat/matroskadec.c,matroska_parse_content_encodings,FP,,Null Pointer Dereference,CWE-476,libavformat/mxfenc.c,mxf_parse_h264_frame
CVE-2020-20891,FFmpeg/FFmpeg,64a805883d7223c868a683f0030837d859edd2ab,libavfilter/vf_hqdn3d.c,config_input,FP,,Buffer Overflow,CWE-120,libavfilter/vf_gblur.c,config_input
CVE-2020-20891,FFmpeg/FFmpeg,64a805883d7223c868a683f0030837d859edd2ab,libavfilter/avf_showcqt.c,config_output,FP,,Buffer Overflow,CWE-120,libavfilter/vf_gblur.c,config_input
CVE-2020-20891,FFmpeg/FFmpeg,64a805883d7223c868a683f0030837d859edd2ab,libavfilter/af_loudnorm.c,config_input,FP,,Buffer Overflow,CWE-120,libavfilter/vf_gblur.c,config_input
CVE-2020-22031,FFmpeg/FFmpeg,fd8b08ebbb27e841fd5527e4b800ab3738216e9d,libavfilter/vf_yaepblur.c,config_input,FP,,Buffer Overflow,CWE-787,libavfilter/vf_w3fdif.c,config_input
CVE-2020-22031,FFmpeg/FFmpeg,fd8b08ebbb27e841fd5527e4b800ab3738216e9d,libavfilter/vf_stereo3d.c,config_output,TP,很容易触发好像,Buffer Overflow,CWE-787,libavfilter/vf_w3fdif.c,config_input
CVE-2020-22038,FFmpeg/FFmpeg,7c32e9cf93b712f8463573a59ed4e98fd10fa013,libavcodec/v4l2_m2m.c,v4l2_m2m_destroy_context,FP,,Memory Leak,CWE-401,libavcodec/v4l2_m2m_dec.c,v4l2_decode_close
CVE-2020-22040,FFmpeg/FFmpeg,1a0c584abc9709b1d11dbafef05d22e0937d7d19,libavfilter/vf_stack.c,uninit,FP,,Memory Leak,CWE-401,libavfilter/f_reverse.c,uninit
CVE-2020-22048,FFmpeg/FFmpeg,64d2e0b20066058cf1c6dc3c49adab6d18d66fcc,libavfilter/avf_showvolume.c,filter_frame,FP,,Memory Leak,CWE-401,libavfilter/vf_colorspace.c,filter_frame
