vul_id,repo,fixed_commit_sha
CVE-2020-20448,FFmpeg/FFmpeg,8802e329c8317ca5ceb929df48a23eb0f9e852b2
CVE-2020-22031,FFmpeg/FFmpeg,fd8b08ebbb27e841fd5527e4b800ab3738216e9d
CVE-2020-22040,FFmpeg/FFmpeg,1a0c584abc9709b1d11dbafef05d22e0937d7d19
CVE-2020-24020,FFmpeg/FFmpeg,584f396132aa19d21bb1e38ad9a5d428869290cb
CVE-2018-8788,FreeRDP/FreeRDP,d1112c279bd1a327e8e4d0b5f371458bf2579659
CVE-2020-11048,FreeRDP/FreeRDP,9301bfe730c66180263248b74353daa99f5a969b
CVE-2020-11098,FreeRDP/FreeRDP,c0fd449ec0870b050d350d6d844b1ea6dad4bc7d
CVE-2024-32661,FreeRDP/FreeRDP,71e463e31b4d69f4022d36bfc814592f56600793
CVE-2016-10065,ImageMagick/ImageMagick,134463b926fa965571aa4febd61b810be5e7da05
CVE-2017-14175,ImageMagick/ImageMagick,d9a8234d211da30baf9526fbebe9a8438ea7e11c
CVE-2018-16642,ImageMagick/ImageMagick,cc4ac341f29fa368da6ef01c207deaf8c61f6a2e
CVE-2020-10251,ImageMagick/ImageMagick,868aad754ee599eb7153b84d610f2ecdf7b339f6
CVE-2020-25666,ImageMagick/ImageMagick,94691f00839dbdf43edb1508af945ab19b388573
CVE-2020-25675,ImageMagick/ImageMagick,64dc80b2e1907f7f20bf34d4df9483f938b0de71
CVE-2020-27756,ImageMagick/ImageMagick,f35eca82b0c294ff9d0ccad104a881c3ae2ba913
CVE-2020-27759,ImageMagick/ImageMagick,d44f8a35558951a21367d306a42e5a097f3a43fe
CVE-2020-27771,ImageMagick/ImageMagick,872ffe6d0131beec8b47568a4874ffaca91a872e
CVE-2020-27829,ImageMagick/ImageMagick,6ee5059cd3ac8d82714a1ab1321399b88539abf0
CVE-2021-20224,ImageMagick/ImageMagick,5af1dffa4b6ab984b5f13d1e91c95760d75f12a6
CVE-2021-20245,ImageMagick/ImageMagick,ffb683e62ddedc6436a1b88388eb690d7ca57bf2
CVE-2022-0284,ImageMagick/ImageMagick,e50f19fd73c792ebe912df8ab83aa51a243a3da7
CVE-2022-1115,ImageMagick/ImageMagick,c8718305f120293d8bf13724f12eed885d830b09
CVE-2022-28463,ImageMagick/ImageMagick,ca3654ebf7a439dc736f56f083c9aa98e4464b7f
CVE-2022-3213,ImageMagick/ImageMagick,30ccf9a0da1f47161b5935a95be854fe84e6c2a2
CVE-2023-1289,ImageMagick/ImageMagick,c5b23cbf2119540725e6dc81f4deb25798ead6a4
CVE-2023-3195,ImageMagick/ImageMagick,f620340935777b28fa3f7b0ed7ed6bd86946934c
CVE-2019-13137,ImageMagick/ImageMagick6,7d11230060fa9c8f67e53c85224daf6648805c7b
OSV-2021-814,LibreDWG/libredwg,0a390fa7291ee439d2bb2bed998e76302e539b77
OSV-2022-656,LibreDWG/libredwg,9d068534eb093790d9be1b8aa8ed47cafc7f2285
OSV-2023-1048,LibreDWG/libredwg,ebe9ce3797a524793217acbc3f54e404745d91d3
OSV-2023-1051,LibreDWG/libredwg,5b4c2fce7262b2bec00fa679e472559ab268d0c7
OSV-2023-1110,LibreDWG/libredwg,c8dd9c66bca793aaf3029d1eda50b06828ae14f2
CVE-2020-11993,apache/httpd,971fc8f5b5d664ddeb5d22f8adef2137c7980fc7
CVE-2020-8286,curl/curl,d9d01672785b8ac04aab1abb6de95fe3072ae199
CVE-2023-23914,curl/curl,076a2f629119222aeeb50f5a03bf9f9052fabb9a
CVE-2021-4209,gnutls/gnutls,3db352734472d851318944db13be73da61300568
CVE-2020-19488,gpac/gpac,6170024568f4dda310e98ef7508477b425c58d09
CVE-2020-23932,gpac/gpac,ce01bd15f711d4575b7424b54b3a395ec64c1784
CVE-2021-30014,gpac/gpac,51cdb67ff7c5f1242ac58c5aa603ceaf1793b788
CVE-2021-30015,gpac/gpac,13dad7d5ef74ca2e6fe4010f5b03eb12e9bbe0ec
CVE-2021-31257,gpac/gpac,87afe070cd6866df7fe80f11b26ef75161de85e0
CVE-2021-31258,gpac/gpac,ebfa346eff05049718f7b80041093b4c5581c24e
CVE-2021-31260,gpac/gpac,df8fffd839fe5ae9acd82d26fd48280a397411d9
CVE-2021-31261,gpac/gpac,cd3738dea038dbd12e603ad48cd7373ae0440f65
CVE-2021-32136,gpac/gpac,eb71812fcc10e9c5348a5d1c61bd25b6fa06eaed
CVE-2021-4043,gpac/gpac,64a2e1b799352ac7d7aad1989bc06e7b0f2b01db
CVE-2021-40564,gpac/gpac,cf6771c857eb9a290e2c19ddacfdd3ed98b27618
CVE-2021-40568,gpac/gpac,f1ae01d745200a258cdf62622f71754c37cb6c30
CVE-2021-40574,gpac/gpac,30ac5e5236b790accd1f25347eebf2dc8c6c1bcb
CVE-2022-1035,gpac/gpac,3718d583c6ade191dc7979c64f48c001ca6f0243
CVE-2022-1795,gpac/gpac,c535bad50d5812d27ee5b22b54371bddec411514
CVE-2022-2453,gpac/gpac,dc7de8d3d604426c7a6e628d90cb9fb88e7b4c2c
CVE-2023-1654,gpac/gpac,2c055153d401b8c49422971e3a0159869652d3da
CVE-2023-23143,gpac/gpac,af6a5e7a96ee01a139cce6c9e4edfc069aad17a6
CVE-2023-23144,gpac/gpac,3a2458a49b3e6399709d456d7b35e7a6f50cfb86
CVE-2023-2839,gpac/gpac,047f96fb39e6bf70cb9f344093f5886e51dce0ac
CVE-2023-46001,gpac/gpac,e79b0cf7e72404750630bc01340e999f3940dbc4
CVE-2023-4683,gpac/gpac,112767e8b178fc82dec3cf82a1ca14d802cdb8ec
CVE-2023-46928,gpac/gpac,0753bf6d867343a80a044bf47a27d0b7accc8bf1
CVE-2023-46929,gpac/gpac,4248def5d24325aeb0e35cacde3d56c9411816a6
CVE-2023-46930,gpac/gpac,3809955065afa3da1ad580012ec43deadbb0f2c8
CVE-2023-4756,gpac/gpac,6914d016e2b540bac2c471c4aea156ddef8e8e01
CVE-2023-4778,gpac/gpac,d553698050af478049e1a09e44a15ac884f223ed
CVE-2024-24267,gpac/gpac,d28d9ba45cf4f628a7b2c351849a895e6fcf2234
CVE-2024-6062,gpac/gpac,31e499d310a48bd17c8b055a0bfe0fe35887a7cd
OSV-2024-142,gpac/gpac,57f3ff863669c8eb8edfabd68021d560900d6c68
OSV-2021-1330,kamailio/kamailio,bf6bd11a9b969c02a106f94ebf40cefbe8028456
CVE-2017-14166,libarchive/libarchive,fa7438a0ff4033e4741c807394a9af6207940d71
CVE-2018-1000879,libarchive/libarchive,15bf44fd2c1ad0e3fd87048b3fcc90c4dcff1175
