vul_id,repo,fixed_commit_sha
CVE-2020-12284,FFmpeg/FFmpeg,a3a3730b5456ca00587455004d40c047f7b20a99
CVE-2020-14212,FFmpeg/FFmpeg,dd273d359e45ab69398ac0dc41206d5f1a9371bf
CVE-2020-20446,FFmpeg/FFmpeg,e56ee5a3e4d5110d2ef718249613591ad9c6a8e0
CVE-2020-20451,FFmpeg/FFmpeg,21265f42ecb265debe9fec1dbfd0cb7de5a8aefb
CVE-2020-20892,FFmpeg/FFmpeg,19587c9332f5be4f6bc6d7b2b8ef3fd21dfeaa01
CVE-2020-20896,FFmpeg/FFmpeg,dd01947397b98e94c3f2a79d5820aaf4594f4d3b
CVE-2020-20898,FFmpeg/FFmpeg,99f8d32129dd233d4eb2efa44678a0bc44869f23
CVE-2020-22015,FFmpeg/FFmpeg,14e172600e65817144be48a774c9b699b9563653
CVE-2020-22016,FFmpeg/FFmpeg,a95d2099b8edb6bb906751a7e27984de2d8930d8
CVE-2020-22017,FFmpeg/FFmpeg,d4d6b7b0355f3597cad3b8d12911790c73b5f96d
CVE-2020-22019,FFmpeg/FFmpeg,e6b5c7a5fccf7237b2aceb4334dec53f181e0149
CVE-2020-22020,FFmpeg/FFmpeg,0744d7176ae1027d5ad7de28b283a78d58e64545
CVE-2020-22021,FFmpeg/FFmpeg,b5ffefdd61c94eb98b1ca555b855e2c0bdd953d6
CVE-2020-22022,FFmpeg/FFmpeg,07050d7bdc32d82e53ee5bb727f5882323d00dba
CVE-2020-22023,FFmpeg/FFmpeg,ab0b268bb78ccd5ba4411594ae74a368ad2186e1
CVE-2020-22024,FFmpeg/FFmpeg,723d69f99cd26db9687ed2d24d06afaff624daf3
CVE-2020-22026,FFmpeg/FFmpeg,a9b8eda77306829c9165bc306aafd6e1a91f14c0
CVE-2020-22030,FFmpeg/FFmpeg,e1b89c76f66343d1b495165664647317c66764bb
CVE-2020-22034,FFmpeg/FFmpeg,1331e001796c656a4a3c770a16121c15ec1db2ac
CVE-2020-22035,FFmpeg/FFmpeg,8c9ff740a35d6f46935f70e4a9533dddaaf33788
CVE-2020-22036,FFmpeg/FFmpeg,8c3166e1c302c3ba80d9742ae46161c0fa8e2606
CVE-2020-22037,FFmpeg/FFmpeg,071ecaddb9ce7a514f4fe8b0ab4bc363d4bb0a38
CVE-2020-22039,FFmpeg/FFmpeg,a581bb66ea5eb981e2e498ca301df7d1ef15a6a3
CVE-2020-22042,FFmpeg/FFmpeg,426c16d61a9b5056a157a1a2a057a4e4d13eef84
CVE-2020-22044,FFmpeg/FFmpeg,c7c2f4975b23dc2ba6b3324a41bb495fcb4656d6
CVE-2020-22046,FFmpeg/FFmpeg,bbc9751da67286d27f379dbe3b52ee3b55b0503e
CVE-2020-22049,FFmpeg/FFmpeg,373c1c9b691fd4c6831b3a114a006b639304c2af
CVE-2020-22051,FFmpeg/FFmpeg,673fce6d40d9a594fb7a0ea17d296b7d3d9ea856
CVE-2020-22054,FFmpeg/FFmpeg,6f2a3958cfac135c60b509a61a4fd39432d8f9a9
CVE-2020-35964,FFmpeg/FFmpeg,4f0bdff292391cdb96b79b08c56533029166bdc8
CVE-2020-35965,FFmpeg/FFmpeg,b0a8b40294ea212c1938348ff112ef1b9bf16bb3
CVE-2020-36138,FFmpeg/FFmpeg,292e41ce650a7b5ca5de4ae87fff0d6a90d9fc97
CVE-2021-30123,FFmpeg/FFmpeg,d6f293353c94c7ce200f6e0975ae3de49787f91f
CVE-2021-38091,FFmpeg/FFmpeg,99f8d32129dd233d4eb2efa44678a0bc44869f23
