vul_id,repo,fixed_commit_sha
CVE-2020-22043,FFmpeg/FFmpeg,b288a7eb3d963a175e177b6219c8271076ee8590
CVE-2021-38090,FFmpeg/FFmpeg,99f8d32129dd233d4eb2efa44678a0bc44869f23
CVE-2023-47470,FFmpeg/FFmpeg,4565747056a11356210ed8edcecb920105e40b60
CVE-2018-1000852,FreeRDP/FreeRDP,baee520e3dd9be6511c45a14c5f5e77784de1471
CVE-2018-8789,FreeRDP/FreeRDP,2ee663f39dc8dac3d9988e847db19b2d7e3ac8c6
CVE-2015-8897,ImageMagick/ImageMagick,7b1cf5784b5bcd85aa9293ecf56769f68c037231
CVE-2015-8958,ImageMagick/ImageMagick,1aa0c6dab6dcef4d9bc3571866ae1c1ddbec7d8f
CVE-2016-5688,ImageMagick/ImageMagick,aecd0ada163a4d6c769cec178955d5f3e9316f2f
CVE-2016-6823,ImageMagick/ImageMagick,4cc6ec8a4197d4c008577127736bf7985d632323
CVE-2016-7520,ImageMagick/ImageMagick,14e606db148d6ebcaae20f1e1d6d71903ca4a556
CVE-2016-7525,ImageMagick/ImageMagick,5f16640725b1225e6337c62526e6577f0f88edb8
CVE-2016-7526,ImageMagick/ImageMagick,998c687fb83993c13fa711d75f59a95b38ceab77
CVE-2016-7533,ImageMagick/ImageMagick,bef1e4f637d8f665bc133a9c6d30df08d983bc3a
CVE-2016-7534,ImageMagick/ImageMagick,430403b0029b37decf216d57f810899cab2317dd
CVE-2016-7537,ImageMagick/ImageMagick,6d202a0514fb6a406456b8b728cde776becb25f8
CVE-2016-8677,ImageMagick/ImageMagick,6e48aa92ff4e6e95424300ecd52a9ea453c19c60
CVE-2017-11448,ImageMagick/ImageMagick,f6463ca9588579633bbaed9460899d892aa3c64a
CVE-2017-12664,ImageMagick/ImageMagick,0417cea1b6d72f90bd4f1f573f91e42a8ba66a89
CVE-2017-12669,ImageMagick/ImageMagick,73b6c35cede48ccb2e29dbe62c2d77488e5e70b7
CVE-2017-14172,ImageMagick/ImageMagick,bdbbb13f1fe9b7e2465502c500561720f7456aac
CVE-2017-15033,ImageMagick/ImageMagick,ef8f40689ac452398026c07da41656a7c87e4683
CVE-2018-16645,ImageMagick/ImageMagick,ecb31dbad39ccdc65868d5d2a37f0f0521250832
CVE-2019-11470,ImageMagick/ImageMagick,e3cdce6fe12193f235b8c0ae5efe6880a25eb957
CVE-2019-13133,ImageMagick/ImageMagick,fe3066122ef72c82415811d25e9e3fad622c0a99
CVE-2019-15140,ImageMagick/ImageMagick,f7206618d27c2e69d977abf40e3035a33e5f6be0
CVE-2020-27753,ImageMagick/ImageMagick,bb3acad195de95db86c7509d8072db01890470e0
CVE-2020-27768,ImageMagick/ImageMagick,95d4e94e0353e503b71a53f5e6fad173c7c70c90
CVE-2022-2719,ImageMagick/ImageMagick,716496e6df0add89e9679d6da9c0afca814cfe49
CVE-2019-13135,ImageMagick/ImageMagick6,1e59b29e520d2beab73e8c78aacd5f1c0d76196d
CVE-2019-13304,ImageMagick/ImageMagick6,bfa3b9610c83227894c92b0d312ad327fceb6241
CVE-2019-13305,ImageMagick/ImageMagick6,5c7fbf9a14fb83c9685ad69d48899f490a37609d
CVE-2019-13306,ImageMagick/ImageMagick6,cb5ec7d98195aa74d5ed299b38eff2a68122f3fa
CVE-2019-13308,ImageMagick/ImageMagick6,19651f3db63fa1511ed83a348c4c82fa553f8d01
CVE-2019-13391,ImageMagick/ImageMagick6,f6ffc702c6eecd963587273a429dcd608c648984
OSV-2021-771,LibreDWG/libredwg,8bd75b4e2dfcb229e5121c3e45e5d284bf0d0477
OSV-2022-1180,LibreDWG/libredwg,756d716867a4e862faa07ae395254b048b1322dc
OSV-2022-363,LibreDWG/libredwg,9e629ba3649464a928b0af75ddd246b3defee128
OSV-2022-403,LibreDWG/libredwg,7209631ce9b38244dd5ac69da8e21cb9478c24e8
OSV-2023-316,LibreDWG/libredwg,52cc8332b2a7ada86cf07e2bfe906bb4e33ca29d
CVE-2023-27522,apache/httpd,d753ea76b5972a85349b68c31b59d04c60014f2d
CVE-2017-5334,gnutls/gnutls,c5aaa488a3d6df712dc8dff23a049133cab5ec1b
OSV-2017-138,gnutls/gnutls,7265612d87f51c2f52a2e4cf5bdf14f31bd291a2
CVE-2018-20763,gpac/gpac,1c449a34fe0b50aaffb881bfb9d7c5ab0bb18cdd
CVE-2020-35981,gpac/gpac,dae9900580a8888969481cd72035408091edb11b
CVE-2021-32132,gpac/gpac,e74be5976a6fee059c638050a237893f7e9a3b23
CVE-2021-32134,gpac/gpac,328c6d682698fdb9878dbb4f282963d42c538c01
CVE-2021-32139,gpac/gpac,d527325a9b72218612455a534a508f9e1753f76e
CVE-2021-32438,gpac/gpac,00194f5fe462123f70b0bae7987317b52898b868
CVE-2021-40566,gpac/gpac,96047e0e6166407c40cc19f4e94fb35cd7624391
CVE-2022-1222,gpac/gpac,7f060bbb72966cae80d6fee338d0b07fa3fc06e1
CVE-2022-2549,gpac/gpac,0102c5d4db7fdbf08b5b591b2a6264de33867a07
CVE-2022-29339,gpac/gpac,9ea93a2ec8f555ceed1ee27294cf94822f14f10f
CVE-2022-47090,gpac/gpac,48760768611f6766bf9e7378bb7cc66cebd6e49d
CVE-2023-2838,gpac/gpac,c88df2e202efad214c25b4e586f243b2038779ba
OSV-2024-135,gpac/gpac,4d7891cd8070a37010f4ff07574e89f189ed3d57
OSV-2024-156,gpac/gpac,96b474ec59b3490eed7a874b14f78ad4b3a9d2bd
OSV-2021-1196,kamailio/kamailio,baed515e8aed8e5b505ff716eb57d0c60e582632
OSV-2023-813,kamailio/kamailio,8674b333300d5829bff9cb4993886bcf7bea249b
