repo,vul_id,fixed_commit_sha
FFmpeg/FFmpeg,CVE-2020-13904,c229e5e80f1b67b2120f317e815fec29ca1390a5
FFmpeg/FFmpeg,CVE-2020-20448,8802e329c8317ca5ceb929df48a23eb0f9e852b2
FFmpeg/FFmpeg,CVE-2020-20450,3865b1952e5cf993b016d83ba78fe1deb63bbfad
FFmpeg/FFmpeg,CVE-2020-20453,a7a7f32c8ad0179a1a85d0a8cff35924e6d90be8
FFmpeg/FFmpeg,CVE-2020-20891,64a805883d7223c868a683f0030837d859edd2ab
FFmpeg/FFmpeg,CVE-2020-20892,19587c9332f5be4f6bc6d7b2b8ef3fd21dfeaa01
FFmpeg/FFmpeg,CVE-2020-20898,99f8d32129dd233d4eb2efa44678a0bc44869f23
FFmpeg/FFmpeg,CVE-2020-20902,0c61661a2cbe1b8b284c80ada1c2fdddf4992cad
FFmpeg/FFmpeg,CVE-2020-22015,14e172600e65817144be48a774c9b699b9563653
FFmpeg/FFmpeg,CVE-2020-22017,d4d6b7b0355f3597cad3b8d12911790c73b5f96d
FFmpeg/FFmpeg,CVE-2020-22021,b5ffefdd61c94eb98b1ca555b855e2c0bdd953d6
FFmpeg/FFmpeg,CVE-2020-22022,07050d7bdc32d82e53ee5bb727f5882323d00dba
FFmpeg/FFmpeg,CVE-2020-22030,e1b89c76f66343d1b495165664647317c66764bb
FFmpeg/FFmpeg,CVE-2020-22036,8c3166e1c302c3ba80d9742ae46161c0fa8e2606
FFmpeg/FFmpeg,CVE-2020-22038,7c32e9cf93b712f8463573a59ed4e98fd10fa013
FFmpeg/FFmpeg,CVE-2020-22039,a581bb66ea5eb981e2e498ca301df7d1ef15a6a3
FFmpeg/FFmpeg,CVE-2020-22040,1a0c584abc9709b1d11dbafef05d22e0937d7d19
FFmpeg/FFmpeg,CVE-2020-22042,426c16d61a9b5056a157a1a2a057a4e4d13eef84
FFmpeg/FFmpeg,CVE-2020-22043,b288a7eb3d963a175e177b6219c8271076ee8590
FFmpeg/FFmpeg,CVE-2020-22044,c7c2f4975b23dc2ba6b3324a41bb495fcb4656d6
FFmpeg/FFmpeg,CVE-2020-22054,6f2a3958cfac135c60b509a61a4fd39432d8f9a9
FFmpeg/FFmpeg,CVE-2020-35965,b0a8b40294ea212c1938348ff112ef1b9bf16bb3
