vul_id,repo,fixed_commit_sha,patch_file,patch_func,target_file,target_func,CWE,vuln_type,judgement
CVE-2020-20448,FFmpeg/FFmpeg,8802e329c8317ca5ceb929df48a23eb0f9e852b2,libavcodec/snowenc.c,encode_q_branch,libavcodec/motion_est.c,ff_pre_estimate_p_frame_motion,CWE-369,Integer Overflow,TP
CVE-2020-20450,FFmpeg/FFmpeg,3865b1952e5cf993b016d83ba78fe1deb63bbfad,libavformat/mxfenc.c,mxf_parse_h264_frame,libavformat/matroskadec.c,matroska_parse_content_encodings,CWE-476,Null Pointer Dereference,FP
CVE-2020-22031,FFmpeg/FFmpeg,fd8b08ebbb27e841fd5527e4b800ab3738216e9d,libavfilter/vf_w3fdif.c,config_input,libavfilter/vf_yaepblur.c,config_input,CWE-787,Buffer Overflow,FP
CVE-2020-22031,FFmpeg/FFmpeg,fd8b08ebbb27e841fd5527e4b800ab3738216e9d,libavfilter/vf_w3fdif.c,config_input,libavfilter/vf_stereo3d.c,config_output,CWE-787,Buffer Overflow,TP
CVE-2020-22038,FFmpeg/FFmpeg,7c32e9cf93b712f8463573a59ed4e98fd10fa013,libavcodec/v4l2_m2m_dec.c,v4l2_decode_close,libavcodec/v4l2_m2m.c,v4l2_m2m_destroy_context,CWE-401,Memory Leak,FP
CVE-2020-22040,FFmpeg/FFmpeg,1a0c584abc9709b1d11dbafef05d22e0937d7d19,libavfilter/f_reverse.c,uninit,libavfilter/vf_stack.c,uninit,CWE-401,Memory Leak,FP
CVE-2020-22043,FFmpeg/FFmpeg,b288a7eb3d963a175e177b6219c8271076ee8590,libavformat/mpegenc.c,mpeg_mux_end,libavformat/oggdec.c,ogg_restore,CWE-401,Memory Leak,TP
CVE-2020-22048,FFmpeg/FFmpeg,64d2e0b20066058cf1c6dc3c49adab6d18d66fcc,libavfilter/vf_colorspace.c,filter_frame,libavfilter/avf_showvolume.c,filter_frame,CWE-401,Memory Leak,FP
CVE-2020-24020,FFmpeg/FFmpeg,584f396132aa19d21bb1e38ad9a5d428869290cb,libavfilter/dnn/dnn_backend_native.c,calculate_operand_data_length,libavfilter/dnn/dnn_backend_tf.c,allocate_input_tensor,CWE-120,Integer Overflow,TP
CVE-2021-38090,FFmpeg/FFmpeg,99f8d32129dd233d4eb2efa44678a0bc44869f23,libavfilter/vf_convolution.c,filter_prewitt,libavfilter/vf_convolution.c,filter16_kirsch,CWE-120,Integer Overflow,FP
CVE-2021-38090,FFmpeg/FFmpeg,99f8d32129dd233d4eb2efa44678a0bc44869f23,libavfilter/vf_convolution.c,filter_prewitt,libavfilter/vf_convolution.c,filter_3x3,CWE-120,Integer Overflow,FP
CVE-2021-38090,FFmpeg/FFmpeg,99f8d32129dd233d4eb2efa44678a0bc44869f23,libavfilter/vf_convolution.c,filter16_roberts,libavfilter/vf_convolution.c,filter16_3x3,CWE-120,Integer Overflow,TP
CVE-2021-38090,FFmpeg/FFmpeg,99f8d32129dd233d4eb2efa44678a0bc44869f23,libavfilter/vf_convolution.c,filter16_roberts,libavfilter/vf_convolution.c,filter16_row,CWE-120,Integer Overflow,TP
CVE-2021-38090,FFmpeg/FFmpeg,99f8d32129dd233d4eb2efa44678a0bc44869f23,libavfilter/vf_convolution.c,filter16_roberts,libavfilter/vf_convolution.c,filter16_7x7,CWE-120,Integer Overflow,TP
CVE-2021-38090,FFmpeg/FFmpeg,99f8d32129dd233d4eb2efa44678a0bc44869f23,libavfilter/vf_convolution.c,filter16_roberts,libavfilter/vf_convolution.c,filter16_5x5,CWE-120,Integer Overflow,TP
CVE-2021-38093,FFmpeg/FFmpeg,99f8d32129dd233d4eb2efa44678a0bc44869f23,libavfilter/vf_convolution.c,filter_prewitt,libavfilter/vf_convolution.c,filter16_kirsch,CWE-190,Integer Overflow,FP
CVE-2022-3965,FFmpeg/FFmpeg,13c13109759090b7f7182480d075e13b36ed8edd,libavcodec/smcenc.c,smc_encode_stream,libavcodec/vb.c,vb_decode_framedata,CWE-119,Out-of-bounds Read,FP
CVE-2022-3965,FFmpeg/FFmpeg,13c13109759090b7f7182480d075e13b36ed8edd,libavcodec/smcenc.c,smc_encode_stream,libavcodec/rpza.c,rpza_decode_stream,CWE-119,Out-of-bounds Read,FP
CVE-2022-3965,FFmpeg/FFmpeg,13c13109759090b7f7182480d075e13b36ed8edd,libavcodec/smcenc.c,smc_encode_stream,libavcodec/smc.c,smc_decode_stream,CWE-119,Out-of-bounds Read,FP
CVE-2024-36619,FFmpeg/FFmpeg,28c7094b25b689185155a6833caf2747b94774a4,libavcodec/wavarc.c,decode_5elp,libavcodec/g729postfilter.c,residual_filter,CWE-190,Integer Overflow,FP
CVE-2024-36619,FFmpeg/FFmpeg,28c7094b25b689185155a6833caf2747b94774a4,libavcodec/wavarc.c,decode_5elp,libavcodec/truespeech.c,truespeech_synth,CWE-190,Integer Overflow,FP
CVE-2018-8789,FreeRDP/FreeRDP,2ee663f39dc8dac3d9988e847db19b2d7e3ac8c6,winpr/libwinpr/sspi/NTLM/ntlm_message.c,ntlm_free_message_fields_buffer,winpr/libwinpr/sspi/NTLM/ntlm_message.c,ntlm_free_message_fields_buffer,CWE-125,Out-of-bounds Read,FP
CVE-2020-11048,FreeRDP/FreeRDP,9301bfe730c66180263248b74353daa99f5a969b,libfreerdp/core/rdp.c,rdp_read_flow_control_pdu,libfreerdp/crypto/er.c,er_read_length,CWE-125,Out-of-bounds Read,TP
CVE-2020-11098,FreeRDP/FreeRDP,c0fd449ec0870b050d350d6d844b1ea6dad4bc7d,libfreerdp/cache/glyph.c,glyph_cache_put,libfreerdp/cache/glyph.c,glyph_cache_get,CWE-125,Out-of-bounds Read,TP
CVE-2024-32661,FreeRDP/FreeRDP,71e463e31b4d69f4022d36bfc814592f56600793,libfreerdp/core/info.c,rdp_write_logon_info_v1,libfreerdp/core/info.c,rdp_write_logon_info_v2,CWE-476,Null Pointer Dereference,TP
CVE-2015-8897,ImageMagick/ImageMagick,7b1cf5784b5bcd85aa9293ecf56769f68c037231,MagickCore/transform.c,SpliceImage,MagickCore/transform.c,ChopImage,CWE-125,Out-of-bounds Read,FP
CVE-2016-10065,ImageMagick/ImageMagick,134463b926fa965571aa4febd61b810be5e7da05,MagickCore/quantum-import.c,ImportGrayQuantum,MagickCore/quantum-import.c,ImportOpacityQuantum,CWE-284,Unknown,TP
CVE-2016-10065,ImageMagick/ImageMagick,134463b926fa965571aa4febd61b810be5e7da05,MagickCore/quantum-import.c,ImportGrayQuantum,MagickCore/quantum-import.c,ImportGreenQuantum,CWE-284,Unknown,FP
CVE-2016-6823,ImageMagick/ImageMagick,4cc6ec8a4197d4c008577127736bf7985d632323,coders/bmp.c,WriteBMPImage,coders/dib.c,WriteDIBImage,CWE-190,Integer Overflow,TP
CVE-2016-6823,ImageMagick/ImageMagick,4cc6ec8a4197d4c008577127736bf7985d632323,coders/bmp.c,WriteBMPImage,coders/dib.c,ReadDIBImage,CWE-190,Integer Overflow,TP
CVE-2016-7520,ImageMagick/ImageMagick,14e606db148d6ebcaae20f1e1d6d71903ca4a556,coders/hdr.c,WriteHDRImage,coders/djvu.c,get_page_image,CWE-125,Buffer Overflow,TP
CVE-2016-7525,ImageMagick/ImageMagick,5f16640725b1225e6337c62526e6577f0f88edb8,coders/psd.c,GetPSDRowSize,coders/djvu.c,get_page_image,CWE-125,Out-of-bounds Read,FP
CVE-2016-7526,ImageMagick/ImageMagick,998c687fb83993c13fa711d75f59a95b38ceab77,coders/wpg.c,InsertRow,coders/viff.c,ReadVIFFImage,CWE-787,Buffer Overflow,TP
CVE-2016-7533,ImageMagick/ImageMagick,bef1e4f637d8f665bc133a9c6d30df08d983bc3a,coders/wpg.c,ReadWPGImage,coders/wpg.c,UnpackWPGRaster,CWE-125,Out-of-bounds Read,TP
CVE-2016-7534,ImageMagick/ImageMagick,430403b0029b37decf216d57f810899cab2317dd,MagickCore/quantum-import.c,ImportCbYCrYQuantum,MagickCore/quantum-import.c,ImportIndexQuantum,CWE-125,Out-of-bounds Read,FP
CVE-2016-7537,ImageMagick/ImageMagick,6d202a0514fb6a406456b8b728cde776becb25f8,coders/pdb.c,WritePDBImage,coders/pdb.c,WritePDBImage,CWE-125,Buffer Overflow,FP
CVE-2017-11448,ImageMagick/ImageMagick,f6463ca9588579633bbaed9460899d892aa3c64a,coders/jpeg.c,ReadJPEGImage,coders/avs.c,ReadAVSImage,CWE-200,Uninitialized Use,FP
CVE-2017-12664,ImageMagick/ImageMagick,0417cea1b6d72f90bd4f1f573f91e42a8ba66a89,coders/palm.c,WritePALMImage,coders/miff.c,WriteMIFFImage,CWE-772,Memory Leak,TP
CVE-2017-12669,ImageMagick/ImageMagick,73b6c35cede48ccb2e29dbe62c2d77488e5e70b7,coders/cals.c,WriteCALSImage,coders/ashlar.c,WriteASHLARImage,CWE-772,Memory Leak,TP
CVE-2017-14173,ImageMagick/ImageMagick,50f54462076648ac2e36c3f58f4dadd4babbf1c9,coders/txt.c,ReadTXTImage,coders/txt.c,ReadTXTImage,CWE-190,Infinite Loop,FP
