vul_id,repo,fixed_commit_sha,patch_file,patch_func,target_file,target_func,reason,judgement
CVE-2017-5509,ImageMagick/ImageMagick,d4ec73f866a7c42a2e7f301fcd696e5cb7a7d3ab,psd.c,AcquireCompactPixels,ImageMagick/coders/psd.c,AcquireCompactPixels,函数名相同,FP
CVE-2020-25675,ImageMagick/ImageMagick,64dc80b2e1907f7f20bf34d4df9483f938b0de71,transform.c,,ImageMagick/MagickCore/quantize.c,MagickRound,,FP
CVE-2020-25675,ImageMagick/ImageMagick,64dc80b2e1907f7f20bf34d4df9483f938b0de71,transform.c,,magick/quantize.c,MagickRound,,FP
CVE-2019-15139,ImageMagick/ImageMagick,c78993d138bf480ab4652b5a48379d4ff75ba5f7,xwd.c,RegisterXWDImage,ImageMagick/coders/xwd.c,RegisterXWDImage,函数名相同,FP
CVE-2021-3732,torvalds/linux,427215d85e8d1476da1a86b8d67aceb485eb3631,namespace.c,has_locked_children,fs/namespace.c,__has_locked_children,函数名相同,FP
OSV-2020-628,libarchive/libarchive,b625b17e6fd6e89b2f54236b402ccd3722ace2bb,archive_hmac.c,__hmac_sha1_init,libarchive/libarchive/archive_hmac.c,__hmac_sha1_init,,FP
CVE-2022-40476,torvalds/linux,386e4fb6962b9f248a80f8870aea0870ca603e89,io_uring.c,__io_prep_linked_timeout,io_uring/io_uring.c,__io_prep_linked_timeout,函数名相同,FP
CVE-2022-40476,torvalds/linux,386e4fb6962b9f248a80f8870aea0870ca603e89,io_uring.c,__io_prep_linked_timeout;io_req_track_inflight,io_uring/io_uring.c,__io_prep_linked_timeout,,FP
CVE-2024-26785,torvalds/linux,cf7c2789822db8b5efa34f5ebcf1621bc0008d48,selftest.c,iommufd_test_syz_conv_iova,drivers/iommu/iommufd/selftest.c,__iommufd_test_syz_conv_iova,函数名相同,FP
CVE-2022-0742,torvalds/linux,2d3916f3189172d5c69d33065c3c21119fe539fc,mcast.c,__mld_report_work,net/ipv6/mcast.c,__mld_report_work,函数名相同,FP
CVE-2022-0742,torvalds/linux,2d3916f3189172d5c69d33065c3c21119fe539fc,mcast.c,igmp6_event_query;__mld_report_work;igmp6_event_report,net/ipv6/mcast.c,__mld_report_work,,FP
OSV-2020-490,radareorg/radare2,149cb3587e4cd3928f8f56553ecfeaac15452585,pe.c,_free_resources,libr/bin/format/pe/pe.c,_free_resource,函数名相同,FP
OSV-2020-490,radareorg/radare2,149cb3587e4cd3928f8f56553ecfeaac15452585,pe.c,_free_resources,rg/rizin/librz/bin/format/pe/pe_rsrc.c,_free_resource,函数名相同,FP
OSV-2020-490,radareorg/radare2,149cb3587e4cd3928f8f56553ecfeaac15452585,pe.c,_free_resources;bin_pe_init_resource;_parse_resource_directory;_free_resource,libr/bin/format/pe/pe.c,_free_resources,,FP
CVE-2023-0866,gpac/gpac,b964fe4226f1424cf676d5822ef898b6b01f5937,reframe_adts.c,adts_dmx_check_dur,gpac/src/filters/reframe_adts.c,adts_dmx_check_dur,函数名相同,FP
