vul_id,repo,fixed_commit_sha,patch_file,patch_func,target_file,target_func,judgement
CVE-2024-26807,torvalds/linux,32ce3bb57b6b402de2aec1012511e7ac4e7449dc,drivers/spi/spi-cadence-quadspi.c,cqspi_suspend,drivers/hid/hid-ntrig.c,set_activate_slack,
CVE-2023-52490,torvalds/linux,d1adb25df7111de83b64655a80b5a135adbded61,drivers/vfio/pci/virtio/migrate.c,__migrate_folio_extract,drivers/pinctrl/pinctrl-tb10x.c,tb10x_get_function_groups,
CVE-2022-20421,torvalds/linux,a0e44c64b6061dda7e00b7c458e4523e2331b739,drivers/android/binder.c,binder_inc_ref_for_node,drivers/scsi/esp_scsi.c,esp_eh_bus_reset_handler,
CVE-2016-2069,torvalds/linux,71b3c126e61177eb693423f2e18a1914205b165e,arch/loongarch/kvm/tlb.c,flush_tlb_page,drivers/pinctrl/intel/pinctrl-lynxpoint.c,lp_irq_ack,
CVE-2015-1350,torvalds/linux,030b533c4fd4d2ec3402363323de4bb2983c9cee,fs/attr.c,setattr_prepare,drivers/gpu/drm/i915/gvt/gtt.c,ppgtt_populate_shadow_entry,
CVE-2017-15265,torvalds/linux,71105998845fb012937332fe2e806d443c09e026,sound/core/seq/seq_clientmgr.c,snd_seq_ioctl_create_port,drivers/tty/serial/fsl_lpuart.c,lpuart_rxint,
CVE-2015-3288,torvalds/linux,6b7339f4c31ad69c8e9c0b2859276e22cf72176d,arch/sparc/prom/memory.c,handle_pte_fault,drivers/net/ethernet/intel/ice/ice_dpll.c,ice_dpll_sma_pin_state_set,
CVE-2015-3331,torvalds/linux,ccfe8c3f7e52ae83155cb038753f4c75b774ca8a,arch/x86/crypto/aesni-intel_glue.c,__driver_rfc4106_decrypt,drivers/crypto/tegra/tegra-se-aes.c,tegra_aes_do_one_req,
CVE-2024-26753,torvalds/linux,c0ec2a712daf133d9996a8a1b7ee2d4996080363,drivers/crypto/virtio/virtio_crypto_akcipher_algs.c,virtio_crypto_alg_akcipher_init_session,drivers/scsi/qedf/qedf_els.c,qedf_l2_els_compl,
CVE-2024-26748,torvalds/linux,5fd9e45f1ebcd57181358af28506e8a661a260b3,drivers/usb/cdns3/cdns3-gadget.c,cdns3_gadget_giveback,drivers/usb/gadget/function/u_audio.c,u_audio_start_playback,
CVE-2019-14896,torvalds/linux,e5e884b42639c74b5b57dc277909915c0aefc8bb,drivers/net/wireless/marvell/libertas/cfg.c,add_ie_rates,drivers/clk/clk-hsdk-pll.c,hsdk_pll_core_update_rate,
CVE-2023-39194,torvalds/linux,dfa73c17d55b921e1d4e154976de35317e43a93a,net/xfrm/xfrm_user.c,xfrm_dump_sa,drivers/pinctrl/pinctrl-zynqmp.c,versal_pinctrl_prepare_pin_desc,
CVE-2022-42432,torvalds/linux,559c36c5a8d730c49ef805a72b213d3bba155cc8,net/netfilter/nfnetlink_osf.c,nf_osf_find,drivers/net/wireless/ath/ath9k/ar9003_calib.c,ar9003_hw_tx_iq_cal_run,
CVE-2022-1184,torvalds/linux,46c116b920ebec58031f0a78c5ea9599b0d2a371,fs/namei.c,dx_make_map,drivers/pinctrl/intel/pinctrl-baytrail.c,byt_set_mux,
CVE-2022-0435,torvalds/linux,9aa422ad326634b76309e8ff342c246800621216,drivers/misc/ocxl/link.c,tipc_link_proto_rcv,drivers/net/wireless/realtek/rtlwifi/rtl8192du/hw.c,rtl92du_set_hw_reg,
CVE-2021-47004,torvalds/linux,61461fc921b756ae16e64243f72af2bfc2e620db,arch/mips/kernel/segment.c,get_free_segment,drivers/pci/endpoint/pci-epc-core.c,pci_epc_linkup,
CVE-2024-24855,torvalds/linux,0e881c0a4b6146b7e856735226208f48251facd8,drivers/scsi/lpfc/lpfc_hbadisc.c,lpfc_unregister_fcf_rescan,drivers/scsi/lpfc/lpfc_init.c,lpfc_create_shost,
CVE-2020-3702,torvalds/linux,56c5485c9e444c2e85e11694b6c44f1338fc20fd,drivers/net/wireless/intel/iwlwifi/mld/key.c,ath_key_delete,drivers/net/wireless/ath/key.c,ath_key_delete,
CVE-2023-2177,torvalds/linux,181d8d2066c000ba0a0e6940a7ad80f1a0e68e9d,drivers/soundwire/stream.c,sctp_stream_init_ext,drivers/net/ethernet/chelsio/cxgb4/sge.c,unmap_skb,
CVE-2022-3586,torvalds/linux,9efd23297cca530bb35e1848665805d3fcdd7889,net/sched/sch_sfb.c,increment_qlen,drivers/input/misc/wistron_btns.c,wistron_led_resume,
CVE-2022-3176,torvalds/linux,791f3465c4afde02d7f16cf7424ca87070b69396,io_uring/io_uring.c,io_poll_wake,drivers/scsi/lpfc/lpfc_nportdisc.c,lpfc_cmpl_reglogin_npr_node,
CVE-2015-1805,torvalds/linux,f0d1bec9d58d4c038d0ac958c9af82be6eb18045,drivers/usb/renesas_usbhs/pipe.c,iov_fault_in_pages_read,drivers/scsi/bfa/bfad_im.c,bfad_im_port_delete_handler,
CVE-2023-52571,torvalds/linux,488ef44c068e79752dba8eda0b75f524f111a695,drivers/power/supply/rk817_charger.c,rk817_charger_probe,drivers/soc/ti/smartreflex.c,omap_sr_probe,
CVE-2021-46995,torvalds/linux,4cc7faa406975b460aa674606291dea197c1210c,drivers/net/can/spi/mcp251xfd/mcp251xfd-core.c,mcp251xfd_probe,drivers/net/amt.c,amt_newlink,
CVE-2021-33200,torvalds/linux,3d0220f6861d713213b015b582e9f21e5b28d2e0,drivers/net/ethernet/netronome/nfp/bpf/verifier.c,sanitize_ptr_alu,drivers/gpu/drm/loongson/lsdc_drv.c,lsdc_create_device,
CVE-2019-12881,torvalds/linux,c11c7bfd213495784b22ef82a69b6489f8d0092f,drivers/gpu/drm/i915/gem/i915_gem_userptr.c,i915_gem_userptr_ioctl,drivers/md/dm-zoned-reclaim.c,dmz_reclaim_copy,
CVE-2024-26767,torvalds/linux,0484e05d048b66d01d1f3c1d2306010bb57d8738,drivers/gpu/drm/amd/display/dc/bios/bios_parser2.c,get_firmware_info_v3_2,drivers/gpu/drm/amd/display/dc/bios/bios_parser.c,get_ss_info_from_ss_info_table,
CVE-2024-26599,torvalds/linux,a297d07b9a1e4fb8cda25a4a2363a507d294b7c9,arch/arm/probes/uprobes/core.c,of_pwm_single_xlate,drivers/scsi/qla2xxx/qla_init.c,qla2x00_find_new_loop_id,
