repo,cve,type,version
FFmpeg,CVE-2020-20448,vul,n1.1.4
FFmpeg,CVE-2020-20448,vul,n2.6.1
FFmpeg,CVE-2020-20450,vul,n3.1.4
FFmpeg,CVE-2020-20450,vul,n4.0
FFmpeg,CVE-2020-20453,vul,n3.0.10
FFmpeg,CVE-2020-20453,vul,n3.4.4
FFmpeg,CVE-2020-20898,vul,n4.1.10
FFmpeg,CVE-2020-22015,vul,n3.4.3
FFmpeg,CVE-2020-22015,vul,n4.2.2
FFmpeg,CVE-2020-22039,vul,n3.3.2
FFmpeg,CVE-2020-22042,vul,n3.4.4
FFmpeg,CVE-2020-22042,vul,n4.2.7
FFmpeg,CVE-2020-22043,vul,n4.2.10
FFmpeg,CVE-2020-22054,vul,n3.4.4
FFmpeg,CVE-2020-22054,vul,n4.2.2
ImageMagick,CVE-2020-10251,vul,7.0.8-60
ImageMagick,CVE-2020-10251,vul,7.0.9-23
ImageMagick,CVE-2020-19667,vul,7.0.7-39
ImageMagick,CVE-2020-19667,vul,7.0.8-19
ImageMagick,CVE-2020-25674,vul,7.0.6-2
ImageMagick,CVE-2020-25674,vul,7.0.7-39
ImageMagick,CVE-2020-27560,vul,7.0.7-17
ImageMagick,CVE-2020-27560,vul,7.0.7-39
ImageMagick,CVE-2020-27753,vul,7.0.7-39
ImageMagick,CVE-2020-27753,vul,7.0.8-4
ImageMagick,CVE-2020-27756,vul,7.0.7-23
ImageMagick,CVE-2020-27756,vul,7.0.7-39
ImageMagick,CVE-2020-27760,vul,7.0.2-10
ImageMagick,CVE-2020-27760,vul,7.0.7-39
ImageMagick,CVE-2020-27762,vul,7.0.7-23
ImageMagick,CVE-2020-27762,vul,7.0.7-39
ImageMagick,CVE-2020-27765,vul,7.0.7-39
ImageMagick,CVE-2020-27765,vul,7.0.7-4
ImageMagick,CVE-2020-27769,vul,7.0.7-17
ImageMagick,CVE-2020-27769,vul,7.0.7-39
ImageMagick,CVE-2020-27771,vul,7.0.8-55
ImageMagick,CVE-2021-20241,vul,7.0.10-57
ImageMagick,CVE-2021-20241,vul,7.0.7-39
ImageMagick,CVE-2021-20311,pre,7.0.7-17
ImageMagick,CVE-2021-20311,vul,7.0.7-39
ImageMagick,CVE-2021-20311,vul,7.0.9-15
ImageMagick,CVE-2021-3574,fix,7.1.0-48
ImageMagick,CVE-2021-3574,fix,7.1.2-6
ImageMagick,CVE-2021-3574,vul,7.0.10-10
ImageMagick,CVE-2021-3574,vul,7.0.10-24
ImageMagick,CVE-2021-4219,vul,7.0.10-33
ImageMagick,CVE-2021-4219,vul,7.1.0-1
ImageMagick,CVE-2022-1114,vul,7.1.0-20
ImageMagick,CVE-2022-32547,vul,7.0.7-39
ImageMagick,CVE-2022-32547,vul,7.0.8-40
ImageMagick,CVE-2023-3195,vul,7.0.11-9
ImageMagick,CVE-2023-34474,vul,7.1.0-17
curl,CVE-2020-8231,vul,curl-7_40_0
curl,CVE-2020-8231,vul,curl-7_56_0
curl,CVE-2021-22897,vul,curl-7_75_0
curl,CVE-2021-22897,vul,curl-7_76_0
curl,CVE-2021-22898,vul,curl-7_52_0
curl,CVE-2022-27775,vul,curl-7_76_0
curl,CVE-2022-27775,vul,curl-7_79_0
curl,CVE-2022-32205,pre,curl-7_69_0
curl,CVE-2022-32205,vul,curl-7_76_0
curl,CVE-2022-32205,vul,curl-7_78_0
curl,CVE-2022-32208,vul,curl-7_19_5
curl,CVE-2022-32208,vul,curl-7_23_0
curl,CVE-2022-42915,vul,curl-7_81_0
curl,CVE-2022-42915,vul,curl-7_85_0
curl,CVE-2022-42916,vul,curl-7_83_0
curl,CVE-2022-43552,vul,curl-7_84_0
curl,CVE-2023-28319,vul,curl-7_83_0
curl,CVE-2023-28319,vul,curl-7_85_0
curl,CVE-2023-28320,vul,curl-7_66_0
curl,CVE-2023-38039,vul,curl-7_88_0
curl,CVE-2023-38546,vul,curl-7_76_0
curl,CVE-2024-2004,fix,curl-8_11_0
curl,CVE-2024-2004,vul,curl-8_0_1
curl,CVE-2024-8096,vul,curl-7_87_0
curl,CVE-2024-9681,vul,curl-8_7_0
httpd,CVE-2020-11985,vul,2.4.20
httpd,CVE-2020-11985,vul,2.4.4
httpd,CVE-2022-31813,vul,2.4.51
linux,CVE-2020-0041,vul,v5.1
linux,CVE-2020-0041,vul,v5.3
linux,CVE-2020-0404,vul,v3.7
linux,CVE-2020-0404,vul,v4.10
linux,CVE-2020-0427,vul,v3.5
linux,CVE-2020-0427,vul,v4.1
linux,CVE-2020-0430,vul,v4.16
linux,CVE-2020-0444,vul,v4.3
linux,CVE-2020-10690,pre,v2.6.39
linux,CVE-2020-10690,vul,v3.0
linux,CVE-2020-10690,vul,v4.9
linux,CVE-2020-10757,vul,v4.14
linux,CVE-2020-10767,vul,v4.20
linux,CVE-2020-10767,vul,v5.0
linux,CVE-2020-10773,vul,v2.6.12
linux,CVE-2020-12352,vul,v3.13
linux,CVE-2020-12352,vul,v3.6
linux,CVE-2020-12771,vul,v3.15
linux,CVE-2020-12771,vul,v4.19
linux,CVE-2020-14305,vul,v3.6
linux,CVE-2020-14305,vul,v4.5
linux,CVE-2020-14416,vul,v3.12
linux,CVE-2020-15437,vul,v3.9
linux,CVE-2020-15437,vul,v4.8
linux,CVE-2020-16120,vul,v4.17
linux,CVE-2020-1749,vul,v4.14
linux,CVE-2020-25285,vul,v3.8
linux,CVE-2020-25645,vul,v4.14
linux,CVE-2020-25669,vul,v2.6.12
linux,CVE-2020-25669,vul,v2.6.19
linux,CVE-2020-26139,vul,v3.14
linux,CVE-2020-27066,vul,v3.12
linux,CVE-2020-27067,vul,v2.6.35
linux,CVE-2020-27067,vul,v4.9
linux,CVE-2020-27675,vul,v3.14
linux,CVE-2020-27675,vul,v5.4
linux,CVE-2020-27786,vul,v2.6.28
linux,CVE-2020-27820,vul,v4.20
linux,CVE-2020-28097,vul,v2.6.24
linux,CVE-2020-29370,vul,v5.3
linux,CVE-2020-29569,vul,v4.13
linux,CVE-2020-35519,vul,v2.6.12
linux,CVE-2020-35519,vul,v2.6.37
linux,CVE-2020-36312,vul,v4.11
linux,CVE-2020-36312,vul,v4.13
linux,CVE-2020-36386,vul,v3.4
linux,CVE-2021-20261,vul,v2.6.36
linux,CVE-2021-22600,vul,v5.6
linux,CVE-2021-22600,vul,v5.9
linux,CVE-2021-28038,vul,v4.0
linux,CVE-2021-28691,fix,v6.7
linux,CVE-2021-28691,vul,v5.10
linux,CVE-2021-28691,vul,v5.5
linux,CVE-2021-28713,vul,v3.18
linux,CVE-2021-28964,vul,v4.2
linux,CVE-2021-29264,vul,v4.16
linux,CVE-2021-3178,vul,v4.1
linux,CVE-2021-33098,vul,v3.8
linux,CVE-2021-33098,vul,v4.7
linux,CVE-2021-33655,vul,v4.14
linux,CVE-2021-33655,vul,v5.9
linux,CVE-2021-33656,vul,v2.6.37
linux,CVE-2021-33656,vul,v3.5
linux,CVE-2021-3564,vul,v4.8
linux,CVE-2021-3573,vul,v3.4
linux,CVE-2021-3609,fix,v6.15
linux,CVE-2021-3609,fix,v6.5
linux,CVE-2021-3640,vul,v2.6.12
linux,CVE-2021-3640,vul,v2.6.35
linux,CVE-2021-3655,vul,v3.15
linux,CVE-2021-3715,vul,v3.18
linux,CVE-2021-3715,vul,v4.14
linux,CVE-2021-3732,pre,v3.12
linux,CVE-2021-3732,vul,v3.18
linux,CVE-2021-3732,vul,v4.10
linux,CVE-2021-3752,vul,v3.8
linux,CVE-2021-38199,pre,v3.14
linux,CVE-2021-38199,vul,v4.13
linux,CVE-2021-38199,vul,v4.8
linux,CVE-2021-38206,vul,v5.11
linux,CVE-2021-38206,vul,v5.9
linux,CVE-2021-39685,vul,v4.2
linux,CVE-2021-4028,pre,v4.2
linux,CVE-2021-4028,vul,v5.10
linux,CVE-2021-4028,vul,v5.11
linux,CVE-2021-4083,vul,v5.11
linux,CVE-2021-4083,vul,v5.6
linux,CVE-2021-4203,vul,v2.6.36
linux,CVE-2021-4203,vul,v4.10
linux,CVE-2021-45095,vul,v4.2
linux,CVE-2021-45868,vul,v2.6.30
