vul_id,repo,fixed_commit_sha,tag,version,vuddy,movery,v1scan,fire,vulture,verdict
CVE-2020-13904,FFmpeg/FFmpeg,c229e5e80f1b67b2120f317e815fec29ca1390a5,vul,n2.1.2,FN,TP,FN,FN,FN,FN
CVE-2020-13904,FFmpeg/FFmpeg,c229e5e80f1b67b2120f317e815fec29ca1390a5,vul,n1.2.1,FN,TP,FN,FN,FN,FN
CVE-2020-13904,FFmpeg/FFmpeg,c229e5e80f1b67b2120f317e815fec29ca1390a5,fix,n4.1.6,TN,FP,FP,TN,TN,TN
CVE-2020-13904,FFmpeg/FFmpeg,c229e5e80f1b67b2120f317e815fec29ca1390a5,fix,n4.1.9,TN,FP,TN,TN,TN,TN
CVE-2020-20448,FFmpeg/FFmpeg,8802e329c8317ca5ceb929df48a23eb0f9e852b2,vul,n1.1.4,FN,TP,FN,TP,FN,TP
CVE-2020-20448,FFmpeg/FFmpeg,8802e329c8317ca5ceb929df48a23eb0f9e852b2,vul,n2.6.1,FN,TP,TP,TP,FN,TP
CVE-2020-20448,FFmpeg/FFmpeg,8802e329c8317ca5ceb929df48a23eb0f9e852b2,fix,n4.4.5,TN,TN,TN,TN,TN,TN
CVE-2020-20448,FFmpeg/FFmpeg,8802e329c8317ca5ceb929df48a23eb0f9e852b2,fix,n8.0,TN,TN,TN,TN,TN,TN
CVE-2020-20450,FFmpeg/FFmpeg,3865b1952e5cf993b016d83ba78fe1deb63bbfad,pre,v0.6,TN,FP,TN,TN,TN,FP
CVE-2020-20450,FFmpeg/FFmpeg,3865b1952e5cf993b016d83ba78fe1deb63bbfad,vul,n3.1.4,FN,TP,FN,TP,FN,TP
CVE-2020-20450,FFmpeg/FFmpeg,3865b1952e5cf993b016d83ba78fe1deb63bbfad,vul,n4.0,FN,TP,FN,TP,FN,TP
CVE-2020-20450,FFmpeg/FFmpeg,3865b1952e5cf993b016d83ba78fe1deb63bbfad,fix,n4.3.3,TN,FP,TN,TN,TN,TN
CVE-2020-20453,FFmpeg/FFmpeg,a7a7f32c8ad0179a1a85d0a8cff35924e6d90be8,pre,n2.5.11,TN,TN,TN,TN,TN,FP
CVE-2020-20453,FFmpeg/FFmpeg,a7a7f32c8ad0179a1a85d0a8cff35924e6d90be8,vul,n3.4.4,FN,TP,TP,TP,FN,TP
CVE-2020-20453,FFmpeg/FFmpeg,a7a7f32c8ad0179a1a85d0a8cff35924e6d90be8,vul,n3.0.10,FN,TP,TP,TP,FN,TP
CVE-2020-20453,FFmpeg/FFmpeg,a7a7f32c8ad0179a1a85d0a8cff35924e6d90be8,fix,n8.0,TN,TN,TN,TN,TN,TN
CVE-2020-20892,FFmpeg/FFmpeg,19587c9332f5be4f6bc6d7b2b8ef3fd21dfeaa01,vul,n3.4.4,FN,TP,TP,FN,FN,TP
CVE-2020-20892,FFmpeg/FFmpeg,19587c9332f5be4f6bc6d7b2b8ef3fd21dfeaa01,vul,n3.1.4,FN,TP,FN,FN,FN,TP
CVE-2020-20892,FFmpeg/FFmpeg,19587c9332f5be4f6bc6d7b2b8ef3fd21dfeaa01,fix,n4.4,TN,TN,TN,TN,TN,TN
CVE-2020-20892,FFmpeg/FFmpeg,19587c9332f5be4f6bc6d7b2b8ef3fd21dfeaa01,fix,n5.0,TN,TN,TN,TN,TN,TN
CVE-2020-20898,FFmpeg/FFmpeg,99f8d32129dd233d4eb2efa44678a0bc44869f23,vul,n4.1.10,FN,TP,FN,TP,FN,TP
CVE-2020-20898,FFmpeg/FFmpeg,99f8d32129dd233d4eb2efa44678a0bc44869f23,vul,n3.2.12,FN,TP,FN,FN,FN,TP
CVE-2020-20898,FFmpeg/FFmpeg,99f8d32129dd233d4eb2efa44678a0bc44869f23,fix,n4.4,TN,FP,TN,TN,TN,TN
CVE-2020-20898,FFmpeg/FFmpeg,99f8d32129dd233d4eb2efa44678a0bc44869f23,fix,n6.0,TN,FP,TN,TN,TN,TN
CVE-2020-20902,FFmpeg/FFmpeg,0c61661a2cbe1b8b284c80ada1c2fdddf4992cad,vul,n1.1.4,FN,FN,FN,FN,FN,TP
CVE-2020-20902,FFmpeg/FFmpeg,0c61661a2cbe1b8b284c80ada1c2fdddf4992cad,vul,n2.8.1,FN,FN,FN,FN,FN,TP
CVE-2020-20902,FFmpeg/FFmpeg,0c61661a2cbe1b8b284c80ada1c2fdddf4992cad,fix,n4.3.6,TN,TN,TN,TN,TN,TN
CVE-2020-20902,FFmpeg/FFmpeg,0c61661a2cbe1b8b284c80ada1c2fdddf4992cad,fix,n8.0,TN,TN,TN,TN,TN,TN
CVE-2020-22015,FFmpeg/FFmpeg,14e172600e65817144be48a774c9b699b9563653,pre,n3.0,TN,TN,TN,TN,TN,TN
CVE-2020-22015,FFmpeg/FFmpeg,14e172600e65817144be48a774c9b699b9563653,vul,n3.4.3,FN,TP,FN,TP,FN,TP
CVE-2020-22015,FFmpeg/FFmpeg,14e172600e65817144be48a774c9b699b9563653,vul,n4.2.2,FN,TP,TP,TP,FN,TP
CVE-2020-22015,FFmpeg/FFmpeg,14e172600e65817144be48a774c9b699b9563653,fix,n4.1.7,TN,TN,TN,TN,TN,TN
CVE-2020-22017,FFmpeg/FFmpeg,d4d6b7b0355f3597cad3b8d12911790c73b5f96d,vul,n3.4.3,FN,TP,FN,FN,FN,TP
