repo,cve,type,version
FFmpeg,CVE-2020-13904,fix,n4.1.6
FFmpeg,CVE-2020-20448,vul,n2.6.1
FFmpeg,CVE-2020-20453,vul,n3.0.10
FFmpeg,CVE-2020-20453,vul,n3.4.4
FFmpeg,CVE-2020-20891,vul,n4.2.2
FFmpeg,CVE-2020-20892,vul,n3.4.4
FFmpeg,CVE-2020-22015,vul,n4.2.2
FFmpeg,CVE-2020-22017,vul,n4.2.2
FFmpeg,CVE-2020-22021,vul,n4.4
FFmpeg,CVE-2020-22022,vul,n3.4.4
FFmpeg,CVE-2020-22036,vul,n4.2.2
FFmpeg,CVE-2020-22038,vul,n4.3.6
FFmpeg,CVE-2020-22039,vul,n3.3.2
FFmpeg,CVE-2020-22040,vul,n3.4.4
FFmpeg,CVE-2020-22040,vul,n4.2.2
FFmpeg,CVE-2020-22043,vul,n3.1.4
FFmpeg,CVE-2020-22043,vul,n4.2.10
FFmpeg,CVE-2020-22054,vul,n4.2.2
FFmpeg,CVE-2020-35965,fix,n6.1
FFmpeg,CVE-2020-35965,fix,n8.0
FFmpeg,CVE-2021-38090,vul,n4.2.2
FFmpeg,CVE-2021-38091,vul,n4.2.2
FFmpeg,CVE-2021-38093,vul,n4.2.2
FFmpeg,CVE-2021-38094,vul,n4.2.2
FFmpeg,CVE-2022-3341,vul,n3.1.4
ImageMagick,CVE-2020-10251,vul,7.0.9-23
ImageMagick,CVE-2020-19667,vul,7.0.7-39
ImageMagick,CVE-2020-19667,vul,7.0.8-19
ImageMagick,CVE-2020-25664,vul,7.0.6-2
ImageMagick,CVE-2020-25664,vul,7.0.7-39
ImageMagick,CVE-2020-25674,vul,7.0.6-2
ImageMagick,CVE-2020-25674,vul,7.0.7-39
ImageMagick,CVE-2020-25675,vul,7.0.7-39
ImageMagick,CVE-2020-25676,vul,7.0.2-10
ImageMagick,CVE-2020-25676,vul,7.0.7-39
ImageMagick,CVE-2020-27560,vul,7.0.7-17
ImageMagick,CVE-2020-27560,vul,7.0.7-39
ImageMagick,CVE-2020-27753,fix,7.1.0-52
ImageMagick,CVE-2020-27753,fix,7.1.2-0
ImageMagick,CVE-2020-27753,vul,7.0.7-39
ImageMagick,CVE-2020-27753,vul,7.0.8-4
ImageMagick,CVE-2020-27756,vul,7.0.7-23
ImageMagick,CVE-2020-27756,vul,7.0.7-39
ImageMagick,CVE-2020-27760,vul,7.0.7-39
ImageMagick,CVE-2020-27762,vul,7.0.7-39
ImageMagick,CVE-2020-27765,vul,7.0.7-39
ImageMagick,CVE-2020-27769,vul,7.0.7-17
ImageMagick,CVE-2020-27769,vul,7.0.7-39
ImageMagick,CVE-2020-27771,vul,7.0.8-55
ImageMagick,CVE-2020-27829,fix,7.1.2-6
ImageMagick,CVE-2020-27829,pre,7.0.9-7
ImageMagick,CVE-2020-27829,vul,7.0.10-0
ImageMagick,CVE-2020-27829,vul,7.0.10-10
ImageMagick,CVE-2021-20224,vul,7.0.10-56
ImageMagick,CVE-2021-20241,vul,7.0.10-57
ImageMagick,CVE-2021-20311,pre,7.0.7-17
ImageMagick,CVE-2021-20311,vul,7.0.7-39
ImageMagick,CVE-2021-20311,vul,7.0.9-15
ImageMagick,CVE-2021-20312,vul,7.0.7-39
ImageMagick,CVE-2021-20312,vul,7.0.9-15
ImageMagick,CVE-2021-20313,pre,7.0.7-17
ImageMagick,CVE-2021-20313,vul,7.0.7-39
ImageMagick,CVE-2021-20313,vul,7.0.9-15
ImageMagick,CVE-2021-3574,fix,7.1.0-48
ImageMagick,CVE-2021-3574,fix,7.1.2-6
ImageMagick,CVE-2021-3574,vul,7.0.10-10
ImageMagick,CVE-2021-3574,vul,7.0.10-24
ImageMagick,CVE-2021-3610,fix,7.1.2-6
ImageMagick,CVE-2021-3610,pre,7.0.9-7
ImageMagick,CVE-2021-3610,vul,7.0.10-10
ImageMagick,CVE-2021-3610,vul,7.0.9-27
ImageMagick,CVE-2021-3962,fix,7.1.2-0
ImageMagick,CVE-2021-3962,vul,7.1.0-12
ImageMagick,CVE-2021-3962,vul,7.1.0-13
ImageMagick,CVE-2021-4219,vul,7.0.10-33
ImageMagick,CVE-2021-4219,vul,7.1.0-1
ImageMagick,CVE-2022-1114,fix,7.1.2-0
ImageMagick,CVE-2022-1114,vul,7.1.0-16
ImageMagick,CVE-2022-1114,vul,7.1.0-20
ImageMagick,CVE-2022-1115,fix,7.1.2-6
ImageMagick,CVE-2022-1115,pre,7.1.0-0
ImageMagick,CVE-2022-1115,vul,7.1.0-11
ImageMagick,CVE-2022-1115,vul,7.1.0-16
ImageMagick,CVE-2022-28463,vul,7.0.7-18
ImageMagick,CVE-2022-28463,vul,7.0.7-39
ImageMagick,CVE-2022-3213,fix,7.1.2-6
ImageMagick,CVE-2022-3213,pre,7.0.9-7
ImageMagick,CVE-2022-3213,vul,7.0.10-10
ImageMagick,CVE-2022-3213,vul,7.0.11-9
ImageMagick,CVE-2022-32547,vul,7.0.7-39
ImageMagick,CVE-2022-32547,vul,7.0.8-40
ImageMagick,CVE-2023-1906,fix,7.1.2-6
ImageMagick,CVE-2023-1906,pre,7.0.9-7
ImageMagick,CVE-2023-1906,vul,7.0.10-10
ImageMagick,CVE-2023-1906,vul,7.0.10-12
ImageMagick,CVE-2023-3195,fix,7.1.2-6
ImageMagick,CVE-2023-3195,pre,7.0.9-0
ImageMagick,CVE-2023-3195,vul,7.0.10-10
ImageMagick,CVE-2023-3195,vul,7.0.11-9
ImageMagick,CVE-2023-34474,vul,7.1.0-17
ImageMagick,CVE-2023-34475,vul,7.1.0-17
ImageMagick,CVE-2023-3745,fix,7.1.2-6
ImageMagick,CVE-2023-3745,pre,7.0.9-7
ImageMagick,CVE-2023-3745,vul,7.0.9-23
ImageMagick,CVE-2023-3745,vul,7.0.9-27
ImageMagick,CVE-2023-5341,vul,7.0.7-39
ImageMagick,CVE-2023-5341,vul,7.1.1-7
curl,CVE-2021-22897,vul,curl-7.75.0
curl,CVE-2021-22897,vul,curl-7.76.0
curl,CVE-2021-22922,vul,curl-7.48.0
curl,CVE-2021-22923,vul,curl-7.48.0
curl,CVE-2021-22945,vul,curl-7.78.0
curl,CVE-2022-27774,vul,curl-7.78.0
curl,CVE-2022-27775,vul,curl-7.79.0
curl,CVE-2022-27776,vul,curl-7.80.0
curl,CVE-2022-27780,vul,curl-7.82.0
curl,CVE-2022-42915,vul,curl-7.85.0
curl,CVE-2022-43552,vul,curl-7.84.0
curl,CVE-2023-23914,pre,curl-7.76.0
curl,CVE-2023-23914,vul,curl-7.85.0
curl,CVE-2023-23914,vul,curl-7.86.0
curl,CVE-2023-23915,pre,curl-7.76.0
curl,CVE-2023-23915,vul,curl-7.85.0
curl,CVE-2023-23915,vul,curl-7.86.0
curl,CVE-2023-28319,vul,curl-7.85.0
curl,CVE-2023-28320,vul,curl-7.66.0
curl,CVE-2023-28321,vul,curl-7.84.0
curl,CVE-2023-38039,vul,curl-7.88.0
curl,CVE-2024-2466,vul,curl-8.5.0
curl,CVE-2024-2466,vul,curl-8.6.0
curl,CVE-2024-8096,vul,curl-7.87.0
httpd,CVE-2020-11985,vul,2.4.20
httpd,CVE-2021-33193,fix,2.4.58
httpd,CVE-2021-33193,pre,2.2.30
httpd,CVE-2021-33193,vul,2.4.40
httpd,CVE-2021-33193,vul,2.4.43
httpd,CVE-2022-31813,vul,2.4.51
linux,CVE-2020-0041,fix,v6.17
linux,CVE-2020-0041,pre,v4.20
linux,CVE-2020-0041,vul,v5.1
linux,CVE-2020-0041,vul,v5.3
linux,CVE-2020-0404,vul,v4.10
linux,CVE-2020-0423,vul,v4.15
linux,CVE-2020-0433,vul,v4.12
linux,CVE-2020-0444,vul,v4.3
linux,CVE-2020-10690,pre,v2.6.39
linux,CVE-2020-10690,vul,v3.0
linux,CVE-2020-10690,vul,v4.9
linux,CVE-2020-10767,vul,v4.20
linux,CVE-2020-10767,vul,v5.0
linux,CVE-2020-10773,vul,v2.6.32
linux,CVE-2020-12114,vul,v4.0
linux,CVE-2020-12352,vul,v3.13
linux,CVE-2020-12352,vul,v3.6
linux,CVE-2020-12768,vul,v4.18
linux,CVE-2020-12769,vul,v3.1
linux,CVE-2020-12769,vul,v4.1
linux,CVE-2020-12771,vul,v3.15
linux,CVE-2020-12771,vul,v4.19
linux,CVE-2020-12888,vul,v3.6
linux,CVE-2020-12888,vul,v4.5
linux,CVE-2020-14305,vul,v3.6
linux,CVE-2020-14305,vul,v4.5
linux,CVE-2020-14385,vul,v5.5
linux,CVE-2020-14386,vul,v4.13
linux,CVE-2020-14386,vul,v4.6
linux,CVE-2020-15852,vul,v5.5
linux,CVE-2020-1749,vul,v4.14
linux,CVE-2020-25645,vul,v4.14
linux,CVE-2020-25656,vul,v2.6.37
linux,CVE-2020-25656,vul,v5.2
linux,CVE-2020-25668,vul,v2.6.37
linux,CVE-2020-25668,vul,v3.5
linux,CVE-2020-25669,vul,v2.6.19
linux,CVE-2020-25673,vul,v3.11
linux,CVE-2020-26088,vul,v4.2
linux,CVE-2020-27067,vul,v2.6.35
linux,CVE-2020-27067,vul,v4.9
linux,CVE-2020-27170,pre,v5.8
linux,CVE-2020-27170,vul,v5.10
linux,CVE-2020-27170,vul,v5.11
linux,CVE-2020-27418,vul,v2.6.24
linux,CVE-2020-27675,vul,v3.14
linux,CVE-2020-27675,vul,v5.4
linux,CVE-2020-28097,vul,v2.6.24
linux,CVE-2020-28374,vul,v4.9
