repo,cve,type,version
linux,CVE-2020-0009,vul,v3.3
linux,CVE-2020-0009,vul,v4.6
linux,CVE-2020-0041,vul,v5.1
linux,CVE-2020-0041,vul,v5.3
linux,CVE-2020-0067,vul,v4.4
linux,CVE-2020-0404,vul,v3.7
linux,CVE-2020-0404,vul,v4.10
linux,CVE-2020-0423,pre,v3.19
linux,CVE-2020-0423,vul,v4.14
linux,CVE-2020-0423,vul,v4.15
linux,CVE-2020-0427,vul,v3.5
linux,CVE-2020-0427,vul,v4.1
linux,CVE-2020-0429,vul,v2.6.35
linux,CVE-2020-0429,vul,v3.5
linux,CVE-2020-0430,pre,v4.12
linux,CVE-2020-0430,vul,v4.14
linux,CVE-2020-0430,vul,v4.16
linux,CVE-2020-0444,vul,v3.18
linux,CVE-2020-0444,vul,v4.3
linux,CVE-2020-0465,vul,v3.15
linux,CVE-2020-10135,vul,v2.6.12
linux,CVE-2020-10135,vul,v3.5
ImageMagick,CVE-2020-10251,vul,7.0.8-60
ImageMagick,CVE-2020-10251,vul,7.0.9-23
linux,CVE-2020-10690,pre,v2.6.39
linux,CVE-2020-10690,vul,v3.0
linux,CVE-2020-10690,vul,v4.9
linux,CVE-2020-10711,pre,v3.14
linux,CVE-2020-10711,vul,v3.17
linux,CVE-2020-10711,vul,v4.8
linux,CVE-2020-10720,vul,v3.15
linux,CVE-2020-10720,vul,v4.7
linux,CVE-2020-10732,vul,v2.6.25
linux,CVE-2020-10732,vul,v4.9
linux,CVE-2020-10742,vul,v2.6.24
linux,CVE-2020-10757,pre,v3.18
linux,CVE-2020-10757,vul,v4.5
linux,CVE-2020-10757,vul,v4.14
linux,CVE-2020-10757,fix,v6.17
linux,CVE-2020-10766,vul,v4.20
linux,CVE-2020-10766,vul,v5.1
linux,CVE-2020-10767,vul,v4.20
linux,CVE-2020-10767,vul,v5.0
linux,CVE-2020-10773,vul,v2.6.12
linux,CVE-2020-10773,vul,v2.6.32
linux,CVE-2020-11494,vul,v2.6.38
linux,CVE-2020-11494,vul,v3.11
wireshark,CVE-2020-11647,pre,wireshark-1.2.0
wireshark,CVE-2020-11647,vul,v1.10.8
wireshark,CVE-2020-11647,vul,v2.2.0
httpd,CVE-2020-11985,vul,2.4.20
httpd,CVE-2020-11985,vul,2.4.4
linux,CVE-2020-12114,pre,v3.6
linux,CVE-2020-12114,vul,v3.10
linux,CVE-2020-12114,vul,v4.0
linux,CVE-2020-12352,vul,v3.6
linux,CVE-2020-12352,vul,v3.13
linux,CVE-2020-12655,vul,v3.17
linux,CVE-2020-12655,vul,v4.9
linux,CVE-2020-12659,vul,v4.18
linux,CVE-2020-12659,vul,v5.3
linux,CVE-2020-12768,vul,v4.16
linux,CVE-2020-12768,vul,v4.18
linux,CVE-2020-12771,vul,v3.15
linux,CVE-2020-12771,vul,v4.19
linux,CVE-2020-12826,vul,v3.7
linux,CVE-2020-14305,vul,v3.6
linux,CVE-2020-14305,vul,v4.5
linux,CVE-2020-14314,pre,v2.6.22
linux,CVE-2020-14314,vul,v2.6.23
linux,CVE-2020-14314,vul,v3.5
linux,CVE-2020-14351,vul,v3.10
linux,CVE-2020-14351,vul,v4.13
linux,CVE-2020-14381,vul,v3.8
linux,CVE-2020-14386,pre,v4.1
linux,CVE-2020-14386,vul,v4.6
linux,CVE-2020-14386,vul,v4.13
linux,CVE-2020-14416,vul,v2.6.38
linux,CVE-2020-14416,vul,v3.12
linux,CVE-2020-15436,pre,v2.6.36
linux,CVE-2020-15436,vul,v2.6.38
linux,CVE-2020-15436,vul,v4.5
linux,CVE-2020-15437,vul,v3.9
linux,CVE-2020-15437,vul,v4.8
linux,CVE-2020-15852,vul,v5.5
linux,CVE-2020-15852,vul,v5.6
linux,CVE-2020-16120,vul,v3.18
linux,CVE-2020-16120,vul,v4.17
linux,CVE-2020-1749,vul,v4.4
linux,CVE-2020-1749,vul,v4.14
wireshark,CVE-2020-17498,vul,v3.2.2
wireshark,CVE-2020-17498,vul,v3.1.1
ImageMagick,CVE-2020-19667,vul,7.0.7-39
ImageMagick,CVE-2020-19667,vul,7.0.8-19
FFmpeg,CVE-2020-20448,vul,n1.1.4
FFmpeg,CVE-2020-20448,vul,n2.6.1
FFmpeg,CVE-2020-20450,pre,v0.6
FFmpeg,CVE-2020-20450,vul,n3.1.4
FFmpeg,CVE-2020-20450,vul,n4.0
FFmpeg,CVE-2020-20453,pre,n2.5.11
FFmpeg,CVE-2020-20453,vul,n3.4.4
FFmpeg,CVE-2020-20453,vul,n3.0.10
FFmpeg,CVE-2020-20892,vul,n3.4.4
FFmpeg,CVE-2020-20892,vul,n3.1.4
FFmpeg,CVE-2020-20898,vul,n4.1.10
FFmpeg,CVE-2020-20898,vul,n3.2.12
FFmpeg,CVE-2020-20902,vul,n1.1.4
FFmpeg,CVE-2020-20902,vul,n2.8.1
FFmpeg,CVE-2020-22015,vul,n3.4.3
FFmpeg,CVE-2020-22015,vul,n4.2.2
FFmpeg,CVE-2020-22017,vul,n3.4.3
FFmpeg,CVE-2020-22017,vul,n4.2.2
FFmpeg,CVE-2020-22021,pre,n1.2
FFmpeg,CVE-2020-22021,vul,n2.1.2
FFmpeg,CVE-2020-22021,vul,n4.4
FFmpeg,CVE-2020-22022,pre,n1.2.3
FFmpeg,CVE-2020-22022,vul,n2.1.2
FFmpeg,CVE-2020-22022,vul,n3.4.4
FFmpeg,CVE-2020-22030,pre,n3.4
FFmpeg,CVE-2020-22030,vul,n4.2.2
FFmpeg,CVE-2020-22030,vul,n4.1.5
FFmpeg,CVE-2020-22036,vul,n3.4.3
FFmpeg,CVE-2020-22036,vul,n4.2.2
FFmpeg,CVE-2020-22038,pre,n4.0
FFmpeg,CVE-2020-22038,vul,n4.3.6
FFmpeg,CVE-2020-22038,vul,n4.2.2
FFmpeg,CVE-2020-22039,pre,v0.5
FFmpeg,CVE-2020-22039,vul,n3.1.4
FFmpeg,CVE-2020-22039,vul,n3.3.2
FFmpeg,CVE-2020-22040,vul,n3.4.4
FFmpeg,CVE-2020-22040,vul,n4.2.2
FFmpeg,CVE-2020-22042,vul,n3.4.4
FFmpeg,CVE-2020-22042,vul,n4.2.7
FFmpeg,CVE-2020-22043,vul,n3.1.4
FFmpeg,CVE-2020-22043,vul,n4.2.10
FFmpeg,CVE-2020-22044,vul,n2.1.2
FFmpeg,CVE-2020-22044,vul,n2.8.1
FFmpeg,CVE-2020-22054,vul,n3.4.4
FFmpeg,CVE-2020-22054,vul,n4.2.2
linux,CVE-2020-24586,vul,v2.6.24
linux,CVE-2020-24586,vul,v3.12
linux,CVE-2020-25285,vul,v2.6.27
linux,CVE-2020-25285,vul,v3.8
linux,CVE-2020-25645,vul,v4.3
linux,CVE-2020-25645,vul,v4.14
linux,CVE-2020-25656,vul,v2.6.37
linux,CVE-2020-25656,vul,v5.2
