project,cve,type,detected_version,vulnerability_paths
torvalds,CVE-2020-0404,vul,v4.10,./vul/testset/CVE-2020-0404##68035c80##uvc_driver.c_1_OLD.vul;./vul/testset/CVE-2020-0404##68035c80##uvc_driver.c_2_OLD.vul
torvalds,CVE-2020-0423,vul,v4.15,./vul/testset/CVE-2020-0423##f3277cbf##binder.c_7_OLD.vul
torvalds,CVE-2020-0433,vul,v4.12,./vul/testset/CVE-2020-0433##f5bbbbe4##blk-mq-tag.c_1_OLD.vul
torvalds,CVE-2020-0444,vul,v4.3,./vul/testset/CVE-2020-0444##2ad3e17e##auditfilter.c_1_OLD.vul
torvalds,CVE-2020-0465,vul,v3.15,./vul/testset/CVE-2020-0465##35556bed##hid.h_3_OLD.vul;./vul/testset/CVE-2020-0465##35556bed##hid.h_4_OLD.vul
torvalds,CVE-2020-10690,pre,v2.6.39,./vul/testset/CVE-2020-10690##a33121e5##posix-clock.c_1_OLD.vul;./vul/testset/CVE-2020-10690##a33121e5##posix-clock.c_2_OLD.vul;./vul/testset/CVE-2020-10690##a33121e5##posix-clock.c_3_OLD.vul;./vul/testset/CVE-2020-10690##a33121e5##posix-clock.c_4_OLD.vul
torvalds,CVE-2020-10690,vul,v4.9,./vul/testset/CVE-2020-10690##a33121e5##posix-clock.c_1_OLD.vul;./vul/testset/CVE-2020-10690##a33121e5##posix-clock.c_2_OLD.vul;./vul/testset/CVE-2020-10690##a33121e5##posix-clock.c_3_OLD.vul;./vul/testset/CVE-2020-10690##a33121e5##posix-clock.c_4_OLD.vul
torvalds,CVE-2020-10711,vul,v4.8,./vul/testset/CVE-2020-10711##eead1c2e##calipso.c_3_OLD.vul;./vul/testset/CVE-2020-10711##eead1c2e##cipso_ipv4.c_1_OLD.vul;./vul/testset/CVE-2020-10711##eead1c2e##cipso_ipv4.c_3_OLD.vul;./vul/testset/CVE-2020-10711##eead1c2e##netlabel_kapi.c_1_OLD.vul
torvalds,CVE-2020-10720,vul,v4.7,./vul/testset/CVE-2020-10720##a4270d67##dev.c_1_OLD.vul
torvalds,CVE-2020-10766,vul,v5.1,./vul/testset/CVE-2020-10766##dbbe2ad0##process.c_3_OLD.vul
torvalds,CVE-2020-10767,vul,v4.20,./vul/testset/CVE-2020-10767##21998a35##bugs.c_14_OLD.vul
torvalds,CVE-2020-10767,vul,v5.0,./vul/testset/CVE-2020-10767##21998a35##bugs.c_13_OLD.vul;./vul/testset/CVE-2020-10767##21998a35##bugs.c_18_OLD.vul;./vul/testset/CVE-2020-10767##21998a35##bugs.c_22_OLD.vul;./vul/testset/CVE-2020-10767##21998a35##bugs.c_8_OLD.vul
torvalds,CVE-2020-12114,vul,v4.0,./vul/testset/CVE-2020-12114##4edbe133##namespace.c_13_OLD.vul;./vul/testset/CVE-2020-12114##4edbe133##namespace.c_1_OLD.vul;./vul/testset/CVE-2020-12114##4edbe133##namespace.c_2_OLD.vul
