cve,type,version_path
CVE-2023-52588,vul,torvalds/linux/CVE-2023-52588/vul/v5.6
CVE-2021-28711,vul,torvalds/linux/CVE-2021-28711/vul/v2.6.23
CVE-2021-28711,vul,torvalds/linux/CVE-2021-28711/vul/v3.9
CVE-2023-40283,vul,torvalds/linux/CVE-2023-40283/vul/v2.6.39
CVE-2023-40283,vul,torvalds/linux/CVE-2023-40283/vul/v5.7
CVE-2020-26558,vul,torvalds/linux/CVE-2020-26558/vul/v3.19
CVE-2023-2985,vul,torvalds/linux/CVE-2023-2985/vul/v2.6.38
CVE-2022-1184,vul,torvalds/linux/CVE-2022-1184/vul/v2.6.19
CVE-2023-2177,vul,torvalds/linux/CVE-2023-2177/vul/v4.15
CVE-2023-2177,vul,torvalds/linux/CVE-2023-2177/vul/v5.1
CVE-2022-3567,vul,torvalds/linux/CVE-2022-3567/vul/v3.8
CVE-2022-3621,vul,torvalds/linux/CVE-2022-3621/vul/v2.6.30
CVE-2022-3621,vul,torvalds/linux/CVE-2022-3621/vul/v3.2
CVE-2024-26696,vul,torvalds/linux/CVE-2024-26696/vul/v3.9
CVE-2024-26696,vul,torvalds/linux/CVE-2024-26696/vul/v4.11
CVE-2021-29154,vul,torvalds/linux/CVE-2021-29154/vul/v4.12
CVE-2024-26614,vul,torvalds/linux/CVE-2024-26614/vul/v4.4
CVE-2021-47024,vul,torvalds/linux/CVE-2021-47024/vul/v5.6
CVE-2020-26139,vul,torvalds/linux/CVE-2020-26139/vul/v2.6.25
CVE-2020-26139,vul,torvalds/linux/CVE-2020-26139/vul/v3.14
CVE-2023-20588,vul,torvalds/linux/CVE-2023-20588/vul/v2.6.24
CVE-2023-20588,vul,torvalds/linux/CVE-2023-20588/vul/v3.17
CVE-2023-20593,vul,torvalds/linux/CVE-2023-20593/vul/v3.19
CVE-2022-1012,vul,torvalds/linux/CVE-2022-1012/vul/v2.6.16
CVE-2022-1012,vul,torvalds/linux/CVE-2022-1012/vul/v3.9
CVE-2021-46928,vul,torvalds/linux/CVE-2021-46928/vul/v4.2
CVE-2021-3923,vul,torvalds/linux/CVE-2021-3923/vul/v4.12
CVE-2021-3923,vul,torvalds/linux/CVE-2021-3923/vul/v4.14
CVE-2023-52473,vul,torvalds/linux/CVE-2023-52473/vul/v6.4
CVE-2020-28097,vul,torvalds/linux/CVE-2020-28097/vul/v2.6.12
CVE-2020-28097,vul,torvalds/linux/CVE-2020-28097/vul/v2.6.24
CVE-2021-47166,vul,torvalds/linux/CVE-2021-47166/vul/v4.0
CVE-2020-0255,vul,torvalds/linux/CVE-2020-0255/vul/v2.6.12
CVE-2020-0255,vul,torvalds/linux/CVE-2020-0255/vul/v2.6.33
CVE-2022-42895,vul,torvalds/linux/CVE-2022-42895/vul/v2.6.39
CVE-2022-1048,vul,torvalds/linux/CVE-2022-1048/vul/v3.7
CVE-2022-3649,vul,torvalds/linux/CVE-2022-3649/vul/v2.6.30
CVE-2023-34319,vul,torvalds/linux/CVE-2023-34319/vul/v6.3
CVE-2020-14381,vul,torvalds/linux/CVE-2020-14381/vul/v3.8
CVE-2021-39686,vul,torvalds/linux/CVE-2021-39686/vul/v3.19
CVE-2023-6121,vul,torvalds/linux/CVE-2023-6121/vul/v4.8
CVE-2023-6121,vul,torvalds/linux/CVE-2023-6121/vul/v5.2
CVE-2022-1419,vul,torvalds/linux/CVE-2022-1419/vul/v4.1
CVE-2022-1419,vul,torvalds/linux/CVE-2022-1419/vul/v4.13
CVE-2021-47067,vul,torvalds/linux/CVE-2021-47067/vul/v5.5
CVE-2024-0582,vul,torvalds/linux/CVE-2024-0582/vul/v6.4
CVE-2024-0582,vul,torvalds/linux/CVE-2024-0582/vul/v6.5
CVE-2022-48628,vul,torvalds/linux/CVE-2022-48628/vul/v4.10
CVE-2023-4206,vul,torvalds/linux/CVE-2023-4206/vul/v4.18
CVE-2024-25744,vul,torvalds/linux/CVE-2024-25744/vul/v5.17
CVE-2024-25744,vul,torvalds/linux/CVE-2024-25744/vul/v6.0
CVE-2021-4095,vul,torvalds/linux/CVE-2021-4095/vul/v5.12
CVE-2021-4095,vul,torvalds/linux/CVE-2021-4095/vul/v5.15
CVE-2022-33743,vul,torvalds/linux/CVE-2022-33743/vul/v5.16
CVE-2022-33743,vul,torvalds/linux/CVE-2022-33743/vul/v5.9
CVE-2022-23042,vul,torvalds/linux/CVE-2022-23042/vul/v2.6.23
CVE-2022-23042,vul,torvalds/linux/CVE-2022-23042/vul/v3.13
CVE-2024-26583,vul,torvalds/linux/CVE-2024-26583/vul/v5.7
CVE-2022-0168,vul,torvalds/linux/CVE-2022-0168/vul/v4.20
CVE-2020-27066,vul,torvalds/linux/CVE-2020-27066/vul/v3.12
CVE-2020-8649,vul,torvalds/linux/CVE-2020-8649/vul/v2.6.24
CVE-2024-26718,vul,torvalds/linux/CVE-2024-26718/vul/v5.9
CVE-2024-26718,vul,torvalds/linux/CVE-2024-26718/vul/v6.0
CVE-2021-33655,vul,torvalds/linux/CVE-2021-33655/vul/v4.14
CVE-2020-11494,vul,torvalds/linux/CVE-2020-11494/vul/v2.6.38
CVE-2020-11494,vul,torvalds/linux/CVE-2020-11494/vul/v3.11
CVE-2024-26763,vul,torvalds/linux/CVE-2024-26763/vul/v2.6.25
CVE-2024-26763,vul,torvalds/linux/CVE-2024-26763/vul/v3.17
CVE-2021-39634,vul,torvalds/linux/CVE-2021-39634/vul/v2.6.12
CVE-2023-52529,vul,torvalds/linux/CVE-2023-52529/vul/v5.14
CVE-2023-52529,vul,torvalds/linux/CVE-2023-52529/vul/v5.16
CVE-2021-47074,vul,torvalds/linux/CVE-2021-47074/vul/v4.18
CVE-2021-47074,vul,torvalds/linux/CVE-2021-47074/vul/v4.8
CVE-2021-47004,vul,torvalds/linux/CVE-2021-47004/vul/v5.4
CVE-2023-3357,vul,torvalds/linux/CVE-2023-3357/vul/v5.15
CVE-2021-47142,vul,torvalds/linux/CVE-2021-47142/vul/v4.2
CVE-2021-47121,vul,torvalds/linux/CVE-2021-47121/vul/v3.10
CVE-2023-52340,vul,torvalds/linux/CVE-2023-52340/vul/v2.6.12
CVE-2023-52340,vul,torvalds/linux/CVE-2023-52340/vul/v3.2
CVE-2023-21264,vul,torvalds/linux/CVE-2023-21264/vul/v6.1
CVE-2020-9391,vul,torvalds/linux/CVE-2020-9391/vul/v5.5
CVE-2023-52439,vul,torvalds/linux/CVE-2023-52439/vul/v4.18
CVE-2021-39685,vul,torvalds/linux/CVE-2021-39685/vul/v4.2
CVE-2023-52590,vul,torvalds/linux/CVE-2023-52590/vul/v2.6.35
CVE-2024-26733,vul,torvalds/linux/CVE-2024-26733/vul/v4.2
CVE-2021-37159,vul,torvalds/linux/CVE-2021-37159/vul/v3.17
CVE-2022-20422,vul,torvalds/linux/CVE-2022-20422/vul/v3.19
CVE-2020-10773,vul,torvalds/linux/CVE-2020-10773/vul/v2.6.32
CVE-2024-26772,vul,torvalds/linux/CVE-2024-26772/vul/v2.6.25
CVE-2021-3178,vul,torvalds/linux/CVE-2021-3178/vul/v4.1
CVE-2020-26141,vul,torvalds/linux/CVE-2020-26141/vul/v3.19
CVE-2021-45095,vul,torvalds/linux/CVE-2021-45095/vul/v2.6.28
CVE-2021-45095,vul,torvalds/linux/CVE-2021-45095/vul/v4.2
CVE-2021-42327,vul,torvalds/linux/CVE-2021-42327/vul/v5.10
CVE-2021-42327,vul,torvalds/linux/CVE-2021-42327/vul/v5.13
CVE-2020-14416,vul,torvalds/linux/CVE-2020-14416/vul/v3.12
CVE-2022-1734,vul,torvalds/linux/CVE-2022-1734/vul/v4.13
CVE-2022-1734,vul,torvalds/linux/CVE-2022-1734/vul/v4.4
CVE-2020-7053,vul,torvalds/linux/CVE-2020-7053/vul/v4.14
CVE-2023-52620,vul,torvalds/linux/CVE-2023-52620/vul/v3.13
CVE-2020-0009,vul,torvalds/linux/CVE-2020-0009/vul/v4.6
CVE-2020-12888,vul,torvalds/linux/CVE-2020-12888/vul/v4.5
CVE-2020-35519,vul,torvalds/linux/CVE-2020-35519/vul/v2.6.12
CVE-2021-4159,vul,torvalds/linux/CVE-2021-4159/vul/v4.14
CVE-2024-26771,vul,torvalds/linux/CVE-2024-26771/vul/v5.5
CVE-2022-42896,vul,torvalds/linux/CVE-2022-42896/vul/v3.14
CVE-2022-3577,vul,torvalds/linux/CVE-2022-3577/vul/v4.20
CVE-2022-3577,vul,torvalds/linux/CVE-2022-3577/vul/v5.6
CVE-2023-25012,vul,torvalds/linux/CVE-2023-25012/vul/v5.16
CVE-2023-25012,vul,torvalds/linux/CVE-2023-25012/vul/v5.6
CVE-2020-24586,vul,torvalds/linux/CVE-2020-24586/vul/v2.6.24
CVE-2023-1252,vul,torvalds/linux/CVE-2023-1252/vul/v5.6
CVE-2023-1252,vul,torvalds/linux/CVE-2023-1252/vul/v5.8
CVE-2024-26775,vul,torvalds/linux/CVE-2024-26775/vul/v3.19
CVE-2020-36385,vul,torvalds/linux/CVE-2020-36385/vul/v4.17
CVE-2023-52478,vul,torvalds/linux/CVE-2023-52478/vul/v3.19
CVE-2023-52478,vul,torvalds/linux/CVE-2023-52478/vul/v4.6
CVE-2022-20132,vul,torvalds/linux/CVE-2022-20132/vul/v4.17
CVE-2022-1462,vul,torvalds/linux/CVE-2022-1462/vul/v2.6.37
CVE-2023-3141,vul,torvalds/linux/CVE-2023-3141/vul/v2.6.39
CVE-2023-3141,vul,torvalds/linux/CVE-2023-3141/vul/v4.2
CVE-2020-12659,vul,torvalds/linux/CVE-2020-12659/vul/v5.3
CVE-2023-32233,vul,torvalds/linux/CVE-2023-32233/vul/v4.20
CVE-2023-32233,vul,torvalds/linux/CVE-2023-32233/vul/v5.1
CVE-2023-35827,vul,torvalds/linux/CVE-2023-35827/vul/v4.2
CVE-2023-35827,vul,torvalds/linux/CVE-2023-35827/vul/v4.9
CVE-2020-28374,vul,torvalds/linux/CVE-2020-28374/vul/v3.12
CVE-2020-28374,vul,torvalds/linux/CVE-2020-28374/vul/v4.9
CVE-2023-4459,vul,torvalds/linux/CVE-2023-4459/vul/v2.6.32
CVE-2022-1280,vul,torvalds/linux/CVE-2022-1280/vul/v4.9
CVE-2023-1513,vul,torvalds/linux/CVE-2023-1513/vul/v2.6.37
CVE-2021-46972,vul,torvalds/linux/CVE-2021-46972/vul/v5.10
CVE-2021-46972,vul,torvalds/linux/CVE-2021-46972/vul/v5.8
CVE-2022-28388,vul,torvalds/linux/CVE-2022-28388/vul/v3.9
CVE-2022-28388,vul,torvalds/linux/CVE-2022-28388/vul/v5.11
CVE-2024-26615,vul,torvalds/linux/CVE-2024-26615/vul/v4.19
CVE-2024-26615,vul,torvalds/linux/CVE-2024-26615/vul/v5.17
CVE-2023-52491,vul,torvalds/linux/CVE-2023-52491/vul/v5.18
CVE-2021-47091,vul,torvalds/linux/CVE-2021-47091/vul/v5.10
CVE-2021-47091,vul,torvalds/linux/CVE-2021-47091/vul/v5.11
CVE-2023-2483,vul,torvalds/linux/CVE-2023-2483/vul/v4.10
CVE-2023-23006,vul,torvalds/linux/CVE-2023-23006/vul/v5.4
CVE-2023-23006,vul,torvalds/linux/CVE-2023-23006/vul/v5.7
CVE-2022-3202,vul,torvalds/linux/CVE-2022-3202/vul/v4.20
CVE-2022-3629,vul,torvalds/linux/CVE-2022-3629/vul/v5.16
CVE-2021-3640,vul,torvalds/linux/CVE-2021-3640/vul/v2.6.12
CVE-2021-3640,vul,torvalds/linux/CVE-2021-3640/vul/v2.6.35
CVE-2020-27820,vul,torvalds/linux/CVE-2020-27820/vul/v3.17
CVE-2020-27820,vul,torvalds/linux/CVE-2020-27820/vul/v4.20
CVE-2021-47005,vul,torvalds/linux/CVE-2021-47005/vul/v5.1
CVE-2021-47005,vul,torvalds/linux/CVE-2021-47005/vul/v5.7
CVE-2024-1151,vul,torvalds/linux/CVE-2024-1151/vul/v5.6
CVE-2020-15852,vul,torvalds/linux/CVE-2020-15852/vul/v5.6
CVE-2024-26700,vul,torvalds/linux/CVE-2024-26700/vul/v4.15
CVE-2023-52629,vul,torvalds/linux/CVE-2023-52629/vul/v2.6.20
CVE-2023-52629,vul,torvalds/linux/CVE-2023-52629/vul/v3.7
CVE-2023-52520,vul,torvalds/linux/CVE-2023-52520/vul/v5.17
CVE-2022-3643,vul,torvalds/linux/CVE-2022-3643/vul/v5.0
CVE-2024-26588,vul,torvalds/linux/CVE-2024-26588/vul/v6.3
CVE-2021-46997,vul,torvalds/linux/CVE-2021-46997/vul/v5.10
CVE-2021-46997,vul,torvalds/linux/CVE-2021-46997/vul/v5.12
CVE-2023-35828,vul,torvalds/linux/CVE-2023-35828/vul/v4.19
CVE-2023-35828,vul,torvalds/linux/CVE-2023-35828/vul/v6.1
CVE-2022-28390,vul,torvalds/linux/CVE-2022-28390/vul/v2.6.32
CVE-2022-28390,vul,torvalds/linux/CVE-2022-28390/vul/v4.5
CVE-2022-1353,vul,torvalds/linux/CVE-2022-1353/vul/v2.6.12
CVE-2024-26686,vul,torvalds/linux/CVE-2024-26686/vul/v2.6.12
CVE-2020-0067,vul,torvalds/linux/CVE-2020-0067/vul/v3.8
CVE-2021-31916,vul,torvalds/linux/CVE-2021-31916/vul/v4.13
CVE-2022-40982,vul,torvalds/linux/CVE-2022-40982/vul/v5.3
CVE-2024-26601,vul,torvalds/linux/CVE-2024-26601/vul/v5.13
CVE-2023-52632,vul,torvalds/linux/CVE-2023-52632/vul/v5.14
CVE-2023-52632,vul,torvalds/linux/CVE-2023-52632/vul/v5.16
CVE-2022-3566,vul,torvalds/linux/CVE-2022-3566/vul/v3.14
CVE-2023-23002,vul,torvalds/linux/CVE-2023-23002/vul/v5.7
CVE-2020-29569,vul,torvalds/linux/CVE-2020-29569/vul/v4.12
CVE-2022-48627,vul,torvalds/linux/CVE-2022-48627/vul/v3.7
CVE-2023-2162,vul,torvalds/linux/CVE-2023-2162/vul/v4.17
CVE-2021-28964,vul,torvalds/linux/CVE-2021-28964/vul/v3.7
CVE-2021-28964,vul,torvalds/linux/CVE-2021-28964/vul/v4.2
CVE-2021-47113,vul,torvalds/linux/CVE-2021-47113/vul/v4.7
CVE-2020-10135,vul,torvalds/linux/CVE-2020-10135/vul/v2.6.12
CVE-2020-10135,vul,torvalds/linux/CVE-2020-10135/vul/v3.5
CVE-2024-26598,vul,torvalds/linux/CVE-2024-26598/vul/v5.9
CVE-2021-22543,vul,torvalds/linux/CVE-2021-22543/vul/v5.9
CVE-2022-33740,vul,torvalds/linux/CVE-2022-33740/vul/v3.19
CVE-2022-20158,vul,torvalds/linux/CVE-2022-20158/vul/v2.6.14
CVE-2022-0001,vul,torvalds/linux/CVE-2022-0001/vul/v4.15
CVE-2022-0001,vul,torvalds/linux/CVE-2022-0001/vul/v4.20
CVE-2022-26373,vul,torvalds/linux/CVE-2022-26373/vul/v5.2
CVE-2023-52530,vul,torvalds/linux/CVE-2023-52530/vul/v4.14
CVE-2022-1263,vul,torvalds/linux/CVE-2022-1263/vul/v5.11
CVE-2022-1263,vul,torvalds/linux/CVE-2022-1263/vul/v5.6
CVE-2021-47060,vul,torvalds/linux/CVE-2021-47060/vul/v5.9
CVE-2021-46906,vul,torvalds/linux/CVE-2021-46906/vul/v2.6.22
CVE-2023-52573,vul,torvalds/linux/CVE-2023-52573/vul/v5.1
CVE-2023-52573,vul,torvalds/linux/CVE-2023-52573/vul/v5.3
CVE-2022-2991,vul,torvalds/linux/CVE-2022-2991/vul/v4.19
CVE-2023-52501,vul,torvalds/linux/CVE-2023-52501/vul/v2.6.28
CVE-2023-52617,vul,torvalds/linux/CVE-2023-52617/vul/v5.0
CVE-2020-12352,vul,torvalds/linux/CVE-2020-12352/vul/v3.13
CVE-2020-12352,vul,torvalds/linux/CVE-2020-12352/vul/v3.6
CVE-2020-25673,vul,torvalds/linux/CVE-2020-25673/vul/v4.13
CVE-2023-52498,vul,torvalds/linux/CVE-2023-52498/vul/v2.6.24
CVE-2021-28660,vul,torvalds/linux/CVE-2021-28660/vul/v3.12
CVE-2023-6915,vul,torvalds/linux/CVE-2023-6915/vul/v4.19
CVE-2021-47043,vul,torvalds/linux/CVE-2021-47043/vul/v5.8
CVE-2021-47110,vul,torvalds/linux/CVE-2021-47110/vul/v3.10
CVE-2023-52429,vul,torvalds/linux/CVE-2023-52429/vul/v3.9
CVE-2021-3679,vul,torvalds/linux/CVE-2021-3679/vul/v2.6.32
CVE-2022-33981,vul,torvalds/linux/CVE-2022-33981/vul/v5.3
CVE-2021-47036,vul,torvalds/linux/CVE-2021-47036/vul/v5.7
CVE-2023-1611,vul,torvalds/linux/CVE-2023-1611/vul/v3.6
CVE-2023-1611,vul,torvalds/linux/CVE-2023-1611/vul/v4.7
CVE-2021-3564,vul,torvalds/linux/CVE-2021-3564/vul/v3.13
CVE-2021-3564,vul,torvalds/linux/CVE-2021-3564/vul/v4.8
CVE-2023-6546,vul,torvalds/linux/CVE-2023-6546/vul/v2.6.37
CVE-2022-3524,vul,torvalds/linux/CVE-2022-3524/vul/v2.6.17
CVE-2020-0465,vul,torvalds/linux/CVE-2020-0465/vul/v2.6.20
CVE-2023-3338,vul,torvalds/linux/CVE-2023-3338/vul/v2.6.12
