vul_id,repo,fixed_commit_sha,patch_file,patch_func,target_file,target_func,CWE,vuln_type,judgement
CVE-2021-28711,torvalds/linux,0fd08a34e8e3b67ec9bd8287ac0facf8374b844a,drivers/block/xen-blkfront.c,blkif_interrupt,drivers/gpu/drm/xen/xen_drm_front_evtchnl.c,evtchnl_interrupt_ctrl,CWE-400,Unknown,
CVE-2020-36691,torvalds/linux,7690aa1cdf7c4565ad6b013b324c28b685505e24,lib/nlattr.c,__nla_parse,include/net/genetlink.h,genlmsg_parse,CWE-674,Recursion Error,FP
CVE-2021-40576,gpac/gpac,ad18ece95fa064efc0995c4ab2c985f77fb166ec,src/isomedia/hint_track.c,GetHintFormat,src/isomedia/hint_track.c,gf_isom_setup_hint_track,CWE-476,Null Pointer Dereference,FP
CVE-2020-27830,torvalds/linux,f0992098cadb4c9c6a00703b66cafe604e178fea,drivers/accessibility/speakup/spk_ttyio.c,spk_ttyio_ldisc_open,drivers/accessibility/speakup/spk_ttyio.c,spk_ttyio_initialise_ldisc,CWE-476,Null Pointer Dereference,
CVE-2021-47029,torvalds/linux,c996f0346e40e3b1ac2ebaf0681df898fb157f60,drivers/net/wireless/mediatek/mt76/mt76_connac_mcu.c,mt76_connac_mcu_uni_add_dev,drivers/net/wireless/mediatek/mt76/mt76_connac_mcu.c,mt76_connac_mcu_sta_basic_tlv,CWE-754,Logic Error,
CVE-2022-0676,radareorg/radare2,c84b7232626badd075caf3ae29661b609164bac6,libr/bin/p/bin_dyldcache.c,load_buffer,libr/bin/p/bin_dyldcache.c,create_cache_bins,CWE-787,Out-of-bounds Read,FP
CVE-2023-52480,torvalds/linux,53ff5cf89142b978b1a5ca8dc4d4425e6a09745f,fs/smb/server/mgmt/user_session.c,ksmbd_expire_session,fs/smb/server/mgmt/user_session.c,ksmbd_session_lookup_slowpath,CWE-362,Race Condition,
CVE-2023-0615,torvalds/linux,1f65ea411cc7b6ff128d82a3493d7b5648054e6f,drivers/media/test-drivers/vivid/vivid-vid-cap.c,vivid_vid_cap_s_selection,drivers/media/test-drivers/vivid/vivid-vid-cap.c,vivid_s_fmt_vid_cap,CWE-190,Unknown,
CVE-2020-0067,torvalds/linux,688078e7f36c293dae25b338ddc9e0a2790f6e06,fs/f2fs/xattr.c,f2fs_listxattr,fs/f2fs/xattr.c,f2fs_listxattr,CWE-125,Out-of-bounds Read,
CVE-2021-47050,torvalds/linux,59e27d7c94aa02da039b000d33c304c179395801,drivers/memory/renesas-rpc-if.c,rpcif_sw_init,drivers/memory/renesas-rpc-if.c,rpcif_probe,CWE-476,Null Pointer Dereference,FP
