vul_id,repo,fixed_commit_sha,patch_file,patch_func,target_file,target_func,CWE,vuln_type,judgement
CVE-2020-20448,FFmpeg/FFmpeg,8802e329c8317ca5ceb929df48a23eb0f9e852b2,libavcodec/snowenc.c,encode_q_branch,libavcodec/motion_est.c,ff_pre_estimate_p_frame_motion,Unknown,Unknown,TP
CVE-2020-20451,FFmpeg/FFmpeg,21265f42ecb265debe9fec1dbfd0cb7de5a8aefb,fftools/ffmpeg_opt.c,open_files,libavfilter/af_acrossover.c,init,Unknown,Unknown,
CVE-2020-20896,FFmpeg/FFmpeg,dd01947397b98e94c3f2a79d5820aaf4594f4d3b,libavformat/latmenc.c,latm_write_packet,libavformat/adtsenc.c,adts_write_packet,Unknown,Unknown,FP
CVE-2020-20896,FFmpeg/FFmpeg,dd01947397b98e94c3f2a79d5820aaf4594f4d3b,libavformat/latmenc.c,latm_write_packet,libavcodec/audiotoolboxdec.c,ffat_decode,Unknown,Unknown,
CVE-2020-20898,FFmpeg/FFmpeg,99f8d32129dd233d4eb2efa44678a0bc44869f23,libavfilter/vf_convolution.c,filter16_roberts,libavfilter/vf_convolution.c,filter16_3x3,Unknown,Unknown,
CVE-2020-22015,FFmpeg/FFmpeg,14e172600e65817144be48a774c9b699b9563653,libavformat/movenc.c,mov_write_video_tag,libavformat/avidec.c,avi_read_header,Unknown,Unknown,
CVE-2020-22015,FFmpeg/FFmpeg,14e172600e65817144be48a774c9b699b9563653,libavformat/movenc.c,mov_write_video_tag,libavcodec/ffv1enc_template.c,encode_rgb_frame,Unknown,Unknown,
CVE-2020-22016,FFmpeg/FFmpeg,a95d2099b8edb6bb906751a7e27984de2d8930d8,libavformat/movenc.c,mov_write_header,tools/ismindex.c,handle_file,Unknown,Unknown,
CVE-2020-22023,FFmpeg/FFmpeg,ab0b268bb78ccd5ba4411594ae74a368ad2186e1,libavfilter/vf_bitplanenoise.c,filter_frame,libavfilter/vf_bilateral.c,bilateralo_planes,Unknown,Unknown,
CVE-2020-22024,FFmpeg/FFmpeg,723d69f99cd26db9687ed2d24d06afaff624daf3,libavfilter/vf_lagfun.c,lagfun_frame16,libavfilter/vf_stereo3d.c,interleave_cols_to_any,Unknown,Unknown,
CVE-2020-22026,FFmpeg/FFmpeg,a9b8eda77306829c9165bc306aafd6e1a91f14c0,libavfilter/af_tremolo.c,config_input,libavfilter/vf_ssim.c,config_input_ref,Unknown,Unknown,
CVE-2020-22026,FFmpeg/FFmpeg,a9b8eda77306829c9165bc306aafd6e1a91f14c0,libavfilter/af_tremolo.c,filter_frame,libavfilter/af_alimiter.c,filter_frame,Unknown,Unknown,
CVE-2020-22026,FFmpeg/FFmpeg,a9b8eda77306829c9165bc306aafd6e1a91f14c0,libavfilter/af_tremolo.c,config_input,libavfilter/vf_psnr.c,config_input_ref,Unknown,Unknown,
CVE-2020-22031,FFmpeg/FFmpeg,fd8b08ebbb27e841fd5527e4b800ab3738216e9d,libavfilter/vf_w3fdif.c,config_input,libavfilter/vf_convolution.c,param_init,Unknown,Unknown,TP
CVE-2020-22036,FFmpeg/FFmpeg,8c3166e1c302c3ba80d9742ae46161c0fa8e2606,libavfilter/vf_bwdif.c,config_props,libavfilter/vf_yadif_cuda.c,config_output,Unknown,Unknown,
