vul_id,repo,fixed_commit_sha,patch_file,patch_func,target_file,target_func,CWE,vuln_type,judgement
CVE-2020-12284,FFmpeg/FFmpeg,a3a3730b5456ca00587455004d40c047f7b20a99,libavcodec/cbs_jpeg.c,cbs_jpeg_split_fragment,libavformat/movenc.c,mov_create_dvd_sub_decoder_specific_info,Unknown,Unknown,
CVE-2020-20448,FFmpeg/FFmpeg,8802e329c8317ca5ceb929df48a23eb0f9e852b2,libavcodec/snowenc.c,encode_q_branch,libavcodec/motion_est.c,ff_pre_estimate_p_frame_motion,Unknown,Unknown,TP
CVE-2020-20450,FFmpeg/FFmpeg,3865b1952e5cf993b016d83ba78fe1deb63bbfad,libavformat/mxfenc.c,mxf_parse_h264_frame,libavformat/matroskadec.c,matroska_parse_content_encodings,Unknown,Unknown,FP
CVE-2020-20451,FFmpeg/FFmpeg,21265f42ecb265debe9fec1dbfd0cb7de5a8aefb,fftools/ffmpeg_opt.c,open_files,libavfilter/af_acrossover.c,init,Unknown,Unknown,
CVE-2020-20896,FFmpeg/FFmpeg,dd01947397b98e94c3f2a79d5820aaf4594f4d3b,libavformat/latmenc.c,latm_write_packet,libavformat/adtsenc.c,adts_write_packet,Unknown,Unknown,FP
CVE-2020-20896,FFmpeg/FFmpeg,dd01947397b98e94c3f2a79d5820aaf4594f4d3b,libavformat/latmenc.c,latm_write_packet,libavformat/dashenc.c,update_stream_extradata,Unknown,Unknown,
CVE-2020-20898,FFmpeg/FFmpeg,99f8d32129dd233d4eb2efa44678a0bc44869f23,libavfilter/vf_convolution.c,filter16_roberts,libavfilter/vf_convolution.c,filter16_3x3,Unknown,Unknown,
CVE-2020-22015,FFmpeg/FFmpeg,14e172600e65817144be48a774c9b699b9563653,libavformat/movenc.c,mov_write_video_tag,libavformat/avienc.c,avi_write_packet,Unknown,Unknown,
CVE-2020-22015,FFmpeg/FFmpeg,14e172600e65817144be48a774c9b699b9563653,libavformat/movenc.c,mov_write_video_tag,libavcodec/iff.c,cmap_read_palette,Unknown,Unknown,
CVE-2020-22016,FFmpeg/FFmpeg,a95d2099b8edb6bb906751a7e27984de2d8930d8,libavformat/movenc.c,mov_write_header,tools/ismindex.c,handle_file,Unknown,Unknown,
CVE-2020-22019,FFmpeg/FFmpeg,e6b5c7a5fccf7237b2aceb4334dec53f181e0149,libavfilter/vf_vmafmotion.c,ff_vmafmotion_init,libavcodec/xsubdec.c,decode_frame,Unknown,Unknown,
CVE-2020-22021,FFmpeg/FFmpeg,b5ffefdd61c94eb98b1ca555b855e2c0bdd953d6,libavfilter/vf_yadif.c,filter_edges_16bit,libavcodec/vmnc.c,put_cursor,Unknown,Unknown,
