vul_id,repo,fixed_commit_sha,judgement,target_file,target_func,patch_file,patch_func,CWE,vuln_type
CVE-2024-36617,FFmpeg/FFmpeg,d973fcbcc2f944752ff10e6a76b0b2d9329937a7,FP,libavformat/mpc8.c,mpc8_read_header,libavformat/cafdec.c,read_pakt_chunk,Unknown,Unknown
CVE-2024-31585,FFmpeg/FFmpeg,81df787b53eb5c6433731f6eaaf7f2a94d8a8c80,FP,libavfilter/af_sidechaincompress.c,uninit,libavfilter/avf_showspectrum.c,uninit,Unknown,Unknown
CVE-2024-35368,FFmpeg/FFmpeg,4513300989502090c4fd6560544dce399a8cd53c,FP,libavutil/hwcontext.c,av_hwframe_ctx_alloc,libavcodec/rkmppdec.c,rkmpp_retrieve_frame,Unknown,Unknown
CVE-2022-3109,FFmpeg/FFmpeg,656cb0450aeb73b25d7d26980af342b37ac4c568,FP,libavcodec/apedec.c,ape_decode_frame,libavcodec/vp3.c,vp3_decode_frame,Unknown,Unknown
CVE-2024-31585,FFmpeg/FFmpeg,81df787b53eb5c6433731f6eaaf7f2a94d8a8c80,FP,libavfilter/af_adeclick.c,activate,libavfilter/avf_showspectrum.c,showspectrumpic_filter_frame,Unknown,Unknown
CVE-2020-22043,FFmpeg/FFmpeg,b288a7eb3d963a175e177b6219c8271076ee8590,FP,libavformat/avienc.c,avi_deinit,libavformat/mpegenc.c,mpeg_mux_end,Unknown,Unknown
CVE-2020-24020,FFmpeg/FFmpeg,584f396132aa19d21bb1e38ad9a5d428869290cb,FP,libavfilter/vf_dnn_detect.c,dnn_detect_post_proc_ssd,libavfilter/dnn/dnn_backend_native_layer_mathunary.c,dnn_execute_layer_math_unary,Unknown,Unknown
CVE-2022-3109,FFmpeg/FFmpeg,656cb0450aeb73b25d7d26980af342b37ac4c568,FP,libavcodec/vqavideo.c,vqa_decode_init,libavcodec/vp3.c,vp3_decode_frame,Unknown,Unknown
CVE-2024-35368,FFmpeg/FFmpeg,4513300989502090c4fd6560544dce399a8cd53c,FP,libavdevice/kmsgrab.c,kmsgrab_read_packet,libavcodec/rkmppdec.c,rkmpp_retrieve_frame,Unknown,Unknown
CVE-2024-36619,FFmpeg/FFmpeg,28c7094b25b689185155a6833caf2747b94774a4,FP,libavcodec/sonic.c,sonic_encode_frame,libavcodec/wavarc.c,decode_5elp,Unknown,Unknown
