vul_id,repo,fixed_commit_sha,patch_file,patch_func,target_file,target_func,CWE,vuln_type,judgement
CVE-2020-20448,FFmpeg/FFmpeg,8802e329c8317ca5ceb929df48a23eb0f9e852b2,libavcodec/snowenc.c,encode_q_branch,libavcodec/motion_est.c,ff_pre_estimate_p_frame_motion,CWE-369,Divide By Zero,TP
CVE-2020-20896,FFmpeg/FFmpeg,dd01947397b98e94c3f2a79d5820aaf4594f4d3b,libavformat/latmenc.c,latm_write_packet,libavformat/adtsenc.c,adts_write_packet,CWE-476,Null Pointer Dereference,FP
CVE-2020-22017,FFmpeg/FFmpeg,d4d6b7b0355f3597cad3b8d12911790c73b5f96d,libavfilter/vf_datascope.c,oscilloscope_filter_frame,libavfilter/vf_datascope.c,filter_frame,CWE-787,Buffer Overflow,
CVE-2020-22023,FFmpeg/FFmpeg,ab0b268bb78ccd5ba4411594ae74a368ad2186e1,libavfilter/vf_bitplanenoise.c,filter_frame,libavfilter/vf_waveform.c,chroma,CWE-787,Unknown,
CVE-2020-22024,FFmpeg/FFmpeg,723d69f99cd26db9687ed2d24d06afaff624daf3,libavfilter/vf_lagfun.c,lagfun_frame16,libavfilter/vf_stereo3d.c,interleave_cols_to_any,CWE-120,Buffer Overflow,
CVE-2020-22034,FFmpeg/FFmpeg,1331e001796c656a4a3c770a16121c15ec1db2ac,libavfilter/vf_floodfill.c,config_input,libavfilter/vf_hflip.c,config_props,CWE-787,Unknown,
CVE-2020-22035,FFmpeg/FFmpeg,8c9ff740a35d6f46935f70e4a9533dddaaf33788,libavfilter/vf_bm3d.c,filter_slice,libavfilter/vf_bm3d.c,block_matching_multi,CWE-787,Buffer Overflow,
CVE-2020-22035,FFmpeg/FFmpeg,8c9ff740a35d6f46935f70e4a9533dddaaf33788,libavfilter/vf_bm3d.c,config_input,libavfilter/vf_deband.c,config_input,CWE-787,Buffer Overflow,
CVE-2020-22038,FFmpeg/FFmpeg,7c32e9cf93b712f8463573a59ed4e98fd10fa013,libavcodec/v4l2_m2m_dec.c,v4l2_decode_init,libavcodec/v4l2_m2m.c,ff_v4l2_m2m_create_context,CWE-401,Memory Leak,FP
CVE-2020-22040,FFmpeg/FFmpeg,1a0c584abc9709b1d11dbafef05d22e0937d7d19,libavfilter/f_reverse.c,uninit,libavfilter/f_streamselect.c,uninit,CWE-401,Double Free,
CVE-2020-22040,FFmpeg/FFmpeg,1a0c584abc9709b1d11dbafef05d22e0937d7d19,libavfilter/f_reverse.c,uninit,libavfilter/vf_stack.c,uninit,CWE-401,Double Free,FP
CVE-2020-22040,FFmpeg/FFmpeg,1a0c584abc9709b1d11dbafef05d22e0937d7d19,libavfilter/f_reverse.c,request_frame,libavfilter/vf_random.c,filter_frame,CWE-401,Double Free,
CVE-2020-22046,FFmpeg/FFmpeg,bbc9751da67286d27f379dbe3b52ee3b55b0503e,libavcodec/ac3enc.c,ff_ac3_encode_init,libavcodec/ac3enc.c,validate_options,CWE-401,Null Pointer Dereference,
CVE-2020-24020,FFmpeg/FFmpeg,584f396132aa19d21bb1e38ad9a5d428869290cb,libavfilter/dnn/dnn_backend_native.c,calculate_operand_data_length,libavfilter/dnn/dnn_backend_tf.c,allocate_input_tensor,CWE-120,Buffer Overflow,TP
CVE-2020-24995,FFmpeg/FFmpeg,d6f293353c94c7ce200f6e0975ae3de49787f91f,libavcodec/aacdec_template.c,sniff_channel_order,libavcodec/aacdec_template.c,sniff_channel_order,CWE-120,Buffer Overflow,
CVE-2021-38091,FFmpeg/FFmpeg,99f8d32129dd233d4eb2efa44678a0bc44869f23,libavfilter/vf_convolution.c,filter_sobel,libavfilter/vf_convolution.c,filter_kirsch,CWE-190,Integer Overflow,
CVE-2021-38091,FFmpeg/FFmpeg,99f8d32129dd233d4eb2efa44678a0bc44869f23,libavfilter/vf_convolution.c,filter_prewitt,libavfilter/vf_convolution.c,filter16_kirsch,CWE-190,Integer Overflow,
CVE-2022-1475,FFmpeg/FFmpeg,757da974b21833529cc41bdcc9684c29660cdfa8,libavcodec/g729_parser.c,g729_parse,libavcodec/adx_parser.c,adx_parse,CWE-190,Integer Overflow,
CVE-2022-3964,FFmpeg/FFmpeg,92f9b28ed84a77138105475beba16c146bdaf984,libavcodec/rpzaenc.c,rpza_encode_stream,libavcodec/rpza.c,rpza_decode_stream,CWE-119,Out-of-bounds Read,
CVE-2022-3965,FFmpeg/FFmpeg,13c13109759090b7f7182480d075e13b36ed8edd,libavcodec/smcenc.c,smc_encode_stream,libavcodec/vb.c,vb_decode_framedata,CWE-119,Out-of-bounds Read,FP
CVE-2024-22862,FFmpeg/FFmpeg,ca09d8a0dcd82e3128e62463231296aaf63ae6f7,libavcodec/jpegxl_parser.c,skip_boxes,libavcodec/lscrdec.c,decode_frame_lscr,CWE-190,Integer Overflow,
