vul_id,repo,judgement,fixed_commit_sha,target_func,target_file,vuln_type,CWE,patch_file,patch_func
CVE-2019-19947,torvalds/linux,FP,da2311a6385c3b499da2ed5d9be59ce331fa93e9,esd_usb_2_set_bittiming,drivers/net/can/usb/esd_usb.c,Uninitialized Use,CWE-908,drivers/net/can/usb/kvaser_usb/kvaser_usb_leaf.c,kvaser_usb_leaf_simple_cmd_async
CVE-2017-12662,ImageMagick/ImageMagick,FP,bd40cc5f53067322861b881485cbd70f509f3829,ReadRLEImage,coders/rle.c,Memory Leak,CWE-772,coders/pdf.c,WritePDFImage
CVE-2024-29645,radareorg/radare2,FP,72bf3a486fa851797aa21887a40ba0e3d3a6d620,parse_struct_member,libr/anal/dwarf_process.c,Null Pointer Dereference,CWE-120,libr/bin/dwarf.c,parse_die
CVE-2020-19488,gpac/gpac,TP,6170024568f4dda310e98ef7508477b425c58d09,ilst_box_read,src/isomedia/box_code_apple.c,Null Pointer Dereference,CWE-476,src/isomedia/box_code_apple.c,ilst_item_box_read
CVE-2019-19036,torvalds/linux,FP,62fdaa52a3d00a875da771719b6dc537ca79fce1,is_extent_unchanged,fs/btrfs/send.c,Out-of-bounds Read,CWE-476,fs/btrfs/disk-io.c,btrfs_verify_level_key
CVE-2021-23177,libarchive/libarchive,FP,fba4f123cc456d2b2538f811bb831483bf336bad,archive_write_disk_set_acls,libarchive/archive_disk_acl_darwin.c,Path Traversal,CWE-59,libarchive/archive_disk_acl_sunos.c,archive_write_disk_set_acls
CVE-2017-14166,libarchive/libarchive,FP,fa7438a0ff4033e4741c807394a9af6207940d71,ar_atol8,libarchive/archive_read_support_format_ar.c,Out-of-bounds Read,CWE-125,libarchive/archive_read_support_format_xar.c,atol10
CVE-2017-5334,gnutls/gnutls,FP,c5aaa488a3d6df712dc8dff23a049133cab5ec1b,principal_to_str,lib/x509/krb5.c,Double Free,CWE-415,lib/x509/x509_ext.c,gnutls_x509_ext_import_proxy
CVE-2024-26675,torvalds/linux,TP,cb88cb53badb8aeb3955ad6ce80b07b598e310b8,ppp_ioctl,drivers/net/ppp/ppp_generic.c,Resource Exhaustion,CWE-770,drivers/net/ppp/ppp_async.c,ppp_async_ioctl
CVE-2021-47025,torvalds/linux,FP,b34ea31fe013569d42b7e8681ef3f717f77c5b72,mtk_iommu_v1_hw_init,drivers/iommu/mtk_iommu_v1.c,Unknown,CWE-664,drivers/iommu/mtk_iommu.c,mtk_iommu_hw_init
CVE-2021-3564,torvalds/linux,FP,6a137caec23aeb9e036cdfd8a46dd8a366460e5d,hci_dev_close_sync,net/bluetooth/hci_sync.c,Race Condition,CWE-415,net/bluetooth/hci_core.c,hci_dev_do_open
CVE-2022-20158,torvalds/linux,FP,c700525fcc06b05adfea78039de02628af79e07a,packet_rcv,net/packet/af_packet.c,Information Exposure,CWE-416,net/packet/af_packet.c,tpacket_rcv
CVE-2023-52638,torvalds/linux,FP,6cdedc18ba7b9dacc36466e27e3267d201948c8d,mwifiex_auto_tdls_update_peer_status,drivers/net/wireless/marvell/mwifiex/tdls.c,Deadlock,CWE-667,net/can/j1939/socket.c,j1939_sk_recv_match
CVE-2020-11098,FreeRDP/FreeRDP,TP,c0fd449ec0870b050d350d6d844b1ea6dad4bc7d,glyph_cache_get,libfreerdp/cache/glyph.c,Out-of-bounds Read,CWE-125,libfreerdp/cache/glyph.c,glyph_cache_put
CVE-2023-46929,gpac/gpac,TP,4248def5d24325aeb0e35cacde3d56c9411816a6,gf_vvc_change_vui,src/media_tools/av_parsers.c,Null Pointer Dereference,CWE-20,src/media_tools/av_parsers.c,gf_avc_change_vui
CVE-2022-3532,torvalds/linux,TP,6e8280b958c5d7edc514cf347a800b23b7732b2b,serial_test_wq,tools/testing/selftests/bpf/prog_tests/wq.c,Resource Leak,CWE-772,tools/testing/selftests/bpf/prog_tests/tracing_struct.c,test_fentry
CVE-2021-44733,torvalds/linux,FP,dfd0743f1d9ea76931510ed150334d571fbab49d,new_device_store,drivers/gpio/gpio-aggregator.c,Race Condition,CWE-362,drivers/tee/tee_shm.c,tee_shm_register
CVE-2021-0937,torvalds/linux,FP,b29c457a6511435960115c0f548c4360d5f4801d,match_compat_from_user,net/netfilter/nft_compat.c,Information Exposure,CWE-200,net/netfilter/x_tables.c,xt_compat_match_from_user
CVE-2021-4219,ImageMagick/ImageMagick,FP,d7f1b2b9b816baaa956381ff80c3b120e83faa95,XOpenImage,MagickCore/display.c,Improper Validation,CWE-20,MagickCore/draw.c,DrawPrimitive
CVE-2019-19769,torvalds/linux,FP,6d390e4b5d48ec03bb87e63cf0a2bff5f4e116da,nfs_release_seqid,fs/nfs/nfs4state.c,Race Condition,CWE-416,fs/locks.c,locks_delete_block
CVE-2020-29371,torvalds/linux,FP,bcf85fcedfdd17911982a3e3564fcfec7b01eebd,romfs_dev_strnlen,fs/romfs/storage.c,Unknown,CWE-908,fs/romfs/storage.c,romfs_dev_read
CVE-2021-22207,wireshark/wireshark,TP,b7a0650e061b5418ab4a8f72c6e4b00317aff623,config_3_frame_fast,epan/dissectors/packet-synphasor.c,Resource Exhaustion,CWE-770,epan/dissectors/packet-mswsp.c,dissect_CPMSetBindings
CVE-2016-7515,ImageMagick/ImageMagick,FP,2ad6d33493750a28a5a655d319a8e0b16c392de1,ReadSGIImage,coders/sgi.c,Out-of-bounds Read,CWE-125,coders/rle.c,ReadRLEImage
CVE-2020-25669,torvalds/linux,FP,77e70d351db7de07a46ac49b87a6c3c7a60fca7e,pegasus_parse_packet,drivers/input/tablet/pegasus_notetaker.c,Use After Free,CWE-416,drivers/input/keyboard/sunkbd.c,sunkbd_interrupt
CVE-2022-36123,torvalds/linux,FP,38fa5479b41376dc9d7f57e71c83514285a25ca0,csky_start,arch/csky/kernel/setup.c,Uninitialized Use,CWE-457,arch/x86/kernel/head64.c,clear_bss
CVE-2024-26778,torvalds/linux,FP,04e5eac8f3ab2ff52fa191c187a46d4fdbc1e288,uvesafb_check_var,drivers/video/fbdev/uvesafb.c,Divide By Zero,CWE-369,drivers/video/fbdev/savage/savagefb_driver.c,savagefb_check_var
CVE-2021-47029,torvalds/linux,FP,c996f0346e40e3b1ac2ebaf0681df898fb157f60,mt76_connac_mcu_uni_add_bss,drivers/net/wireless/mediatek/mt76/mt76_connac_mcu.c,Logic Error,CWE-703,drivers/net/wireless/mediatek/mt76/mt76_connac_mcu.c,mt76_connac_mcu_uni_add_dev
CVE-2024-0322,gpac/gpac,FP,092904b80edbc4dce315684a59cc3184c45c1b70,mp3_dmx_process,src/filters/reframe_mp3.c,Out-of-bounds Read,CWE-125,src/filters/reframe_ac3.c,ac3dmx_process
CVE-2021-40568,gpac/gpac,TP,f1ae01d745200a258cdf62622f71754c37cb6c30,hevcmerge_rewrite_slice,src/filters/hevcmerge.c,Buffer Overflow,CWE-120,src/media_tools/av_parsers.c,svc_parse_slice
CVE-2023-4720,gpac/gpac,FP,e396648e48c57e2d53988d3fd4465b068b96c89a,ttxt_get_color,src/filters/load_text.c,Logic Error,CWE-1077,src/scene_manager/swf_parse.c,swf_get_32
CVE-2021-46994,torvalds/linux,TP,03c427147b2d3e503af258711af4fc792b89b0af,hi3110_open,drivers/net/can/spi/hi311x.c,Unknown,CWE-476,drivers/net/can/spi/mcp251x.c,mcp251x_open
CVE-2016-1575,torvalds/linux,TP,cf9a6784f7c1b5ee2b9159a1246e327c331c5697,ovl_encode_maybe_copy_up,fs/overlayfs/export.c,Privilege Escalation,CWE-269,fs/overlayfs/inode.c,ovl_setattr
CVE-2016-10154,torvalds/linux,FP,06deeec77a5a689cc94b21a8a91a76e42176685d,llsec_do_encrypt_unauth,net/mac802154/llsec.c,Buffer Overflow,CWE-119,fs/cifs/smbencrypt.c,smbhash
CVE-2017-14040,uclouvain/openjpeg,FP,2cd30c2b06ce332dede81cccad8b334cde997281,pnmtoimage,src/bin/jp2/convert.c,Unknown,CWE-787,src/bin/jp2/convert.c,tgatoimage
CVE-2020-27767,ImageMagick/ImageMagick,TP,564f2a35e523e2b6cce9485018157f03ec05a947,ClampPixel,MagickCore/pixel-accessor.h,Integer Overflow,CWE-190,MagickCore/quantum.h,ClampToQuantum
CVE-2021-4197,torvalds/linux,TP,1756d7994ad85c2479af6ae5a9750b92324685af,rdtgroup_task_write_permission,arch/x86/kernel/cpu/resctrl/rdtgroup.c,Privilege Escalation,CWE-287,kernel/cgroup/cgroup-v1.c,__cgroup1_procs_write
OSV-2020-560,radareorg/radare2,TP,d7fd30df8ef0f1a9081863b91a0197f26408dc6b,bin_classes,libr/core/cbin.c,Unknown,CWE-20,libr/core/cbin.c,snInit
CVE-2021-4037,torvalds/linux,FP,01ea173e103edd5ec41acec65b9261b87e123fc2,munge_mode_uid_gid,fs/gfs2/inode.c,Authorization Bypass,CWE-284,fs/xfs/xfs_inode.c,xfs_init_new_inode
