vul_id,repo,fixed_commit_sha,target_file_path,target_func_name,judgement,reported,confirmed,requested,received
CVE-2020-13904,FFmpeg/FFmpeg,6959358683c7533f586c07a766acc5fe9544d8b2,libavformat/hlsproto.c,parse_playlist,TP,reported,,,
CVE-2020-20448,FFmpeg/FFmpeg,8802e329c8317ca5ceb929df48a23eb0f9e852b2,libavcodec/motion_est.c,ff_pre_estimate_p_frame_motion,TP,reported,confirmed,,
CVE-2020-20450,FFmpeg/FFmpeg,3865b1952e5cf993b016d83ba78fe1deb63bbfad,libavformat/matroskadec.c,matroska_parse_content_encodings,FP,,,,
CVE-2020-20891,FFmpeg/FFmpeg,64a805883d7223c868a683f0030837d859edd2ab,libavfilter/avf_showcqt.c,config_output,FP,,,,
CVE-2020-20891,FFmpeg/FFmpeg,64a805883d7223c868a683f0030837d859edd2ab,libavfilter/vf_hqdn3d.c,config_input,FP,,,,
CVE-2020-20891,FFmpeg/FFmpeg,64a805883d7223c868a683f0030837d859edd2ab,libavfilter/af_loudnorm.c,config_input,FP,,,,
CVE-2020-20896,FFmpeg/FFmpeg,dd01947397b98e94c3f2a79d5820aaf4594f4d3b,libavformat/adtsenc.c,adts_write_packet,FP,,,,
CVE-2020-22016,FFmpeg/FFmpeg,a95d2099b8edb6bb906751a7e27984de2d8930d8,libavcodec/svq1enc.c,write_ident,FP,,,,
CVE-2020-22031,FFmpeg/FFmpeg,fd8b08ebbb27e841fd5527e4b800ab3738216e9d,libavfilter/vf_convolution.c,param_init,TP,reported,,,
CVE-2020-22031,FFmpeg/FFmpeg,fd8b08ebbb27e841fd5527e4b800ab3738216e9d,libavfilter/vf_yaepblur.c,config_input,FP,,,,
CVE-2020-22031,FFmpeg/FFmpeg,fd8b08ebbb27e841fd5527e4b800ab3738216e9d,libavfilter/vf_stereo3d.c,config_output,TP,,,,
CVE-2020-22038,FFmpeg/FFmpeg,7c32e9cf93b712f8463573a59ed4e98fd10fa013,libavcodec/v4l2_m2m.c,ff_v4l2_m2m_codec_init,FP,,,,
CVE-2020-22038,FFmpeg/FFmpeg,7c32e9cf93b712f8463573a59ed4e98fd10fa013,libavcodec/v4l2_m2m.c,ff_v4l2_m2m_create_context,FP,,,,
CVE-2020-22038,FFmpeg/FFmpeg,7c32e9cf93b712f8463573a59ed4e98fd10fa013,libavcodec/v4l2_m2m.c,v4l2_m2m_destroy_context,FP,,,,
CVE-2020-22040,FFmpeg/FFmpeg,1a0c584abc9709b1d11dbafef05d22e0937d7d19,libavfilter/vf_separatefields.c,filter_frame,TP,,,,
CVE-2020-22040,FFmpeg/FFmpeg,1a0c584abc9709b1d11dbafef05d22e0937d7d19,libavfilter/vf_stack.c,uninit,FP,,,,
CVE-2020-22040,FFmpeg/FFmpeg,1a0c584abc9709b1d11dbafef05d22e0937d7d19,libavfilter/vf_thumbnail.c,uninit,FP,,,,
CVE-2020-22044,FFmpeg/FFmpeg,c7c2f4975b23dc2ba6b3324a41bb495fcb4656d6,libavformat/rtpdec.c,ff_rtp_send_rtcp_feedback,FP,,,,
CVE-2020-22046,FFmpeg/FFmpeg,bbc9751da67286d27f379dbe3b52ee3b55b0503e,libavcodec/ac3enc.c,ff_ac3_encode_init,FP,,,,
CVE-2020-22048,FFmpeg/FFmpeg,64d2e0b20066058cf1c6dc3c49adab6d18d66fcc,libavfilter/af_aap.c,config_output,FP,,,,
CVE-2020-22048,FFmpeg/FFmpeg,64d2e0b20066058cf1c6dc3c49adab6d18d66fcc,libavfilter/af_aiir.c,filter_frame,FP,,,,
CVE-2020-22048,FFmpeg/FFmpeg,64d2e0b20066058cf1c6dc3c49adab6d18d66fcc,libavfilter/vf_colorcontrast.c,filter_frame,FP,,,,
CVE-2020-22048,FFmpeg/FFmpeg,64d2e0b20066058cf1c6dc3c49adab6d18d66fcc,libavfilter/vf_pullup.c,filter_frame,FP,,,,
CVE-2020-22048,FFmpeg/FFmpeg,64d2e0b20066058cf1c6dc3c49adab6d18d66fcc,libavfilter/vf_vibrance.c,filter_frame,FP,,,,
CVE-2020-22048,FFmpeg/FFmpeg,64d2e0b20066058cf1c6dc3c49adab6d18d66fcc,libavfilter/avf_showvolume.c,filter_frame,FP,,,,
CVE-2020-22051,FFmpeg/FFmpeg,673fce6d40d9a594fb7a0ea17d296b7d3d9ea856,libavfilter/yadif_common.c,ff_yadif_uninit,FP,,,,
CVE-2020-24020,FFmpeg/FFmpeg,584f396132aa19d21bb1e38ad9a5d428869290cb,libavfilter/dnn/dnn_backend_tf.c,allocate_input_tensor,TP,,,,
CVE-2021-38093,FFmpeg/FFmpeg,99f8d32129dd233d4eb2efa44678a0bc44869f23,libavfilter/vf_convolution.c,filter16_kirsch,FP,,,,
