cveid,vul_file,vul_line,vul_func,pat_file,pat_line,pat_func,tar_file,tar_line,tar_func
libexif_libexif/CVE-2020-13114_e6a38a1a,exif-mnote-data-canon.c,201,exif_mnote_data_canon_load,exif-mnote-data-canon.c,204,exif_mnote_data_canon_load,/home/cyf/repo_dataset/libexif/libexif/libexif/exif-data.c,856,exif_data_load_data
libexif_libexif/OSV-2021-1521_4bd5cd63,exif-data.c,844,exif_data_load_data,,,,/home/cyf/repo_dataset/libexif/libexif/libexif/olympus/exif-mnote-data-olympus.c,101,exif_mnote_data_olympus_save
libexif_libexif/OSV-2021-1168_a4647a54,mnote-apple-entry.c,34,mnote_apple_entry_get_value,mnote-apple-entry.c,34,mnote_apple_entry_get_value,/home/cyf/repo_dataset/libexif/libexif/libexif/exif-entry.c,453,exif_entry_format_value
libexif_libexif/OSV-2021-1169_b1e292af,,,,exif-mnote-data-apple.c,57,exif_mnote_data_apple_load,/home/cyf/repo_dataset/libexif/libexif/libexif/canon/exif-mnote-data-canon.c,206,exif_mnote_data_canon_load
libexif_libexif/OSV-2021-1527_54461dde,,,,exif-data.c,844,exif_data_load_data,/home/cyf/repo_dataset/libexif/libexif/libexif/olympus/exif-mnote-data-olympus.c,101,exif_mnote_data_olympus_save
libexif_libexif/OSV-2021-1138_eb452f53,exif-mnote-data-apple.c,162,exif_mnote_data_apple_set_byte_order,exif-mnote-data-apple.c,168,exif_mnote_data_apple_set_byte_order,/home/cyf/repo_dataset/libexif/libexif/libexif/canon/exif-mnote-data-canon.c,98,exif_mnote_data_canon_set_byte_order
libexif_libexif/OSV-2021-1128_22799320,exif-mnote-data-apple.c,245,exif_mnote_data_apple_new,exif-mnote-data-apple.c,240,exif_mnote_data_apple_new,/home/cyf/repo_dataset/libexif/libexif/libexif/canon/exif-mnote-data-canon.c,410,exif_mnote_data_canon_new
uclouvain_openjpeg/CVE-2016-10504_397f62c0,tcd.c,1180,opj_tcd_code_block_enc_allocate_data,tcd.c,1180,opj_tcd_code_block_enc_allocate_data,/home/cyf/repo_dataset/uclouvain/openjpeg/src/lib/openjp2/tcd.c,1283,opj_tcd_code_block_enc_allocate
uclouvain_openjpeg/CVE-2016-4796_162f6199,,,,color.c,849,color_cmyk_to_rgb,/home/cyf/repo_dataset/uclouvain/openjpeg/src/bin/jp2/convertbmp.c,235,bmpmask16toimage
uclouvain_openjpeg/CVE-2017-14039_c535531f,,,,j2k.c,4204,opj_j2k_write_sot,/home/cyf/repo_dataset/uclouvain/openjpeg/src/lib/openjp2/cidx_manager.c,128,opj_write_cptr
uclouvain_openjpeg/CVE-2017-14151_afb308b9,tcd.c,1185,opj_tcd_code_block_enc_allocate_data,tcd.c,1185,opj_tcd_code_block_enc_allocate_data,/home/cyf/repo_dataset/uclouvain/openjpeg/src/lib/openjp2/tcd.c,1283,opj_tcd_code_block_enc_allocate
uclouvain_openjpeg/CVE-2017-14040_2cd30c2b,convert.c,771,tgatoimage,convert.c,768,tgatoimage,/home/cyf/repo_dataset/uclouvain/openjpeg/src/bin/jp2/convert.c,2305,rawtoimage_common
uclouvain_openjpeg/CVE-2018-20846_c2771599,pi.c,274,pi_next_pcrl,,,,/home/cyf/repo_dataset/uclouvain/openjpeg/src/lib/openjp2/pi.c,619,opj_pi_next_cprl
uclouvain_openjpeg/OSV-2017-61_cc893a4e,tcd.c,1956,opj_tcd_mct_decode,,,,/home/cyf/repo_dataset/uclouvain/openjpeg/src/lib/openjp2/j2k.c,4978,opj_j2k_read_sod
uclouvain_openjpeg/OSV-2017-22_28094e1e,tcd.c,1956,opj_tcd_mct_decode,,,,/home/cyf/repo_dataset/uclouvain/openjpeg/src/lib/openjp2/j2k.c,4978,opj_j2k_read_sod
