repo,vul_id,fixed_commit_sha
ImageMagick/ImageMagick,CVE-2021-39212,01faddbe2711a4156180c4a92837e2f23683cc68
apache/httpd,CVE-2021-30641,eb986059aa5aa0b6c1d52714ea83e3dd758afdd1
torvalds/linux,CVE-2020-0009,6d67b0290b4b84c477e6a2fc6e005e174d3c7786
torvalds/linux,CVE-2020-0255,fb73974172ffaaf57a7c42f35424d9aece1a5af6
torvalds/linux,CVE-2020-15780,75b0cea7bf307f362057cc778efe89af4c615354
torvalds/linux,CVE-2020-16120,48bd024b8a40d73ad6b086de2615738da0c7004f
torvalds/linux,CVE-2020-24394,22cf8419f1319ff87ec759d0ebdff4cbafaee832
torvalds/linux,CVE-2020-25284,f44d04e696feaf13d192d942c4f14ad2e117065a
torvalds/linux,CVE-2020-26088,26896f01467a28651f7a536143fe5ac8449d4041
torvalds/linux,CVE-2020-28374,2896c93811e39d63a4d9b63ccf12a8fbc226e5e4
torvalds/linux,CVE-2021-27363,688e8128b7a92df982709a4137ea4588d16f24aa
torvalds/linux,CVE-2021-28375,20c40794eb85ea29852d7bc37c55713802a543d6
torvalds/linux,CVE-2021-3493,7c03e2cda4a584cadc398e8f6641ca9988a39d52
torvalds/linux,CVE-2021-4197,1756d7994ad85c2479af6ae5a9750b92324685af
torvalds/linux,CVE-2021-47055,1e97743fd180981bef5f01402342bb54bf1c6366
torvalds/linux,CVE-2022-21499,eadb2f47a3ced5c64b23b90fd2a3463f63726066
torvalds/linux,CVE-2022-30594,ee1fee900537b5d9560e9f937402de5ddc8412f3
torvalds/linux,CVE-2023-2002,25c150ac103a4ebeed0319994c742a90634ddf18
torvalds/linux,CVE-2023-4194,9bc3047374d5bec163e83e743709e23753376f0c
torvalds/linux,CVE-2023-52442,3df0411e132ee74a87aa13142dfd2b190275332e
