repo,vul_id,fixed_commit_sha
FFmpeg/FFmpeg,CVE-2020-12284,a3a3730b5456ca00587455004d40c047f7b20a99
FFmpeg/FFmpeg,CVE-2020-14212,dd273d359e45ab69398ac0dc41206d5f1a9371bf
FFmpeg/FFmpeg,CVE-2020-20891,64a805883d7223c868a683f0030837d859edd2ab
FFmpeg/FFmpeg,CVE-2020-22016,a95d2099b8edb6bb906751a7e27984de2d8930d8
FFmpeg/FFmpeg,CVE-2020-22017,d4d6b7b0355f3597cad3b8d12911790c73b5f96d
FFmpeg/FFmpeg,CVE-2020-22019,e6b5c7a5fccf7237b2aceb4334dec53f181e0149
FFmpeg/FFmpeg,CVE-2020-22020,0744d7176ae1027d5ad7de28b283a78d58e64545
FFmpeg/FFmpeg,CVE-2020-22021,b5ffefdd61c94eb98b1ca555b855e2c0bdd953d6
FFmpeg/FFmpeg,CVE-2020-22022,07050d7bdc32d82e53ee5bb727f5882323d00dba
FFmpeg/FFmpeg,CVE-2020-22024,723d69f99cd26db9687ed2d24d06afaff624daf3
FFmpeg/FFmpeg,CVE-2020-22025,7cab59a34f3acafd165a5fc407d0af7a67bc70ce
FFmpeg/FFmpeg,CVE-2020-22026,a9b8eda77306829c9165bc306aafd6e1a91f14c0
FFmpeg/FFmpeg,CVE-2020-22027,98981312e15ad6bf1c90e660abf666b15924e350
FFmpeg/FFmpeg,CVE-2020-22030,e1b89c76f66343d1b495165664647317c66764bb
FFmpeg/FFmpeg,CVE-2020-22031,fd8b08ebbb27e841fd5527e4b800ab3738216e9d
FFmpeg/FFmpeg,CVE-2020-22032,e998d8c90da1f41eeecd4144441d37a5168fecb8
FFmpeg/FFmpeg,CVE-2020-22034,1331e001796c656a4a3c770a16121c15ec1db2ac
FFmpeg/FFmpeg,CVE-2020-22035,8c9ff740a35d6f46935f70e4a9533dddaaf33788
FFmpeg/FFmpeg,CVE-2020-22036,8c3166e1c302c3ba80d9742ae46161c0fa8e2606
FFmpeg/FFmpeg,CVE-2020-24995,d6f293353c94c7ce200f6e0975ae3de49787f91f
FFmpeg/FFmpeg,CVE-2020-35964,4f0bdff292391cdb96b79b08c56533029166bdc8
FFmpeg/FFmpeg,CVE-2021-30123,d6f293353c94c7ce200f6e0975ae3de49787f91f
FFmpeg/FFmpeg,CVE-2023-47470,4565747056a11356210ed8edcecb920105e40b60
FFmpeg/FFmpeg,CVE-2023-50007,b1942734c7cbcdc9034034373abcc9ecb9644c47
