repo,vul_id,fixed_commit_sha
torvalds/linux,CVE-2020-12771,be23e837333a914df3f24bf0b32e87b0331ab8d1
torvalds/linux,CVE-2020-36775,df77fbd8c5b222c680444801ffd20e8bbc90a56e
torvalds/linux,CVE-2021-28951,3ebba796fa251d042be42b929a2d916ee5c34a49
torvalds/linux,CVE-2021-38203,1cb3db1cf383a3c7dbda1aa0ce748b0958759947
torvalds/linux,CVE-2021-4149,19ea40dddf1833db868533958ca066f368862211
torvalds/linux,CVE-2021-46939,aafe104aa9096827a429bc1358f8260ee565b7cc
torvalds/linux,CVE-2021-46942,734551df6f9bedfbefcd113ede665945e9de0b99
torvalds/linux,CVE-2021-46970,0fccbf0a3b690b162f53b13ed8bc442ea33437dc
torvalds/linux,CVE-2021-46987,f9baa501b4fd6962257853d46ddffbc21f27e344
torvalds/linux,CVE-2021-47038,17486960d79b900c45e0bb8fbcac0262848582ba
torvalds/linux,CVE-2021-47041,b5332a9f3f3d884a1b646ce155e664cc558c1722
torvalds/linux,CVE-2021-47128,ff40e51043af63715ab413995ff46996ecf9583f
torvalds/linux,CVE-2022-1280,869e76f7a918f010bd4518d58886969b1f642a04
torvalds/linux,CVE-2022-42328,74e7e1efdad45580cc3839f2a155174cf158f9b5
torvalds/linux,CVE-2022-42329,74e7e1efdad45580cc3839f2a155174cf158f9b5
torvalds/linux,CVE-2022-4269,ca22da2fbd693b54dc8e3b7b54ccc9f7e9ba3640
torvalds/linux,CVE-2022-4662,9c6d778800b921bde3bff3cff5003d1650f942d1
torvalds/linux,CVE-2023-0160,ed17aa92dc56b6d8883e4b7a8f1c6fbf5ed6cd29
torvalds/linux,CVE-2023-2269,3d32aaa7e66d5c1479a3c31d6c2c5d45dd0d3b89
torvalds/linux,CVE-2023-31084,b8c75e4a1b325ea0a9433fa8834be97b5836b946
torvalds/linux,CVE-2023-34324,87797fad6cce28ec9be3c13f031776ff4f104cfc
torvalds/linux,CVE-2023-52456,78d60dae9a0c9f09aa3d6477c94047df2fe6f7b0
torvalds/linux,CVE-2023-52493,01bd694ac2f682fb8017e16148b928482bc8fa4b
torvalds/linux,CVE-2023-52498,7839d0078e0d5e6cc2fa0b0dfbee71de74f1e557
torvalds/linux,CVE-2023-52516,fb5a4315591dae307a65fc246ca80b5159d296e1
torvalds/linux,CVE-2023-52583,b493ad718b1f0357394d2cdecbf00a44a36fa085
torvalds/linux,CVE-2023-52595,a11d965a218f0cd95b13fe44d0bcd8a20ce134a8
torvalds/linux,CVE-2023-52615,78aafb3884f6bc6636efcc1760c891c8500b9922
torvalds/linux,CVE-2023-52632,2a9de42e8d3c82c6990d226198602be44f43f340
torvalds/linux,CVE-2023-52638,6cdedc18ba7b9dacc36466e27e3267d201948c8d
torvalds/linux,CVE-2024-0639,6feb37b3b06e9049e20dcf7e23998f92c9c5be9a
torvalds/linux,CVE-2024-0641,08e50cf071847323414df0835109b6f3560d44f5
torvalds/linux,CVE-2024-26605,1e560864159d002b453da42bd2c13a1805515a20
torvalds/linux,CVE-2024-26650,5913320eb0b3ec88158cfcb0fa5e996bf4ef681b
torvalds/linux,CVE-2024-26658,2acc59dd88d27ad69b66ded80df16c042b04eeec
torvalds/linux,CVE-2024-26686,7601df8031fd67310af891897ef6cc0df4209305
torvalds/linux,CVE-2024-26691,10c02aad111df02088d1a81792a709f6a7eca6cc
torvalds/linux,CVE-2024-26696,38296afe3c6ee07319e01bb249aa4bb47c07b534
torvalds/linux,CVE-2024-26719,39126abc5e20611579602f03b66627d7cd1422f0
torvalds/linux,CVE-2024-26722,6ef5d5b92f7117b324efaac72b3db27ae8bb3082
torvalds/linux,CVE-2024-26725,53c0441dd2c44ee93fddb5473885fd41e4bc2361
torvalds/linux,CVE-2024-26732,56667da7399eb19af857e30f41bea89aa6fa812c
torvalds/linux,CVE-2024-26740,52f671db18823089a02f07efc04efdb2272ddc17
torvalds/linux,CVE-2024-26755,9e46c70e829bddc24e04f963471e9983a11598b7
torvalds/linux,CVE-2024-26756,ad39c08186f8a0f221337985036ba86731d6aafe
torvalds/linux,CVE-2024-26757,55a48ad2db64737f7ffc0407634218cc6e4c513b
torvalds/linux,CVE-2024-26758,1baae052cccd08daf9a9d64c3f959d8cdb689757
torvalds/linux,CVE-2024-26769,710c69dbaccdac312e32931abcb8499c1525d397
torvalds/linux,CVE-2024-26775,e169bd4fb2b36c4b2bee63c35c740c85daeb2e86
torvalds/linux,CVE-2024-26781,d6a9608af9a75d13243d217f6ce1e30e57d56ffe
torvalds/linux,CVE-2024-26790,9d739bccf261dd93ec1babf82f5c5d71dd4caa3e
torvalds/linux,CVE-2024-26806,959043afe53ae80633e810416cee6076da6e91c6
