repo,vul_id,fixed_commit_sha
FFmpeg/FFmpeg,CVE-2020-20446,e56ee5a3e4d5110d2ef718249613591ad9c6a8e0
FFmpeg/FFmpeg,CVE-2020-20453,a7a7f32c8ad0179a1a85d0a8cff35924e6d90be8
FFmpeg/FFmpeg,CVE-2020-20892,19587c9332f5be4f6bc6d7b2b8ef3fd21dfeaa01
FreeRDP/FreeRDP,CVE-2022-39318,80adde17ddc4b596ed1dae0922a0c54ab3d4b8ea
ImageMagick/ImageMagick,CVE-2020-27560,ef59bd764f88d893f1219fee8ba696a5d3f8c1c4
ImageMagick/ImageMagick,CVE-2020-27750,a81ca9a1b46a96be83682af3389f0a6f3d0d389d
ImageMagick/ImageMagick,CVE-2020-27756,f35eca82b0c294ff9d0ccad104a881c3ae2ba913
ImageMagick/ImageMagick,CVE-2020-27760,c5fcdea6a6ae27cf3db20c28b176e87b1a584e06
ImageMagick/ImageMagick,CVE-2020-27763,43539e67a47d2f8de832d33a5b26dc2a7a12294f
ImageMagick/ImageMagick,CVE-2020-27765,a4c89f2a61069ad7637bc7749cc1a839de442526
ImageMagick/ImageMagick,CVE-2020-27773,3d71aa8265ffaaf686021a6fbd54c037f71ee3a2
ImageMagick/ImageMagick,CVE-2021-20176,fbd9a963db1ae5551c45dc8af57db0abd7695774
ImageMagick/ImageMagick,CVE-2021-20241,dd33b451c3e01098efad34bbaca2df78d5391dc8
ImageMagick/ImageMagick,CVE-2021-20243,9751bd619872c8e58609fbed56c4827afa083b40
ImageMagick/ImageMagick,CVE-2021-20244,329dd528ab79531d884c0ba131e97d43f872ab5d
ImageMagick/ImageMagick,CVE-2021-20245,ffb683e62ddedc6436a1b88388eb690d7ca57bf2
ImageMagick/ImageMagick,CVE-2021-20246,8d25d94a363b104acd6ff23df7470aeedb806c51
ImageMagick/ImageMagick,CVE-2021-20309,94174beff065cb5683d09d79e992c3ebbdead311
ImageMagick/ImageMagick,CVE-2021-20310,75f6f5032690077cae3eaeda3c0165cc765eaeb5
gpac/gpac,CVE-2021-40562,5dd71c7201a3e5cf40732d585bfb21c906c171d3
gpac/gpac,CVE-2023-2839,047f96fb39e6bf70cb9f344093f5886e51dce0ac
gpac/gpac,CVE-2023-4678,4607052c482a51dbdacfe1ade10645c181d07b07
gpac/gpac,CVE-2023-5586,ca1b48f0abe71bf81a58995d7d75dc27f5a17ddc
radareorg/radare2,CVE-2021-32494,a07dedb804a82bc01c07072861942dd80c6b6d62
torvalds/linux,CVE-2021-46915,b895bdf5d643b6feb7c60856326dd4feb6981560
torvalds/linux,CVE-2021-47080,54d87913f147a983589923c7f651f97de9af5be1
torvalds/linux,CVE-2022-3061,15cf0b82271b1823fb02ab8c377badba614d95d5
torvalds/linux,CVE-2023-31085,017c73a34a661a861712f7cc1393a123e5b2208c
torvalds/linux,CVE-2024-26720,9319b647902cbd5cc884ac08a8a6d54ce111fc78
torvalds/linux,CVE-2024-26774,993bf0f4c393b3667830918f9247438a8f6fdb5b
torvalds/linux,CVE-2024-26777,e421946be7d9bf545147bea8419ef8239cb7ca52
torvalds/linux,CVE-2024-26778,04e5eac8f3ab2ff52fa191c187a46d4fdbc1e288
