repo,vul_id,fixed_commit_sha
FFmpeg/FFmpeg,CVE-2024-35365,ced5c5fdb8634d39ca9472a2026b2d2fea16c4e5
FFmpeg/FFmpeg,CVE-2024-35368,4513300989502090c4fd6560544dce399a8cd53c
FreeRDP/FreeRDP,CVE-2020-11044,67c2aa52b2ae0341d469071d1bc8aab91f8d2ed8
FreeRDP/FreeRDP,CVE-2020-4031,6d86e20e1e7caaab4f0c7f89e36d32914dbccc52
LibreDWG/libredwg,OSV-2021-543,5b27162afa44042bd43dec3fed8a1177c2c43ebb
LibreDWG/libredwg,OSV-2023-1063,9801c8580ecabfd5770f927e5d71b0d1d184a55c
LibreDWG/libredwg,OSV-2023-440,b031cfed70f6a9578326cc6b4a07d173eeb1d30d
LibreDWG/libredwg,OSV-2023-758,3a37ad736c87393c9f88396f03f0ba69a54fcf9b
LibreDWG/libredwg,OSV-2023-894,37bbf357cec24cd90df2ba3b5c105baa66c6b9ea
curl/curl,CVE-2021-22945,43157490a5054bd24256fe12876931e8abc9df49
curl/curl,CVE-2022-42915,55e1875729f9d9fc7315cec611bffbd2c817ad89
gpac/gpac,CVE-2021-40569,b03c9f252526bb42fbd1b87b9f5e339c3cf2390a
gpac/gpac,CVE-2021-40572,7bb1b4a4dd23c885f9db9f577dfe79ecc5433109
gpac/gpac,CVE-2023-48013,cd8a95c1efb8f5bfc950b86c2ef77b4c76f6b893
gpac/gpac,CVE-2024-6064,c1b9c794bad8f262c56f3cf690567980d96662f5
radareorg/radare2,CVE-2020-27794,cb8b683758edddae2d2f62e8e63a738c39f92683
radareorg/radare2,OSV-2020-399,5d65cbe1f7d677a22c0fca593dcae1aebf8cf35b
radareorg/radare2,OSV-2020-490,149cb3587e4cd3928f8f56553ecfeaac15452585
radareorg/radare2,OSV-2023-623,85b4fa4f96db8d1c4fc4315fed93b624e3b1cade
torvalds/linux,CVE-2020-27066,4c59406ed00379c8663f8663d82b2537467ce9d7
torvalds/linux,CVE-2020-36785,ba11bbf303fafb33989e95473e409f6ab412b18d
torvalds/linux,CVE-2021-22600,ec6af094ea28f0f2dda1a6a33b14cd57e36a9755
torvalds/linux,CVE-2021-34981,3cfdf8fcaafa62a4123f92eb0f4a72650da3a479
torvalds/linux,CVE-2021-3564,6a137caec23aeb9e036cdfd8a46dd8a366460e5d
torvalds/linux,CVE-2021-3635,335178d5429c4cee61b58f4ac80688f556630818
torvalds/linux,CVE-2021-37159,a6ecfb39ba9d7316057cea823b196b734f6b18ca
torvalds/linux,CVE-2021-4023,713b9825a4c47897f66ad69409581e7734a8728e
torvalds/linux,CVE-2021-46938,8e947c8f4a5620df77e43c9c75310dc510250166
torvalds/linux,CVE-2021-46963,6641df81ab799f28a5d564f860233dd26cca0d93
torvalds/linux,CVE-2021-46979,901f84de0e16bde10a72d7eb2f2eb73fcde8fa1a
torvalds/linux,CVE-2021-47082,158b515f703e75e7d68289bf4d98c664e1d632df
torvalds/linux,CVE-2021-47123,447c19f3b5074409c794b350b10306e1da1ef4ba
torvalds/linux,CVE-2021-47124,a298232ee6b9a1d5d732aa497ff8be0d45b5bd82
torvalds/linux,CVE-2022-2327,44526bedc2ff8fcd58552e3c5bae928524b6f13c
torvalds/linux,CVE-2022-24958,89f3594d0de58e8a57d92d497dea9fee3d4b9cda
