repo,vul_id,fixed_commit_sha
curl/curl,CVE-2022-27781,5c7da89d404bf59c8dd82a001119a16d18365917
gpac/gpac,CVE-2021-29279,da69ad1f970a7e17c865eaec9af98cc84df10d5b
gpac/gpac,CVE-2021-40592,71460d72ec07df766dab0a4d52687529f3efcf0a
gpac/gpac,CVE-2022-1222,7f060bbb72966cae80d6fee338d0b07fa3fc06e1
gpac/gpac,CVE-2024-6061,20c0f29139a82779b86453ce7f68d0681ec7624c
gpac/gpac,OSV-2024-156,96b474ec59b3490eed7a874b14f78ad4b3a9d2bd
torvalds/linux,CVE-2020-12655,d0c7feaf87678371c2c09b3709400be416b2dc62
torvalds/linux,CVE-2020-25673,4b5db93e7f2afbdfe3b78e37879a85290187e6f1
torvalds/linux,CVE-2020-27152,77377064c3a94911339f13ce113b3abf265e06da
torvalds/linux,CVE-2020-36310,e72436bc3a5206f95bb384e741154166ddb3202e
torvalds/linux,CVE-2021-28950,775c5033a0d164622d9d10dd0f0a5531639ed3ed
torvalds/linux,CVE-2021-3679,67f0d6d9883c13174669f88adac4f0ee656cc16a
torvalds/linux,CVE-2021-47067,ef85bb582c41524e9e68dfdbde48e519dac4ab3d
torvalds/linux,CVE-2021-47159,a269333fa5c0c8e53c92b5a28a6076a28cde3e83
torvalds/linux,CVE-2022-42721,bcca852027e5878aec911a347407ecc88d6fff7f
torvalds/linux,CVE-2022-48630,16287397ec5c08aa58db6acf7dbc55470d78087d
torvalds/linux,CVE-2023-5158,7aed44babc7f97e82b38e9a68515e699692cc100
torvalds/linux,CVE-2023-52625,8e57c06bf4b0f51a4d6958e15e1a99c9520d00fa
torvalds/linux,CVE-2024-26603,d877550eaf2dc9090d782864c96939397a3c6835
torvalds/linux,CVE-2024-26681,ba5e1272142d051dcc57ca1d3225ad8a089f9858
torvalds/linux,CVE-2024-26750,aa82ac51d63328714645c827775d64dbfd9941f3
torvalds/linux,CVE-2024-26767,0484e05d048b66d01d1f3c1d2306010bb57d8738
torvalds/linux,CVE-2024-26780,25236c91b5ab4a26a56ba2e79b8060cf4e047839
wireshark/wireshark,CVE-2020-15466,11f40896b696e4e8c7f8b2ad96028404a83a51a4
wireshark/wireshark,CVE-2020-26575,3ff940652962c099b73ae3233322b8697b0d10ab
wireshark/wireshark,CVE-2020-28030,b287e7165e8aa89cde6ae37e7c257c5d87d16b9b
wireshark/wireshark,CVE-2021-22222,0137c24d60934f131b25506a88c9464e4dc827de
wireshark/wireshark,CVE-2021-39923,9104a3744e63b54b2cff3152aedeea340976355b
wireshark/wireshark,CVE-2021-39929,ed98abe2080053403f1881a8b2df1905a3ccdf2e
wireshark/wireshark,CVE-2021-4182,b3215d99cacbcd2613157d10f11b233b35b5d10b
wireshark/wireshark,CVE-2021-4184,ebcba787a0c27183db63fc8a1fae798f2d09633a
wireshark/wireshark,CVE-2021-4185,32bb2a19ee58194a530a3c09a3494b22f99ea583
wireshark/wireshark,CVE-2022-0586,24403a9a35cd7fbe5ea6e596b1c6deb9d8633566
wireshark/wireshark,CVE-2022-3190,67326401a595fffbc67eeed48eb6c55d66a55f67
