repo,vul_id,fixed_commit_sha
ImageMagick/ImageMagick,CVE-2021-20311,70aa86f5d5d8aa605a918ed51f7574f433a18482
ImageMagick/ImageMagick,CVE-2021-20312,70aa86f5d5d8aa605a918ed51f7574f433a18482
ImageMagick/ImageMagick,CVE-2021-20313,70aa86f5d5d8aa605a918ed51f7574f433a18482
apache/httpd,CVE-2022-30556,3a561759fcb37af179585adb8478922dc9bc6a85
curl/curl,CVE-2020-8169,600a8cded447cd7118ed50142c576567c0cf5158
curl/curl,CVE-2020-8284,ec9cc725d598ac77de7b6df8afeec292b3c8ad46
curl/curl,CVE-2021-22876,7214288898f5625a6cc196e22a74232eada7861c
curl/curl,CVE-2021-22923,265b14d6b37c4298bd5556fabcbc37d36f911693
curl/curl,CVE-2022-27774,139a54ed0a172adaaf1a78d6f4fff50b2c3f9e08
curl/curl,CVE-2022-27775,058f98dc3fe595f21dc26a5b9b1699e519ba5705
curl/curl,CVE-2022-27776,6e659993952aa5f90f48864be84a1bbb047fc258
torvalds/linux,CVE-2020-10732,1d605416fb7175e1adf094251466caa52093b413
torvalds/linux,CVE-2020-10773,b8e51a6a9db94bc1fb18ae831b3dab106b5a4b5f
torvalds/linux,CVE-2020-11494,b9258a2cece4ec1f020715fe3554bc2e360f6264
torvalds/linux,CVE-2020-12912,60268b0e8258fdea9a3c9f4b51e161c123571db3
torvalds/linux,CVE-2020-1749,6c8991f41546c3c472503dff1ea9daaddf9331c2
torvalds/linux,CVE-2020-25645,34beb21594519ce64a55a498c2fe7d567bc1ca20
torvalds/linux,CVE-2020-25705,b38e7819cae946e2edf869e604af1e65a5d241c5
torvalds/linux,CVE-2020-27170,f232326f6966cf2a1d1db7bc917a4ce5f9f55f76
torvalds/linux,CVE-2020-27171,10d2bb2e6b1d8c4576c56a748f697dbeb8388899
torvalds/linux,CVE-2020-2732,07721feee46b4b248402133228235318199b05ec
torvalds/linux,CVE-2020-28588,4f134b89a24b965991e7c345b9a4591821f7c2a6
torvalds/linux,CVE-2020-29371,bcf85fcedfdd17911982a3e3564fcfec7b01eebd
torvalds/linux,CVE-2020-36766,6c42227c3467549ddc65efe99c869021d2f4a570
torvalds/linux,CVE-2020-3702,56c5485c9e444c2e85e11694b6c44f1338fc20fd
torvalds/linux,CVE-2020-4788,f79643787e0a0762d2409b7b8334e83f22d85695
torvalds/linux,CVE-2020-8694,949dd0104c496fa7c14991a23c03c62e44637e71
torvalds/linux,CVE-2021-20322,a00df2caffed3883c341d5685f830434312e4a43
torvalds/linux,CVE-2021-26401,244d00b5dd4755f8df892c86cab35fb2cfd4f14b
torvalds/linux,CVE-2021-29155,9601148392520e2e134936e76788fc2a6371e7be
torvalds/linux,CVE-2021-29647,50535249f624d0072cd885bcdce4e4b6fb770160
torvalds/linux,CVE-2021-31829,b9b34ddbe2076ade359cd5ce7537d5ed019e9807
torvalds/linux,CVE-2021-34693,5e87ddbe3942e27e939bdc02deb8579b0cbd8ecc
torvalds/linux,CVE-2021-3732,427215d85e8d1476da1a86b8d67aceb485eb3631
torvalds/linux,CVE-2021-38205,d0d62baa7f505bd4c59cd169692ff07ec49dde37
torvalds/linux,CVE-2021-3923,b35a0f4dd544eaa6162b6d2f13a2557a121ae5fd
torvalds/linux,CVE-2021-4135,481221775d53d6215a6e5e9ce1cce6d2b4ab9a46
torvalds/linux,CVE-2021-4155,983d8e60f50806f90534cc5373d0ce867e5aaf79
torvalds/linux,CVE-2021-45100,83912d6d55be10d65b5268d1871168b9ebe1ec4b
torvalds/linux,CVE-2021-45485,62f20e068ccc50d6ab66fdb72ba90da2b9418c99
torvalds/linux,CVE-2021-45486,aa6dd211e4b1dde9d5dc25d699d35f789ae7eeba
torvalds/linux,CVE-2021-46906,6be388f4a35d2ce5ef7dbf635a8964a5da7f799f
torvalds/linux,CVE-2022-0001,d45476d9832409371537013ebdd8dc1a7781f97a
torvalds/linux,CVE-2022-0171,683412ccf61294d727ead4a73d97397396e69a6b
torvalds/linux,CVE-2022-0264,7d3baf0afa3aa9102d6a521a8e4c41888bb79882
torvalds/linux,CVE-2022-0812,912288442cb2f431bf3c8cb097a5de83bc6dbac1
torvalds/linux,CVE-2022-0854,aa6f8dcbab473f3a3c7454b74caa46d36cdc5d13
torvalds/linux,CVE-2022-1012,b2d057560b8107c633b39aabe517ff9d93f285e3
torvalds/linux,CVE-2022-1353,9a564bccb78a76740ea9d75a259942df8143d02c
torvalds/linux,CVE-2022-21123,8cb861e9e3c9a55099ad3d08e1a3b653d29c33ca
torvalds/linux,CVE-2022-21125,a992b8a4682f119ae035a01b40d4d0665c4a2875
torvalds/linux,CVE-2022-21166,99a83db5a605137424e1efe29dc0573d6a5b6316
torvalds/linux,CVE-2022-23960,9dd78194a3722fa6712192cdd4f7032d45112a9a
torvalds/linux,CVE-2022-26365,2f446ffe9d737e9a844b97887919c4fda18246e7
torvalds/linux,CVE-2022-26373,2b1299322016731d56807aa49254a5ea3080b6b3
torvalds/linux,CVE-2022-27672,be8de49bea505e7777a69ef63d60e02ac1712683
torvalds/linux,CVE-2022-33740,307c8de2b02344805ebead3440d8feed28f2f010
torvalds/linux,CVE-2022-33741,4491001c2e0fa69efbb748c96ec96b100a5cdb7e
torvalds/linux,CVE-2022-40768,6022f210461fef67e6e676fd8544ca02d1bcfa7a
torvalds/linux,CVE-2022-40982,8974eb588283b7d44a7c91fa09fcbaf380339f3a
torvalds/linux,CVE-2023-0458,739790605705ddcf18f21782b9c99ad7d53a8c11
torvalds/linux,CVE-2023-0459,74e19ef0ff8061ef55957c3abd71614ef0f42f47
torvalds/linux,CVE-2023-0597,97e3d26b5e5f371b3ee223d94dd123e6c442ba80
torvalds/linux,CVE-2023-1513,2c10b61421a28e95a46ab489fd56c0f442ff6952
torvalds/linux,CVE-2023-1637,e2a1256b17b16f9b9adf1b6fea56819e7b68e463
torvalds/linux,CVE-2023-20588,77245f1c3c6495521f6a3af082696ee2f8ce3921
torvalds/linux,CVE-2023-20593,522b1d69219d8f083173819fde04f994aa051a98
torvalds/linux,CVE-2023-28746,e95df4ec0c0c9791941f112db699fae794b9862a
torvalds/linux,CVE-2023-3006,0e5d5ae837c8ce04d2ddb874ec5f920118bd9d31
torvalds/linux,CVE-2023-50431,a9f07790a4b2250f0140e9a61c7f842fd9b618c7
torvalds/linux,CVE-2024-0340,4d8df0f5f79f747d75a7d356d9b9ea40a4e4c8a9
torvalds/linux,CVE-2024-26746,d3ea125df37dc37972d581b74a5d3785c3f283ab
torvalds/linux,CVE-2024-26805,661779e1fcafe1b74b3f3fe8e980c1e207fea1fd
