repo,vul_id,fixed_commit_sha
FFmpeg/FFmpeg,CVE-2020-20448,8802e329c8317ca5ceb929df48a23eb0f9e852b2
FFmpeg/FFmpeg,CVE-2020-20898,99f8d32129dd233d4eb2efa44678a0bc44869f23
FFmpeg/FFmpeg,CVE-2020-24020,584f396132aa19d21bb1e38ad9a5d428869290cb
FFmpeg/FFmpeg,CVE-2021-38090,99f8d32129dd233d4eb2efa44678a0bc44869f23
FFmpeg/FFmpeg,CVE-2021-38091,99f8d32129dd233d4eb2efa44678a0bc44869f23
FFmpeg/FFmpeg,CVE-2021-38092,99f8d32129dd233d4eb2efa44678a0bc44869f23
FFmpeg/FFmpeg,CVE-2021-38093,99f8d32129dd233d4eb2efa44678a0bc44869f23
FFmpeg/FFmpeg,CVE-2021-38094,99f8d32129dd233d4eb2efa44678a0bc44869f23
FFmpeg/FFmpeg,CVE-2022-1475,757da974b21833529cc41bdcc9684c29660cdfa8
FFmpeg/FFmpeg,CVE-2022-2566,c953baa084607dd1d84c3bfcce3cf6a87c3e6e05
FFmpeg/FFmpeg,CVE-2024-22860,d2e8974699a9e35cc1a926bf74a972300d629cd5
FFmpeg/FFmpeg,CVE-2024-22862,ca09d8a0dcd82e3128e62463231296aaf63ae6f7
FFmpeg/FFmpeg,CVE-2024-35366,0bed22d597b78999151e3bde0768b7fe763fc2a6
FFmpeg/FFmpeg,CVE-2024-35369,0895ef0d6d6406ee6cd158fc4d47d80f201b8e9c
FFmpeg/FFmpeg,CVE-2024-36613,50d8e4f27398fd5778485a827d7a2817921f8540
FFmpeg/FFmpeg,CVE-2024-36616,86f73277bf014e2ce36dd2594f1e0fb8b3bd6661
FFmpeg/FFmpeg,CVE-2024-36617,d973fcbcc2f944752ff10e6a76b0b2d9329937a7
FFmpeg/FFmpeg,CVE-2024-36618,7a089ed8e049e3bfcb22de1250b86f2106060857
FFmpeg/FFmpeg,CVE-2024-36619,28c7094b25b689185155a6833caf2747b94774a4
FreeRDP/FreeRDP,CVE-2024-22211,939e922936e9c3ae8fc204968645e5e7563a2fff
ImageMagick/ImageMagick,CVE-2020-25666,94691f00839dbdf43edb1508af945ab19b388573
ImageMagick/ImageMagick,CVE-2020-25675,64dc80b2e1907f7f20bf34d4df9483f938b0de71
ImageMagick/ImageMagick,CVE-2020-25676,406da3af9e09649cda152663c179902edf5ab3ac
ImageMagick/ImageMagick,CVE-2020-27751,f60d59cc3a7e3402d403361e0985ffa56f746a82
ImageMagick/ImageMagick,CVE-2020-27757,e88532bd4418e95b70cbc415fe911d22ab27a5fd
ImageMagick/ImageMagick,CVE-2020-27758,f0a8d407b2801174fd8923941a9e7822f7f9a506
ImageMagick/ImageMagick,CVE-2020-27759,d44f8a35558951a21367d306a42e5a097f3a43fe
ImageMagick/ImageMagick,CVE-2020-27761,db5e12e24f1378ce8c93a5c35991dcdd23a67bb0
ImageMagick/ImageMagick,CVE-2020-27762,7db3fa20893d557259da6e99e111954de83d2495
ImageMagick/ImageMagick,CVE-2020-27766,29cee9152d1b5487cfd19443ca48935eea0cabe2
ImageMagick/ImageMagick,CVE-2020-27767,564f2a35e523e2b6cce9485018157f03ec05a947
ImageMagick/ImageMagick,CVE-2020-27768,95d4e94e0353e503b71a53f5e6fad173c7c70c90
ImageMagick/ImageMagick,CVE-2020-27769,7b058696133c6d36e0b48a454e357482db71982e
ImageMagick/ImageMagick,CVE-2020-27770,be90a5395695f0d19479a5d46b06c678be7f7927
ImageMagick/ImageMagick,CVE-2020-27771,872ffe6d0131beec8b47568a4874ffaca91a872e
ImageMagick/ImageMagick,CVE-2020-27772,a1142af44f61c038ad3eccc099c5b9548b507846
ImageMagick/ImageMagick,CVE-2020-27774,29cee9152d1b5487cfd19443ca48935eea0cabe2
