repo,vul_id,fixed_commit_sha
FFmpeg/FFmpeg,CVE-2021-38291,a4a3fd814aac900175ec4a2811cb5bf98c1ddad3
ImageMagick/ImageMagick,CVE-2022-2719,716496e6df0add89e9679d6da9c0afca814cfe49
apache/httpd,CVE-2022-22720,0cb63842869cc2d9c02aba63c2122c685ac88d76
curl/curl,CVE-2020-8177,8236aba58542c5f89f1d41ca09d84579efb05e22
curl/curl,CVE-2021-22922,265b14d6b37c4298bd5556fabcbc37d36f911693
curl/curl,CVE-2021-22924,5ea3145850ebff1dc2b13d17440300a01ca38161
curl/curl,CVE-2022-27778,8c7ee9083d0d719d0a77ab20d9cc2ae84eeea7f3
curl/curl,CVE-2022-32221,a64e3e59938abd7d667e4470a18072a24d7e9de9
curl/curl,CVE-2022-42916,53bcf55b4538067e6dc36242168866becb987bb7
curl/curl,CVE-2022-43551,9e71901634e276dd050481c4320f046bebb1bc28
curl/curl,CVE-2023-23914,076a2f629119222aeeb50f5a03bf9f9052fabb9a
curl/curl,CVE-2023-38546,61275672b46d9abb3285740467b882e22ed75da8
curl/curl,CVE-2023-46218,2b0994c29a721c91c572cff7808c572a24d251eb
curl/curl,CVE-2023-46219,73b65e94f3531179de45c6f3c836a610e3d0a846
curl/curl,CVE-2024-2004,17d302e56221f5040092db77d4f85086e8a20e0e
curl/curl,CVE-2024-9681,a94973805df96269bf3f3bf0a20ccb9887313316
gpac/gpac,CVE-2021-40571,a69b567b8c95c72f9560c873c5ab348be058f340
gpac/gpac,CVE-2022-1172,55a183e6b8602369c04ea3836e05436a79fbc7f8
gpac/gpac,CVE-2022-29339,9ea93a2ec8f555ceed1ee27294cf94822f14f10f
gpac/gpac,CVE-2023-4720,e396648e48c57e2d53988d3fd4465b068b96c89a
radareorg/radare2,OSV-2020-7,ee9025c9170c15dea5e68d4d5179d41e78868493
torvalds/linux,CVE-2020-0404,68035c80e129c4cfec659aac4180354530b26527
torvalds/linux,CVE-2020-0444,2ad3e17ebf94b7b7f3f64c050ff168f9915345eb
torvalds/linux,CVE-2020-10757,5bfea2d9b17f1034a68147a8b03b9789af5700f9
torvalds/linux,CVE-2020-10766,dbbe2ad02e9df26e372f38cc3e70dab9222c832e
torvalds/linux,CVE-2020-10767,21998a351512eba4ed5969006f0c55882d995ada
torvalds/linux,CVE-2020-10768,4d8df8cbb9156b0a0ab3f802b80cb5db57acc0bf
torvalds/linux,CVE-2020-14385,f4020438fab05364018c91f7e02ebdd192085933
torvalds/linux,CVE-2020-24586,94034c40ab4a3fcf581fbc7f8fdf4e29943c4a24
torvalds/linux,CVE-2020-26147,965a7d72e798eb7af0aa67210e37cf7ecd1c9cad
torvalds/linux,CVE-2020-27194,5b9fbeb75b6a98955f628e205ac26689bcb1383e
torvalds/linux,CVE-2020-28941,d4122754442799187d5d537a9c039a49a67e57f1
torvalds/linux,CVE-2020-35513,880a3a5325489a143269a8e172e7563ebf9897bc
torvalds/linux,CVE-2020-36787,3536169f8531c2c5b153921dc7d1ac9fd570cda7
torvalds/linux,CVE-2020-8835,f2d67fec0b43edce8c416101cdc52e71145b5fef
torvalds/linux,CVE-2021-20317,511885d7061eda3eb1faf3f57dcc936ff75863f1
torvalds/linux,CVE-2021-20320,db7bee653859ef7179be933e7d1384644f795f26
torvalds/linux,CVE-2021-26930,871997bc9e423f05c7da7c9178e62dde5df2a7f8
torvalds/linux,CVE-2021-26931,5a264285ed1cd32e26d9de4f3c8c6855e467fd63
torvalds/linux,CVE-2021-28039,882213990d32fd224340a4533f6318dd152be4b2
torvalds/linux,CVE-2021-29154,e4d4d456436bfb2fe412ee2cd489f7658449b098
torvalds/linux,CVE-2021-31440,10bf4e83167cc68595b85fd73bb91e8f2c086e36
torvalds/linux,CVE-2021-33624,d203b0fd863a2261e5d00b97f3d060c4c2a6db71
torvalds/linux,CVE-2021-33631,5c099c4fdc438014d5893629e70a8ba934433ee8
torvalds/linux,CVE-2021-3411,0d07c0ec4381f630c801539c79ad8dcc627f6e4a
torvalds/linux,CVE-2021-3444,9b00f1b78809309163dda2d044d9e94a3c0248a3
torvalds/linux,CVE-2021-3490,049c4e13714ecbca567b4d5f6d563f05d431c80e
torvalds/linux,CVE-2021-38198,b1bd5cba3306691c771d558e94baa73e8b0b96b7
torvalds/linux,CVE-2021-38199,dd99e9f98fbf423ff6d365b37a98e8879170f17c
torvalds/linux,CVE-2021-38300,37cb28ec7d3a36a5bace7063a3dba633ab110f8b
torvalds/linux,CVE-2021-4032,f7d8a19f9a056a05c5c509fa65af472a322abfee
torvalds/linux,CVE-2021-4159,294f2fc6da27620a506e6c050241655459ccd6bd
torvalds/linux,CVE-2021-45402,3cf2b61eb06765e27fec6799292d9fb46d0b7e60
torvalds/linux,CVE-2021-46912,97684f0970f6e112926de631fdd98d9693c7e5c1
torvalds/linux,CVE-2021-46913,4d8f9065830e526c83199186c5f56a6514f457d2
torvalds/linux,CVE-2021-46914,debb9df311582c83fe369baa35fa4b92e8a9c58a
torvalds/linux,CVE-2021-46917,ea9aadc06a9f10ad20a90edc0a484f1147d88a7a
torvalds/linux,CVE-2021-46919,0fff71c5a311e1264988179f7dcc217fda15fadd
torvalds/linux,CVE-2021-46920,ea941ac294d75d0ace50797aebf0056f6f8f7a7f
torvalds/linux,CVE-2021-46926,385f287f9853da402d94278e59f594501c1d1dad
torvalds/linux,CVE-2021-46927,3a0152b219523227c2a62a0a122cf99608287176
torvalds/linux,CVE-2021-46945,ac2f7ca51b0929461ea49918f27c11b680f28995
torvalds/linux,CVE-2021-46950,2417b9869b81882ab90fd5ed1081a1cb2d4db1dd
torvalds/linux,CVE-2021-46953,1ecd5b129252249b9bc03d7645a7bda512747277
torvalds/linux,CVE-2021-46957,b1ebaa0e1318494a7637099a26add50509e37964
torvalds/linux,CVE-2021-46960,83728cbf366e334301091d5b808add468ab46b27
torvalds/linux,CVE-2021-46961,a97709f563a078e259bf0861cd259aa60332890a
torvalds/linux,CVE-2021-46967,3a3e0fad16d40a2aa68ddf7eea4acdf48b22dd44
torvalds/linux,CVE-2021-46971,08ef1af4de5fe7de9c6d69f1e22e51b66e385d9b
torvalds/linux,CVE-2021-46976,402be8a101190969fc7ff122d07e262df86e132b
torvalds/linux,CVE-2021-46978,f5c7e8425f18fdb9bdb7d13340651d7876890329
torvalds/linux,CVE-2021-46989,c3187cf32216313fb316084efac4dab3a8459b1d
torvalds/linux,CVE-2021-46997,4d6a38da8e79e94cbd1344aa90876f0f805db705
torvalds/linux,CVE-2021-47004,61461fc921b756ae16e64243f72af2bfc2e620db
torvalds/linux,CVE-2021-47006,a506bd5756290821a4314f502b4bafc2afcf5260
torvalds/linux,CVE-2021-47007,3ab0598e6d860ef49d029943ba80f627c15c15d6
torvalds/linux,CVE-2021-47014,f77bd544a6bbe69aa50d9ed09f13494cf36ff806
torvalds/linux,CVE-2021-47015,bbd6f0a948139970f4a615dff189d9a503681a39
torvalds/linux,CVE-2021-47016,43262178c043032e7c42d00de44c818ba05f9967
torvalds/linux,CVE-2021-47018,9ccba66d4d2aff9a3909aa77d57ea8b7cc166f3c
torvalds/linux,CVE-2021-47025,b34ea31fe013569d42b7e8681ef3f717f77c5b72
torvalds/linux,CVE-2021-47029,c996f0346e40e3b1ac2ebaf0681df898fb157f60
torvalds/linux,CVE-2021-47035,eea53c5816889ee8b64544fa2e9311a81184ff9c
torvalds/linux,CVE-2021-47036,18f25dc399901426dff61e676ba603ff52c666f7
torvalds/linux,CVE-2021-47066,ceaf2966ab082bbc4d26516f97b3ca8a676e2af8
torvalds/linux,CVE-2021-47072,54a40fc3a1da21b52dbf19f72fdc27a2ec740760
