repo,vul_id,fixed_commit_sha
FFmpeg/FFmpeg,CVE-2020-20451,21265f42ecb265debe9fec1dbfd0cb7de5a8aefb
FFmpeg/FFmpeg,CVE-2020-22037,071ecaddb9ce7a514f4fe8b0ab4bc363d4bb0a38
FFmpeg/FFmpeg,CVE-2020-22038,7c32e9cf93b712f8463573a59ed4e98fd10fa013
FFmpeg/FFmpeg,CVE-2020-22039,a581bb66ea5eb981e2e498ca301df7d1ef15a6a3
FFmpeg/FFmpeg,CVE-2020-22040,1a0c584abc9709b1d11dbafef05d22e0937d7d19
FFmpeg/FFmpeg,CVE-2020-22042,426c16d61a9b5056a157a1a2a057a4e4d13eef84
FFmpeg/FFmpeg,CVE-2020-22043,b288a7eb3d963a175e177b6219c8271076ee8590
FFmpeg/FFmpeg,CVE-2020-22044,c7c2f4975b23dc2ba6b3324a41bb495fcb4656d6
FFmpeg/FFmpeg,CVE-2020-22048,64d2e0b20066058cf1c6dc3c49adab6d18d66fcc
FFmpeg/FFmpeg,CVE-2020-22049,373c1c9b691fd4c6831b3a114a006b639304c2af
FFmpeg/FFmpeg,CVE-2020-22051,673fce6d40d9a594fb7a0ea17d296b7d3d9ea856
FFmpeg/FFmpeg,CVE-2020-22054,6f2a3958cfac135c60b509a61a4fd39432d8f9a9
FFmpeg/FFmpeg,CVE-2023-50008,5f87a68cf70dafeab2fb89b42e41a4c29053b89b
ImageMagick/ImageMagick,CVE-2020-27753,bb3acad195de95db86c7509d8072db01890470e0
ImageMagick/ImageMagick,CVE-2020-27755,f28e9e56e1b56d4e1f09d2a56d70892ae295d6a4
ImageMagick/ImageMagick,CVE-2021-3574,c6ad94fbb7b280f39c2fbbdc1c140e51b1b466e9
ImageMagick/ImageMagick6,CVE-2023-39978,c90e79b3b22fec309cab55af2ee606f71b027b12
LibreDWG/libredwg,OSV-2023-455,aa1efabfa067d0ca63ce7a950ca4420755edadf2
curl/curl,CVE-2024-2398,deca8039991886a559b67bcd6701db800a5cf764
gpac/gpac,CVE-2021-33361,a51f951b878c2b73c1d8e2f1518c7cdc5fb82c3f
gpac/gpac,CVE-2021-33363,ec64c7b8966d7e4642d12debb888be5acf18efb9
gpac/gpac,CVE-2021-33364,fe5155cf047252d1c4cb91602048bfa682af0ea7
gpac/gpac,CVE-2021-33365,984787de3d414a5f7d43d0b4584d9469dff2a5a5
gpac/gpac,CVE-2021-33366,0a85029d694f992f3631e2f249e4999daee15cbf
gpac/gpac,CVE-2023-1654,2c055153d401b8c49422971e3a0159869652d3da
gpac/gpac,CVE-2023-23145,4ade98128cbc41d5115b97a41ca2e59529c8dd5f
gpac/gpac,CVE-2024-24267,d28d9ba45cf4f628a7b2c351849a895e6fcf2234
radareorg/radare2,OSV-2020-1094,45a2f03199e2cef792f3a1f621bb2df408bf7a03
torvalds/linux,CVE-2020-12656,f45db2b909c7e76f35850e78f017221f30282b8e
torvalds/linux,CVE-2020-12768,d80b64ff297e40c2b6f7d7abc1b3eba70d22a068
torvalds/linux,CVE-2020-15393,28ebeb8db77035e058a510ce9bd17c2b9a009dba
torvalds/linux,CVE-2020-25671,8a4cd82d62b5ec7e5482333a72b58a4eea4979f0
torvalds/linux,CVE-2020-25672,7574fcdbdcb335763b6b322f6928dc0fd5730451
torvalds/linux,CVE-2020-25704,7bdb157cdebbf95a1cd94ed2e01b338714075d00
torvalds/linux,CVE-2020-36312,f65886606c2d3b562716de030706dfe1bea4ed5e
torvalds/linux,CVE-2020-36777,bf9a40ae8d722f281a2721779595d6df1c33a0bf
torvalds/linux,CVE-2020-36786,6045b01dd0e3cd3759eafe7f290ed04c957500b1
torvalds/linux,CVE-2021-20265,fa0dc04df259ba2df3ce1920e9690c7842f8fa4b
torvalds/linux,CVE-2021-29649,f60a85cad677c4f9bb4cadd764f1d106c38c7cf8
torvalds/linux,CVE-2021-30002,fb18802a338b36f675a388fc03d2aa504a0d0899
torvalds/linux,CVE-2021-3736,de5494af4815a4c9328536c72741229b7de88e7f
torvalds/linux,CVE-2021-3744,505d9dcb0f7ddf9d075e729523a33d38642ae680
torvalds/linux,CVE-2021-45480,5f9562ebe710c307adc5f666bf1a2162ee7977c0
torvalds/linux,CVE-2021-46924,1b9dadba502234eea7244879b8d5d126bfaf9f0c
torvalds/linux,CVE-2021-46937,ebb3f994dd92f8fb4d70c7541091216c1e10cb71
torvalds/linux,CVE-2021-46944,3630901933afba1d16c462b04d569b7576339223
torvalds/linux,CVE-2021-46956,c79c5e0178922a9e092ec8fed026750f39dcaef4
torvalds/linux,CVE-2021-46962,e29c84857e2d51aa017ce04284b962742fb97d9e
torvalds/linux,CVE-2021-46968,70fac8088cfad9f3b379c9082832b4d7532c16c2
torvalds/linux,CVE-2021-46972,eaab1d45cdb4bb0c846bd23c3d666d5b90af7b41
torvalds/linux,CVE-2021-46985,0c8bd174f0fc131bc9dfab35cd8784f59045da87
torvalds/linux,CVE-2021-46996,85dfd816fabfc16e71786eda0a33a7046688b5b0
torvalds/linux,CVE-2021-47009,83a775d5f9bfda95b1c295f95a3a041a40c7f321
torvalds/linux,CVE-2021-47020,48f17f96a81763c7c8bf5500460a359b9939359f
torvalds/linux,CVE-2021-47021,e9d32af478cfc3744a45245c0b126738af4b3ac4
torvalds/linux,CVE-2021-47022,8ab31da7b89f71c4c2defcca989fab7b42f87d71
torvalds/linux,CVE-2021-47024,8432b8114957235f42e070a16118a7f750de9d39
torvalds/linux,CVE-2021-47030,49cc85059a2cb656f96ff3693f891e8fe8f669a9
torvalds/linux,CVE-2021-47031,782b3e86ea970e899f8e723db9f64708a15ca30e
torvalds/linux,CVE-2021-47042,616cf23b6cf40ad6f03ffbddfa1b6c4eb68d8ae1
torvalds/linux,CVE-2021-47052,854b7737199848a91f6adfa0a03cf6f0c46c86e8
torvalds/linux,CVE-2021-47053,50274b01ac1689b1a3f6bc4b5b3dbf361a55dd3a
torvalds/linux,CVE-2021-47057,98b5ef3e97b16eaeeedb936f8bda3594ff84a70e
torvalds/linux,CVE-2021-47059,1dbc6a1e25be8575d6c4114d1d2b841a796507f7
torvalds/linux,CVE-2021-47070,0b0226be3a52dadd965644bc52a807961c2c26df
torvalds/linux,CVE-2021-47071,3ee098f96b8b6c1a98f7f97915f8873164e6af9d
torvalds/linux,CVE-2021-47074,03504e3b54cc8118cc26c064e60a0b00c2308708
torvalds/linux,CVE-2021-47075,fec356a61aa3d3a66416b4321f1279e09e0f256f
torvalds/linux,CVE-2021-47093,26a8b09437804fabfb1db080d676b96c0de68e7c
