repo,vul_id,fixed_commit_sha
FFmpeg/FFmpeg,CVE-2020-20450,3865b1952e5cf993b016d83ba78fe1deb63bbfad
FFmpeg/FFmpeg,CVE-2020-20896,dd01947397b98e94c3f2a79d5820aaf4594f4d3b
FFmpeg/FFmpeg,CVE-2020-22046,bbc9751da67286d27f379dbe3b52ee3b55b0503e
FFmpeg/FFmpeg,CVE-2020-36138,292e41ce650a7b5ca5de4ae87fff0d6a90d9fc97
FFmpeg/FFmpeg,CVE-2022-3109,656cb0450aeb73b25d7d26980af342b37ac4c568
FFmpeg/FFmpeg,CVE-2022-3341,9cf652cef49d74afe3d454f27d49eb1a1394951e
FreeRDP/FreeRDP,CVE-2024-32661,71e463e31b4d69f4022d36bfc814592f56600793
LibreDWG/libredwg,CVE-2023-26157,c8cf03ce4c2315b146caf582ea061c0460193bcc
LibreDWG/libredwg,OSV-2023-1122,4e4547b96add1ddb4ef7036a9ddbde9806371104
LibreDWG/libredwg,OSV-2024-123,e3e4d8701fa8380ad82fa37a27720027d26ec5dc
apache/httpd,CVE-2020-13950,ccc2e4c751826ff296df01428d42c4a40918110d
apache/httpd,CVE-2020-9490,a61223e9cb906110f35ec144b93fee9eb80ad6e4
apache/httpd,CVE-2021-26690,67bd9bfe6c38831e14fe7122f1d84391472498f8
apache/httpd,CVE-2021-31618,a4fba223668c554e06bc78d6e3a88f33d4238ae4
apache/httpd,CVE-2021-34798,fa7b2a5250e54363b3a6c8ac3aaa7de4e8da9b2e
apache/httpd,CVE-2021-44224,15a5cde91626a68425f7f5e215f5a816dbb956f7
gnutls/gnutls,CVE-2021-4209,3db352734472d851318944db13be73da61300568
gpac/gpac,CVE-2020-19488,6170024568f4dda310e98ef7508477b425c58d09
gpac/gpac,CVE-2020-23930,9eeac00b38348c664dfeae2525bba0cf1bc32349
gpac/gpac,CVE-2020-23932,ce01bd15f711d4575b7424b54b3a395ec64c1784
gpac/gpac,CVE-2020-25427,8e585e623b1d666b4ef736ed609264639cb27701
gpac/gpac,CVE-2020-35981,dae9900580a8888969481cd72035408091edb11b
gpac/gpac,CVE-2020-35982,a4eb327049132359cae54b59faec9e2f14c5a619
gpac/gpac,CVE-2021-30015,13dad7d5ef74ca2e6fe4010f5b03eb12e9bbe0ec
gpac/gpac,CVE-2021-30199,b2db2f99b4c30f96e17b9a14537c776da6cb5dca
gpac/gpac,CVE-2021-31257,87afe070cd6866df7fe80f11b26ef75161de85e0
gpac/gpac,CVE-2021-31258,ebfa346eff05049718f7b80041093b4c5581c24e
gpac/gpac,CVE-2021-31259,3b84ffcbacf144ce35650df958432f472b6483f8
gpac/gpac,CVE-2021-31260,df8fffd839fe5ae9acd82d26fd48280a397411d9
gpac/gpac,CVE-2021-31261,cd3738dea038dbd12e603ad48cd7373ae0440f65
gpac/gpac,CVE-2021-31262,b2eab95e07cb5819375a50358d4806a8813b6e50
gpac/gpac,CVE-2021-32134,328c6d682698fdb9878dbb4f282963d42c538c01
gpac/gpac,CVE-2021-32135,b8f8b202d4fc23eb0ab4ce71ae96536ca6f5d3f8
gpac/gpac,CVE-2021-32138,289ffce3e0d224d314f5f92a744d5fe35999f20b
gpac/gpac,CVE-2021-32437,1653f31cf874eb6df964bea88d58d8e9b98b485e
gpac/gpac,CVE-2021-32438,00194f5fe462123f70b0bae7987317b52898b868
gpac/gpac,CVE-2021-32440,f0ba83717b6e4d7a15a1676d1fe06152e199b011
gpac/gpac,CVE-2021-4043,64a2e1b799352ac7d7aad1989bc06e7b0f2b01db
gpac/gpac,CVE-2021-40563,5ce0c906ed8599d218036b18b78e8126a496f137
gpac/gpac,CVE-2021-40565,893fb99b606eebfae46cde151846a980e689039b
gpac/gpac,CVE-2021-40575,5f2c2a16d30229b6241f02fa28e3d6b810d64858
gpac/gpac,CVE-2021-40576,ad18ece95fa064efc0995c4ab2c985f77fb166ec
gpac/gpac,CVE-2022-1035,3718d583c6ade191dc7979c64f48c001ca6f0243
gpac/gpac,CVE-2022-2549,0102c5d4db7fdbf08b5b591b2a6264de33867a07
gpac/gpac,CVE-2022-29340,37592ad86c6ca934d34740012213e467acc4a3b0
gpac/gpac,CVE-2022-47090,48760768611f6766bf9e7378bb7cc66cebd6e49d
gpac/gpac,CVE-2023-2838,c88df2e202efad214c25b4e586f243b2038779ba
gpac/gpac,CVE-2023-2840,ba59206b3225f0e8e95a27eff41cb1c49ddf9a37
gpac/gpac,CVE-2023-3012,53387aa86c1af1228d0fa57c67f9c7330716d5a7
gpac/gpac,CVE-2023-3013,78e539b43293829a14a32e821f5267e3b7417594
gpac/gpac,CVE-2023-46001,e79b0cf7e72404750630bc01340e999f3940dbc4
gpac/gpac,CVE-2023-4681,4bac19ad854159b21ba70d8ab7c4e1cd1db8ea1c
gpac/gpac,CVE-2023-4683,112767e8b178fc82dec3cf82a1ca14d802cdb8ec
gpac/gpac,CVE-2023-46928,0753bf6d867343a80a044bf47a27d0b7accc8bf1
gpac/gpac,CVE-2023-46929,4248def5d24325aeb0e35cacde3d56c9411816a6
gpac/gpac,CVE-2023-46930,3809955065afa3da1ad580012ec43deadbb0f2c8
gpac/gpac,CVE-2024-6062,31e499d310a48bd17c8b055a0bfe0fe35887a7cd
gpac/gpac,CVE-2024-6063,8767ed0a77c4b02287db3723e92c2169f67c85d5
gpac/gpac,OSV-2024-135,4d7891cd8070a37010f4ff07574e89f189ed3d57
