repo,vul_id,fixed_commit_sha
ImageMagick/ImageMagick,CVE-2022-32547,eac8ce4d873f28bb6a46aa3a662fb196b49b95d0
curl/curl,CVE-2024-6197,3a537a4db9e65e545ec45b1b5d5575ee09a2569d
kamailio/kamailio,OSV-2024-1249,024c649c36bbe1d5ba4b306de53102cec4096734
torvalds/linux,CVE-2021-41073,16c8d2df7ec0eed31b7d3b61cb13206a7fb930cc
torvalds/linux,CVE-2021-46909,30e3b4f256b4e366a61658c294f6a21b8626dda7
torvalds/linux,CVE-2021-46952,c09f11ef35955785f92369e25819bf0629df2e59
torvalds/linux,CVE-2021-47044,39a2a6eb5c9b66ea7c8055026303b3aa681b49a5
torvalds/linux,CVE-2021-47087,18549bf4b21c739a9def39f27dcac53e27286ab5
torvalds/linux,CVE-2021-47110,c02027b5742b5aa804ef08a4a9db433295533046
torvalds/linux,CVE-2021-47174,f0b3d338064e1fe7531f0d2977e35f3b334abfb4
torvalds/linux,CVE-2022-1975,4071bf121d59944d5cd2238de0642f3d7995a997
torvalds/linux,CVE-2022-23816,742ab6df974ae8384a2dd213db1a3a06cf6d8936
torvalds/linux,CVE-2022-48425,98bea253aa28ad8be2ce565a9ca21beb4a9419e5
torvalds/linux,CVE-2023-1192,98bea253aa28ad8be2ce565a9ca21beb4a9419e5
torvalds/linux,CVE-2023-52619,d49270a04623ce3c0afddbf3e984cb245aa48e9c
wireshark/wireshark,CVE-2021-22235,029a7fcec5c6fc9407bd7f50ad6c3ce79f4d393b
wireshark/wireshark,CVE-2022-0582,1fd1853837a28699ee6f3951b37b6e231204af02
