repo,vul_id,fixed_commit_sha
FFmpeg/FFmpeg,CVE-2020-20902,0c61661a2cbe1b8b284c80ada1c2fdddf4992cad
FFmpeg/FFmpeg,CVE-2020-22015,14e172600e65817144be48a774c9b699b9563653
FFmpeg/FFmpeg,CVE-2020-22023,ab0b268bb78ccd5ba4411594ae74a368ad2186e1
FFmpeg/FFmpeg,CVE-2020-22029,29f1cf0c0f5d90e81a438dc12a4782dc424bf5ec
FFmpeg/FFmpeg,CVE-2020-35965,b0a8b40294ea212c1938348ff112ef1b9bf16bb3
FFmpeg/FFmpeg,CVE-2021-33815,26d3c81bc5ef2f8c3f09d45eaeacfb4b1139a777
FFmpeg/FFmpeg,CVE-2022-3964,92f9b28ed84a77138105475beba16c146bdaf984
FFmpeg/FFmpeg,CVE-2022-3965,13c13109759090b7f7182480d075e13b36ed8edd
FFmpeg/FFmpeg,CVE-2023-46407,bf814387f42e9b0dea9d75c03db4723c88e7d962
FFmpeg/FFmpeg,CVE-2023-47342,e4d5ac8d7d2a08658b3db7dd821246fe6b35381f
FFmpeg/FFmpeg,CVE-2024-7055,3faadbe2a27e74ff5bb5f7904ec27bb1f5287dc8
FreeRDP/FreeRDP,CVE-2020-11042,6b2bc41935e53b0034fe5948aeeab4f32e80f30f
FreeRDP/FreeRDP,CVE-2020-11045,f8890a645c221823ac133dbf991f8a65ae50d637
FreeRDP/FreeRDP,CVE-2020-11046,ed53cd148f43cbab905eaa0f5308c2bf3c48cc37
FreeRDP/FreeRDP,CVE-2020-11047,f5e73cc7c9cd973b516a618da877c87b80950b65
FreeRDP/FreeRDP,CVE-2020-11048,9301bfe730c66180263248b74353daa99f5a969b
FreeRDP/FreeRDP,CVE-2020-11058,3627aaf7d289315b614a584afb388f04abfb5bbf
FreeRDP/FreeRDP,CVE-2020-11085,b73143cf7ee5fe4cdabcbf56908aa15d8a883821
FreeRDP/FreeRDP,CVE-2020-11086,c098f21fdaadca57ff649eee1674f6cc321a2ec4
FreeRDP/FreeRDP,CVE-2020-11087,8241ab42fdf0cc89cf69fc574bf6360c9977a0d4
FreeRDP/FreeRDP,CVE-2020-11088,8fa38359634a9910b91719818ab02f23c320dbae
FreeRDP/FreeRDP,CVE-2020-11095,733ee3208306b1ea32697b356c0215180fc3f049
FreeRDP/FreeRDP,CVE-2020-11096,b8beb55913471952f92770c90c372139d78c16c0
FreeRDP/FreeRDP,CVE-2020-11097,58a3122250d54de3a944c487776bcd4d1da4721e
FreeRDP/FreeRDP,CVE-2020-11098,c0fd449ec0870b050d350d6d844b1ea6dad4bc7d
FreeRDP/FreeRDP,CVE-2020-11099,6ade7b4cbfd71c54b3d724e8f2d6ac76a58e879a
FreeRDP/FreeRDP,CVE-2020-11525,58dc36b3c883fd460199cedb6d30e58eba58298c
FreeRDP/FreeRDP,CVE-2020-13396,48361c411e50826cb602c7aab773a8a20e1da6bc
FreeRDP/FreeRDP,CVE-2020-4032,e7bffa64ef5ed70bac94f823e2b95262642f5296
FreeRDP/FreeRDP,CVE-2020-4033,0a98c450c58ec150e44781c89aa6f8e7e0f571f5
FreeRDP/FreeRDP,CVE-2021-37594,0d79670a28c0ab049af08613621aa0c267f977e9
FreeRDP/FreeRDP,CVE-2022-39316,e865c24efc40ebc52e75979c94cdd4ee2c1495b0
FreeRDP/FreeRDP,CVE-2022-39319,11555828d2cf289b350baba5ad1f462f10b80b76
FreeRDP/FreeRDP,CVE-2022-41877,6655841cf2a00b764f855040aecb8803cfc5eaba
FreeRDP/FreeRDP,CVE-2023-39350,e204fc8be5a372626b13f66daf2abafe71dbc2dc
FreeRDP/FreeRDP,CVE-2023-39354,cd1da25a87358eb3b5512fd259310e95b19a05ec
FreeRDP/FreeRDP,CVE-2024-32658,1a755d898ddc028cc818d0dd9d49d5acff4c44bf
FreeRDP/FreeRDP,CVE-2024-32659,6430945ce003a5e24d454d8566f54aae1b6b617b
FreeRDP/FreeRDP,CVE-2024-32662,626d10a94a88565d957ddc30768ed08b320049a7
ImageMagick/ImageMagick,CVE-2020-10251,868aad754ee599eb7153b84d610f2ecdf7b339f6
ImageMagick/ImageMagick,CVE-2020-25665,cfd829bd3581b092e0a267b3deba46fa90b9bc88
ImageMagick/ImageMagick,CVE-2020-25667,986b5dff173413fa712db27eb677cdef15f0bab6
ImageMagick/ImageMagick,CVE-2020-25674,67b871032183a29d3ca0553db6ce1ae80fddb9aa
ImageMagick/ImageMagick,CVE-2022-0284,e50f19fd73c792ebe912df8ab83aa51a243a3da7
LibreDWG/libredwg,CVE-2023-36274,8651fa27dd2de731e706e2ba09f0d28e4e0dce33
LibreDWG/libredwg,OSV-2022-1211,98729e9d56bd5e8e0530de39d955dc838803cbb2
LibreDWG/libredwg,OSV-2023-284,0ce8315eb9c45a6967d9578c7e51ae1d6d639166
LibreDWG/libredwg,OSV-2023-412,9b7e822916a0ccd6fa961e5364f99112bed964c6
apache/httpd,CVE-2021-36160,b364cad72b48dd40fbc2850e525b845406520f0b
apache/httpd,CVE-2022-28330,258698607821acfda8f90d9d17e44d18c30f8d77
apache/httpd,OSV-2021-1577,6b1247e8a6ce5708d57187cb33db5f6da96f86dc
curl/curl,CVE-2023-52071,73980f9ace6c7577e7fcab8008bbde8a0a231692
curl/curl,CVE-2024-6874,686d54baf1df6e0775898f484d1670742898b3b2
curl/curl,CVE-2024-7264,27959ecce75cdb2809c0bdb3286e60e08fadb519
gpac/gpac,CVE-2020-23931,093283e727f396130651280609e687cd4778e0d1
gpac/gpac,CVE-2021-30014,51cdb67ff7c5f1242ac58c5aa603ceaf1793b788
