repo,vul_id,fixed_commit_sha
FFmpeg/FFmpeg,CVE-2024-36615,0ba058579f332b3060d8470a04ddd3fbf305be61
curl/curl,CVE-2021-22897,bbb71507b7bab52002f9b1e0880bed6a32834511
curl/curl,CVE-2023-23915,076a2f629119222aeeb50f5a03bf9f9052fabb9a
curl/curl,CVE-2023-28320,13718030ad4b3209a7583b4f27f683cd3a6fa5f2
torvalds/linux,CVE-2020-0066,db65a3aaf29ecce2e34271d52e8d2336b97bd9fe
torvalds/linux,CVE-2020-0305,68faa679b8be1a74e6663c21c3a9d25d32f1c079
torvalds/linux,CVE-2020-11884,316ec154810960052d4586b634156c54d0778f74
torvalds/linux,CVE-2020-12114,4edbe133f851c9e3a2f2a1db367e826b01e72594
torvalds/linux,CVE-2020-12769,19b61392c5a852b4e8a0bf35aecb969983c5932d
torvalds/linux,CVE-2020-12888,abafbc551fddede3e0a08dee1dcde08fc0eb8476
torvalds/linux,CVE-2020-25285,17743798d81238ab13050e8e2833699b54e15467
torvalds/linux,CVE-2020-27673,4d3fe31bd993ef504350989786858aefdb877daa
torvalds/linux,CVE-2020-27675,073d0552ead5bfc7a3a9c01de590e924f11b5dd2
torvalds/linux,CVE-2020-27825,bbeb97464eefc65f506084fd9f18f21653e01137
torvalds/linux,CVE-2020-29368,c444eb564fb16645c172d550359cb3d75fe8a040
torvalds/linux,CVE-2020-29369,246c320a8cfe0b11d81a4af38fa9985ef0cc9a4c
torvalds/linux,CVE-2020-29370,fd4d9c7d0c71866ec0c2825189ebd2ce35bd95b8
torvalds/linux,CVE-2020-29372,bc0c4d1e176eeb614dc8734fc3ace34292771f11
torvalds/linux,CVE-2020-29374,17839856fd588f4ab6b789f482ed3ffd7c403e1f
torvalds/linux,CVE-2020-35508,b4e00444cab4c3f3fec876dc0cccc8cbb0d1a948
torvalds/linux,CVE-2020-36558,6cd1ed50efd88261298577cd92a14f2768eddeeb
torvalds/linux,CVE-2021-0447,ee40fb2e1eb5bc0ddd3f2f83c6e39a454ef5a741
torvalds/linux,CVE-2021-20261,a0c80efe5956ccce9fe7ae5c78542578c07bc20a
torvalds/linux,CVE-2021-20321,a295aef603e109a47af355477326bd41151765b6
torvalds/linux,CVE-2021-23133,b166a20b07382b8bc1dcee2a448715c9c2c81b5b
torvalds/linux,CVE-2021-26708,c518adafa39f37858697ac9309c6cf1805581446
torvalds/linux,CVE-2021-28964,dbcc7d57bffc0c8cac9dac11bec548597d59a6a5
torvalds/linux,CVE-2021-29265,9380afd6df70e24eacbdbde33afc6a3950965d22
torvalds/linux,CVE-2021-29650,175e476b8cdf2a4de7432583b49c871345e4f8a1
torvalds/linux,CVE-2021-29657,a58d9166a756a0f4a6618e4f593232593d6df134
torvalds/linux,CVE-2021-32399,e2cb6b891ad2b8caa9131e3be70f45243df82a80
torvalds/linux,CVE-2021-32606,2b17c400aeb44daf041627722581ade527bb3c1d
torvalds/linux,CVE-2021-3609,d5f9023fa61ee8b94f37a93f08e94b136cf1e463
torvalds/linux,CVE-2021-3753,2287a51ba822384834dafc1c798453375d1107c7
torvalds/linux,CVE-2021-39686,29bc22ac5e5bc63275e850f0c8fc549e3d0e306b
torvalds/linux,CVE-2021-4001,353050be4c19e102178ccc05988101887c25ae53
torvalds/linux,CVE-2021-4002,a4a118f2eead1d6c49e00765de89878288d4b890
torvalds/linux,CVE-2021-40490,a54c4613dac1500b40e4ab55199f7c51f028e848
torvalds/linux,CVE-2021-46904,8a12f8836145ffe37e9c8733dce18c22fb668b66
torvalds/linux,CVE-2021-46911,1a73e427b824133940c2dd95ebe26b6dce1cbf10
torvalds/linux,CVE-2021-46921,84a24bf8c52e66b7ac89ada5e3cfbe72d65c1896
torvalds/linux,CVE-2021-46941,f88359e1588b85cf0e8209ab7d6620085f3441d9
torvalds/linux,CVE-2021-46977,5104d7ffcf24749939bea7fdb5378d186473f890
torvalds/linux,CVE-2021-46982,a949dc5f2c5cfe0c910b664650f45371254c0744
torvalds/linux,CVE-2021-46990,aec86b052df6541cc97c5fca44e5934cbea4963b
torvalds/linux,CVE-2021-47001,35d8b10a25884050bb3b0149b62c3818ec59f77c
torvalds/linux,CVE-2021-47019,fe3fccde8870764ba3e60610774bd7bc9f8faeff
torvalds/linux,CVE-2021-47023,333980481b99edb24ebd5d1a53af70a15d9146de
torvalds/linux,CVE-2021-47034,b8b2f37cf632434456182e9002d63cbc4cccc50c
torvalds/linux,CVE-2021-47132,b5941f066b4ca331db225a976dae1d6ca8cf0ae3
torvalds/linux,CVE-2021-47139,a289a7e5c1d49b7d47df9913c1cc81fb48fab613
torvalds/linux,CVE-2021-47163,04c26faa51d1e2fe71cf13c45791f5174c37f986
torvalds/linux,CVE-2022-0330,7938d61591d33394a21bdd7797a245b65428f44c
torvalds/linux,CVE-2022-1462,a501ab75e7624d133a5a3c7ec010687c8b961d23
torvalds/linux,CVE-2022-1516,7781607938c8371d4c2b243527430241c62e39c2
torvalds/linux,CVE-2022-1729,3ac6487e584a1eb54071dbe1212e05b884136704
torvalds/linux,CVE-2022-1734,d270453a0d9ec10bb8a802a142fb1b3601a83098
torvalds/linux,CVE-2022-20422,af483947d472eccb79e42059276c4deed76f99a6
torvalds/linux,CVE-2022-21385,ea010070d0a7497253d5a6f919f6dd107450b31a
torvalds/linux,CVE-2022-23036,6b1775f26a2da2b05a6dc8ec2b5d14e9a4701a1a
torvalds/linux,CVE-2022-23037,31185df7e2b1d2fa1de4900247a12d7b9c7087eb
torvalds/linux,CVE-2022-23039,d3b6372c5881cb54925212abb62c521df8ba4809
torvalds/linux,CVE-2022-23040,3777ea7bac3113005b7180e6b9dadf16d19a5827
torvalds/linux,CVE-2022-23041,5cadd4bb1d7fc9ab201ac14620d1a478357e4ebd
torvalds/linux,CVE-2022-2590,5535be3099717646781ce1540cf725965d680e7b
torvalds/linux,CVE-2022-2959,189b0ddc245139af81198d1a3637cac74f96e13a
torvalds/linux,CVE-2022-3028,ba953a9d89a00c078b85f4b190bc1dde66fe16b5
torvalds/linux,CVE-2022-3169,1e866afd4bcdd01a70a5eddb4371158d3035ce03
torvalds/linux,CVE-2022-3303,8423f0b6d513b259fdab9c9bf4aaa6188d054c2d
torvalds/linux,CVE-2022-33744,b75cd218274e01d026dc5240e86fdeb44bbed0c8
torvalds/linux,CVE-2022-3521,ec7eede369fe5b0d085ac51fdbb95184f87bfc6c
torvalds/linux,CVE-2022-3522,f9bf6c03eca1077cae8de0e6d86427656fa42a9b
torvalds/linux,CVE-2022-3566,f49cd2f4d6170d27a2c61f1fecb03d8a70c91f57
torvalds/linux,CVE-2022-3567,364f997b5cfe1db0d63a390fe7c801fa2b3115f6
torvalds/linux,CVE-2022-3623,fac35ba763ed07ba93154c95ffc0c4a55023707f
torvalds/linux,CVE-2022-39188,b67fbebd4cf980aecbcc750e1462128bffe8ae15
torvalds/linux,CVE-2022-39189,6cd88243c7e03845a450795e134b488fc2afb736
torvalds/linux,CVE-2022-4129,b68777d54fac21fc833ec26ea1a2a84f975ab035
torvalds/linux,CVE-2022-41849,5610bcfe8693c02e2e4c8b31427f1bdbdecc839c
