repo,vul_id,fixed_commit_sha
ImageMagick/ImageMagick,CVE-2023-1289,c5b23cbf2119540725e6dc81f4deb25798ead6a4
curl/curl,CVE-2020-8285,69a358f2186e04cf44698b5100332cbf1ee7f01d
gpac/gpac,CVE-2022-3222,4e7736d7ec7bf64026daa611da951993bb42fdaf
gpac/gpac,CVE-2023-0770,c31941822ee275a35bc148382bafef1c53ec1c26
gpac/gpac,CVE-2023-2837,6f28c4cd607d83ce381f9b4a9f8101ca1e79c611
torvalds/linux,CVE-2020-36691,7690aa1cdf7c4565ad6b013b324c28b685505e24
torvalds/linux,CVE-2024-1151,6e2f90d31fe09f2b852de25125ca875aabd81367
torvalds/linux,CVE-2024-26639,f6564fce256a3944aa1bc76cb3c40e792d97c1eb
wireshark/wireshark,CVE-2020-11647,6f56fc9496db158218243ea87e3660c874a0bab0
wireshark/wireshark,CVE-2020-13164,e6e98eab8e5e0bbc982cfdc808f2469d7cab6c5a
