repo,vul_id,fixed_commit_sha
FreeRDP/FreeRDP,CVE-2024-32660,5e5d27cf310e4c10b854be7667bfb7a5d774eb47
curl/curl,CVE-2022-32205,48d7064a49148f03942380967da739dcde1cdc24
curl/curl,CVE-2023-38039,3ee79c1674fd6f99e8efca52cd7510e08b766770
radareorg/radare2,CVE-2022-0476,27fe8031782d3a06c3998eaa94354867864f9f1b
radareorg/radare2,OSV-2020-133,941245d871e27ffc879a9ca6f25e3b39efec376a
torvalds/linux,CVE-2020-29568,fed1755b118147721f2c87b37b9d66e62c39b668
torvalds/linux,CVE-2020-36311,7be74942f184fdfba34ddd19a0d995deb34d4a03
torvalds/linux,CVE-2020-8992,af133ade9a40794a37104ecbcc2827c0ea373a3c
torvalds/linux,CVE-2021-28711,0fd08a34e8e3b67ec9bd8287ac0facf8374b844a
torvalds/linux,CVE-2021-28713,fe415186b43df0db1f17fa3a46275fd92107fe71
torvalds/linux,CVE-2021-28714,6032046ec4b70176d247a71836186d47b25d1684
torvalds/linux,CVE-2021-28715,be81992f9086b230623ae3ebbc85ecee4d00a3d3
torvalds/linux,CVE-2021-33061,008ca35f6e87be1d60b6af3d1ae247c6d5c2531d
torvalds/linux,CVE-2021-33135,08999b2489b4c9b939d7483dbd03702ee4576d96
torvalds/linux,CVE-2021-3669,20401d1058f3f841f35a594ac2fc1293710e55b9
torvalds/linux,CVE-2021-3759,18319498fdd4cdf8c1c2c48cd432863b1f915d6f
torvalds/linux,CVE-2021-47109,7a6b1ab7475fd6478eeaf5c9d1163e7a18125c8f
torvalds/linux,CVE-2021-47170,4f2629ea67e7225c3fd292c7fe4f5b3c9d6392de
torvalds/linux,CVE-2022-0480,0f12156dff2862ac54235fc72703f18770769042
torvalds/linux,CVE-2022-3594,93e2be344a7db169b7119de21ac1bf253b8c6907
torvalds/linux,CVE-2023-0047,60e2793d440a3ec95abb5d6d4fc034a4b480472d
torvalds/linux,CVE-2023-1206,d11b0df7ddf1831f3e170972f43186dad520bfcc
torvalds/linux,CVE-2023-32247,ea174a91893956450510945a0c5d1a10b5323656
torvalds/linux,CVE-2023-4610,71c3ad65fabec9620d3f548b2da948c79c7ad9d5
torvalds/linux,CVE-2023-52340,af6d10345ca76670c1b7c37799f0d5576ccef277
torvalds/linux,CVE-2023-52429,bd504bcfec41a503b32054da5472904b404341a4
torvalds/linux,CVE-2023-52484,d5afb4b47e13161b3f33904d45110f9e6463bad6
torvalds/linux,CVE-2023-52622,5d1935ac02ca5aee364a449a35e2977ea84509b0
torvalds/linux,CVE-2024-26602,944d5fe50f3f03daacfea16300e656a1691c4a23
torvalds/linux,CVE-2024-26621,4ef9ad19e17676b9ef071309bc62020e2373705d
torvalds/linux,CVE-2024-26627,4373534a9850627a2695317944898eb1283a2db0
torvalds/linux,CVE-2024-26675,cb88cb53badb8aeb3955ad6ce80b07b598e310b8
torvalds/linux,CVE-2024-26684,46eba193d04f8bd717e525eb4110f3c46c12aec3
wireshark/wireshark,CVE-2020-26418,f4374967bbf9c12746b8ec3cd54dddada9dd353e
wireshark/wireshark,CVE-2021-22174,785e291c1be04beebae3f3603752f5737dc1694d
wireshark/wireshark,CVE-2021-22207,b7a0650e061b5418ab4a8f72c6e4b00317aff623
