repo,vul_id,fixed_commit_sha
gpac/gpac,CVE-2021-32132,e74be5976a6fee059c638050a237893f7e9a3b23
torvalds/linux,CVE-2020-12770,83c6f2390040f188cc25b270b4befeb5628c1aee
torvalds/linux,CVE-2020-25670,c33b1cc62ac05c1dbb1cdafe2eb66da01c76ca8d
torvalds/linux,CVE-2020-36778,a85c5c7a3aa8041777ff691400b4046e56149fd3
torvalds/linux,CVE-2020-36779,2c662660ce2bd3b09dae21a9a9ac9395e1e6c00b
torvalds/linux,CVE-2020-36780,3a4f326463117cee3adcb72999ca34a9aaafda93
torvalds/linux,CVE-2020-36781,47ff617217ca6a13194fcb35c6c3a0c57c080693
torvalds/linux,CVE-2020-36782,278e5bbdb9a94fa063c0f9bcde2479d0b8042462
torvalds/linux,CVE-2020-36783,223125e37af8a641ea4a09747a6a52172fc4b903
torvalds/linux,CVE-2020-36784,23ceb8462dc6f4b4decdb5536a7e5fc477cdf0b6
torvalds/linux,CVE-2021-26932,a35f2ef3b7376bfd0a57f7844bd7454389aae1fc
torvalds/linux,CVE-2021-28038,8310b77b48c5558c140e7a57a702e7819e62f04e
torvalds/linux,CVE-2021-28688,a846738f8c3788d846ed1f587270d2f2e3d32432
torvalds/linux,CVE-2021-39713,e368fdb61d8e7c67ac70791b23345b26d7bbc661
torvalds/linux,CVE-2021-45095,bcd0f93353326954817a4f9fa55ec57fb38acbb0
torvalds/linux,CVE-2021-46918,6df0e6c57dfc064af330071f372f11aa8c584997
torvalds/linux,CVE-2021-46922,9d5171eab462a63e2fbebfccf6026e92be018f20
torvalds/linux,CVE-2021-46935,cfd0d84ba28c18b531648c9d4a35ecca89ad9901
torvalds/linux,CVE-2021-46988,7ed9d238c7dbb1fdb63ad96a6184985151b0171c
torvalds/linux,CVE-2021-47000,1775c7ddacfcea29051c67409087578f8f4d751b
torvalds/linux,CVE-2021-47027,e230f0c44f011f3270680a506b19b7e84c5e8923
torvalds/linux,CVE-2021-47032,7dcf3c04f0aca746517a77433b33d40868ca4749
torvalds/linux,CVE-2021-47033,ebee7885bb12a8fe2c2f9bac87dbd87a05b645f9
torvalds/linux,CVE-2021-47043,5a465c5391a856a0c1e9554964d660676c35d1b2
torvalds/linux,CVE-2021-47051,a03675497970a93fcf25d81d9d92a59c2d7377a7
torvalds/linux,CVE-2021-47054,ac6ad7c2a862d682bb584a4bc904d89fa7721af8
torvalds/linux,CVE-2021-47125,944d671d5faa0d78980a3da5c0f04960ef1ad893
torvalds/linux,CVE-2021-47144,fa7e6abc75f3d491bc561734312d065dc9dc2a77
torvalds/linux,CVE-2021-47147,9c1bb37f8cad5e2ee1933fa1da9a6baa7876a8e4
torvalds/linux,CVE-2021-47151,a00593737f8bac2c9e97b696e7ff84a4446653e8
torvalds/linux,CVE-2021-47161,680ec0549a055eb464dce6ffb4bfb736ef87236e
torvalds/linux,CVE-2021-47177,0ee74d5a48635c848c20f152d0d488bf84641304
torvalds/linux,CVE-2022-1678,864e5c090749448e879e86bec06ee396aa2c19c5
torvalds/linux,CVE-2022-27950,817b8b9c5396d2b2d92311b46719aad5d3339dbe
torvalds/linux,CVE-2022-28356,764f4eb6846f5475f1244767d24d25dd86528a4a
torvalds/linux,CVE-2022-3111,6dee930f6f6776d1e5a7edf542c6863b47d9f078
torvalds/linux,CVE-2022-3535,0152dfee235e87660f52a117fc9f70dc55956bb4
torvalds/linux,CVE-2022-3624,4f5d33f4f798b1c6d92b613f0087f639d9836971
torvalds/linux,CVE-2023-2019,180a6a3ee60a7cb69ed1232388460644f6a21f00
torvalds/linux,CVE-2023-22995,fa0ef93868a6062babe1144df2807a8b1d4924d2
torvalds/linux,CVE-2023-22996,4b41a9d0fe3db5f91078a380f62f0572c3ecf2dd
torvalds/linux,CVE-2023-40791,f443fd5af5dbd531f880d3645d5dd36976cf087f
torvalds/linux,CVE-2023-4563,24138933b97b055d486e8064b4a1721702442a9b
torvalds/linux,CVE-2023-52500,c13e7331745852d0dd7c35eabbe181cbd5b01172
torvalds/linux,CVE-2023-52520,528ab3e605cabf2f9c9bd5944d3bfe15f6e94f81
torvalds/linux,CVE-2023-52529,e1cd4004cde7c9b694bbdd8def0e02288ee58c74
torvalds/linux,CVE-2023-52532,b2b000069a4c307b09548dc2243f31f3ca0eac9c
torvalds/linux,CVE-2023-52571,488ef44c068e79752dba8eda0b75f524f111a695
torvalds/linux,CVE-2024-26709,0846dd77c8349ec92ca0079c9c71d130f34cb192
torvalds/linux,CVE-2024-26734,def689fc26b9a9622d2e2cb0c4933dd3b1c8071c
torvalds/linux,CVE-2024-26743,5ba4e6d5863c53e937f49932dee0ecb004c65928
torvalds/linux,CVE-2024-26787,6b1ba3f9040be5efc4396d86c9752cdc564730be
