repo,vul_id,fixed_commit_sha
LibreDWG/libredwg,OSV-2021-577,035876226d3eadd4e5e47b06fe34e3aa858b6406
LibreDWG/libredwg,OSV-2021-814,0a390fa7291ee439d2bb2bed998e76302e539b77
LibreDWG/libredwg,OSV-2022-1180,756d716867a4e862faa07ae395254b048b1322dc
LibreDWG/libredwg,OSV-2023-1110,c8dd9c66bca793aaf3029d1eda50b06828ae14f2
LibreDWG/libredwg,OSV-2023-316,52cc8332b2a7ada86cf07e2bfe906bb4e33ca29d
torvalds/linux,CVE-2020-12351,f19425641cb2572a33cb074d5e30283720bd4d22
torvalds/linux,CVE-2021-34866,5b029a32cfe4600f5e10e36b41778506b90fd4de
torvalds/linux,CVE-2021-46931,918fc3855a6507a200e9cf22c20be852c0982687
torvalds/linux,CVE-2021-47102,2efc2256febf214e7b2bdaa21fe6c3c3146acdcb
torvalds/linux,CVE-2022-34918,7e6bc1f6cabcd30aba0b11219d8e01b952eacbb6
torvalds/linux,CVE-2022-3903,41fd1cb6151439b205ac7611883d85ae14250172
torvalds/linux,CVE-2023-1073,b12fece4c64857e5fab4290bf01b2e0317a88456
torvalds/linux,CVE-2023-1075,ffe2a22562444720b05bdfeb999c03e810d84cbb
torvalds/linux,CVE-2023-1076,a096ccca6e503a5c575717ff8a36ace27510ab0a
torvalds/linux,CVE-2023-1077,7c4a5b89a0b5a57a64b601775b296abf77a9fe97
torvalds/linux,CVE-2023-1078,f753a68980cf4b59a80fe677619da2b1804f526d
torvalds/linux,CVE-2023-23454,caa4b35b4317d5147b3ab0fbdc9c075c7d2e9c12
torvalds/linux,CVE-2023-23455,a2965c7be0522eaa18808684b7b82b248515511b
torvalds/linux,CVE-2023-3022,a65120bae4b7425a39c5783aa3d4fc29677eef0e
torvalds/linux,CVE-2023-52574,492032760127251e5540a5716a70996bacf2a3fd
torvalds/linux,CVE-2024-26663,3871aa01e1a779d866fa9dfdd5a836f342f4eb87
torvalds/linux,CVE-2024-26764,b820de741ae48ccf50dd95e297889c286ff4f760
torvalds/linux,CVE-2024-26807,32ce3bb57b6b402de2aec1012511e7ac4e7449dc
