repo,vul_id,fixed_commit_sha
ImageMagick/ImageMagick,CVE-2020-19667,5462fd4725018567764c8f66bed98b7ee3e23006
LibreDWG/libredwg,OSV-2021-620,bb967665384d2f2539f81d773d0c8099e6e30aa3
apache/httpd,CVE-2020-1934,6128d712edb383b85d3c9b9c196c38395532552e
apache/httpd,CVE-2022-22719,3e561918fbd2a3e0b1dbc10e392d7c114d3fd64f
curl/curl,CVE-2021-22898,39ce47f219b09c380b81f89fe54ac586c8db6bde
curl/curl,CVE-2021-22925,894f6ec730597eb243618d33cc84d71add8d6a8a
curl/curl,OSV-2020-389,4d0306c6982ad80be532438265c52c39a55889a0
curl/curl,OSV-2020-600,84ced9389e1a7f576812e0675b37056331c4dbcd
curl/curl,OSV-2022-139,2a1951519e78c1aa404ec0201b9eaeae469d757b
gpac/gpac,CVE-2021-40567,f5a038e6893019ee471b6a57490cf7a495673816
gpac/gpac,OSV-2024-142,57f3ff863669c8eb8edfabd68021d560900d6c68
radareorg/radare2,CVE-2022-1809,919e3ac1a13f753c73e7a8e8d8bb4a143218732d
radareorg/radare2,OSV-2023-605,aa72538816ef107736b5f2150a9fbba05542b2fa
torvalds/linux,CVE-2020-12352,eddb7732119d53400f48a02536a84c509692faa8
torvalds/linux,CVE-2021-21781,9c698bff66ab4914bb3d71da7dc6112519bde23e
torvalds/linux,CVE-2021-29648,350a5c4dd2452ea999cc5e1d4a8dbf12de2f97ef
torvalds/linux,CVE-2021-3655,0c5dc070ff3d6246d22ddd931f23a6266249e3db
torvalds/linux,CVE-2021-46928,484730e5862f6b872dca13840bed40fd7c60fa26
torvalds/linux,CVE-2021-46930,8c313e3bfd9adae8d5c4ba1cc696dcbc86fbf9bf
torvalds/linux,CVE-2021-46932,9f3ccdc3f6ef10084ceb3a47df0961bec6196fd0
torvalds/linux,CVE-2021-47056,8609f5cfdc872fc3a462efa6a3eca5cb1e2f6446
torvalds/linux,CVE-2021-47064,b4403cee6400c5f679e9c4a82b91d61aa961eccf
torvalds/linux,CVE-2021-47096,39a8fc4971a00d22536aeb7d446ee4a97810611b
torvalds/linux,CVE-2021-47101,8035b1a2a37a29d8c717ef84fca8fe7278bc9f03
torvalds/linux,CVE-2021-47136,9453d45ecb6c2199d72e73c993e9d98677a2801b
torvalds/linux,CVE-2022-0382,d6d86830705f173fca6087a3e67ceaf68db80523
torvalds/linux,CVE-2022-0494,cc8f7fe1f5eab010191aa4570f27641876fa1267
torvalds/linux,CVE-2022-0847,9d2231c5d74e13b2a0546fee6737ee4446017903
torvalds/linux,CVE-2022-0850,ce3aba43599f0b50adbebff133df8d08a3d5fffe
torvalds/linux,CVE-2022-1016,4c905f6740a365464e91467aa50916555b28213d
torvalds/linux,CVE-2022-1973,f26967b9f7a830e228bb13fb41bd516ddd9d789d
torvalds/linux,CVE-2022-20008,54309fde1a352ad2674ebba004a79f7d20b9f037
torvalds/linux,CVE-2022-2308,46f8a29272e51b6df7393d58fc5cb8967397ef2b
torvalds/linux,CVE-2022-29968,32452a3eb8b64e01e2be717f518c0be046975b9d
torvalds/linux,CVE-2022-36123,38fa5479b41376dc9d7f57e71c83514285a25ca0
torvalds/linux,CVE-2022-42432,559c36c5a8d730c49ef805a72b213d3bba155cc8
torvalds/linux,CVE-2022-42895,b1a2cd50c0357f243b7435a732b4e62ba3157a2e
torvalds/linux,CVE-2023-3090,90cbed5247439a966b645b34eb0a2e037836ea8e
torvalds/linux,CVE-2023-4132,6f489a966fbeb0da63d45c2c66a8957eab604bf6
torvalds/linux,CVE-2023-52528,e9c65989920f7c28775ec4e0c11b483910fb67b8
torvalds/linux,CVE-2023-52577,6af289746a636f71f4c0535a9801774118486c7a
torvalds/linux,CVE-2023-52616,ba3c5574203034781ac4231acf117da917efcd2a
torvalds/linux,CVE-2024-26633,d375b98e0248980681e5e56b712026174d617198
torvalds/linux,CVE-2024-26635,e3f9bed9bee261e3347131764e42aeedf1ffea61
torvalds/linux,CVE-2024-26638,78fbb92af27d0982634116c7a31065f24d092826
torvalds/linux,CVE-2024-26641,8d975c15c0cd744000ca386247432d57b21f9df0
torvalds/linux,CVE-2024-26711,a22b0a2be69a36511cb5b37d948b651ddf7debf3
torvalds/linux,CVE-2024-26788,87a39071e0b639f45e05d296cc0538eef44ec0bd
torvalds/linux,CVE-2024-26799,1382d8b55129875b2e07c4d2a7ebc790183769ee
uclouvain/openjpeg,CVE-2022-1122,0afbdcf3e6d0d2bd2e16a0c4d513ee3cf86e460d
