repo,vul_id,fixed_commit_sha
FFmpeg/FFmpeg,CVE-2020-13904,c229e5e80f1b67b2120f317e815fec29ca1390a5
FFmpeg/FFmpeg,CVE-2022-48434,031c9601d06759a748adc077f73e3005b5571be1
FFmpeg/FFmpeg,CVE-2024-31578,3bb00c0a420c3ce83c6fafee30270d69622ccad7
FreeRDP/FreeRDP,CVE-2023-39355,d6f9d33a7db0b346195b6a15b5b99944ba41beee
ImageMagick/ImageMagick,CVE-2020-25663,a47e7a994766b92b10d4a87df8c1c890c8b170f3
ImageMagick/ImageMagick,CVE-2021-3962,82775af03bbb10a0a1d0e15c0156c75673b4525e
ImageMagick/ImageMagick,CVE-2022-1114,8043433ba9ce0c550e09f2b3b6a3f5f62d802e6d
ImageMagick/ImageMagick,CVE-2023-34474,1061db7f80fdc9ef572ac60b55f408f7bab6e1b0
ImageMagick/ImageMagick,CVE-2023-34475,1061db7f80fdc9ef572ac60b55f408f7bab6e1b0
ImageMagick/ImageMagick,CVE-2023-5341,aa673b2e4defc7cad5bec16c4fc8324f71e531f1
LibreDWG/libredwg,OSV-2021-771,8bd75b4e2dfcb229e5121c3e45e5d284bf0d0477
LibreDWG/libredwg,OSV-2022-363,9e629ba3649464a928b0af75ddd246b3defee128
LibreDWG/libredwg,OSV-2022-403,7209631ce9b38244dd5ac69da8e21cb9478c24e8
LibreDWG/libredwg,OSV-2023-1186,6f43e71f4cbddf96d47648f36161a9815389b50a
LibreDWG/libredwg,OSV-2024-384,56d392a7e5ae5f522004ff92396dabd468f8d810
curl/curl,CVE-2020-8231,3c9e021f86872baae412a427e807fbfa2f3e8a22
curl/curl,CVE-2021-22901,7f4a9a9b2a49547eae24d2e19bc5c346e9026479
curl/curl,CVE-2022-43552,4f20188ac644afe174be6005ef4f6ffba232b8b2
curl/curl,CVE-2023-28319,8e21b1a05f3c0ee098dbcb6c3d84cb61f102a122
gpac/gpac,CVE-2020-11558,6063b1a011c3f80cee25daade18154e15e4c058c
gpac/gpac,CVE-2020-35980,5aba27604d957e960d8069d85ccaf868f8a7b07a
gpac/gpac,CVE-2021-40566,96047e0e6166407c40cc19f4e94fb35cd7624391
gpac/gpac,CVE-2022-1795,c535bad50d5812d27ee5b22b54371bddec411514
gpac/gpac,CVE-2022-2453,dc7de8d3d604426c7a6e628d90cb9fb88e7b4c2c
gpac/gpac,CVE-2023-0358,9971fb125cf91cefd081a080c417b90bbe4a467b
gpac/gpac,CVE-2023-4679,b68b3f0bf5c366e003221d78fd663a1d5514a876
gpac/gpac,CVE-2023-4755,895ac12da168435eb8db3f96978ffa4c69d66c3a
gpac/gpac,CVE-2023-48011,c70f49dda4946d6db6aa55588f6a756b76bd84ea
libarchive/libarchive,OSV-2022-13,52efa50c69653029687bfc545703b7340b7a51e2
libarchive/libarchive,OSV-2022-299,db714553712debbc447383f735e022031dc13127
radareorg/radare2,CVE-2021-32495,5e16e2d1c9fe245e4c17005d779fde91ec0b9c05
radareorg/radare2,CVE-2022-0139,37897226a1a31f982bfefdc4aeefc2e50355c73c
radareorg/radare2,CVE-2022-0520,8525ad0b9fd596f4b251bb3d7b114e6dc7ce1ee8
radareorg/radare2,CVE-2022-0559,b5cb90b28ec71fda3504da04e3cc94a362807f5e
radareorg/radare2,CVE-2022-0849,10517e3ff0e609697eb8cde60ec8dc999ee5ea24
radareorg/radare2,CVE-2022-1031,a7ce29647fcb38386d7439696375e16e093d6acb
radareorg/radare2,CVE-2022-1284,64a82e284dddabaeb549228380103b57dead32a6
radareorg/radare2,CVE-2022-1444,14189710859c27981adb4c2c2aed2863c1859ec5
radareorg/radare2,CVE-2022-28071,65448811e5b9582a19cf631e03cfcaa025a92ef5
radareorg/radare2,CVE-2022-28073,59a9dfb60acf8b5c0312061cffd9693fc9526053
radareorg/radare2,OSV-2020-560,d7fd30df8ef0f1a9081863b91a0197f26408dc6b
radareorg/radare2,OSV-2021-1786,500686304a355ef007875d841c848275487f7626
radareorg/radare2,OSV-2022-383,3a9ba748f2bee9d3950346dac0753145809e4abc
radareorg/radare2,OSV-2023-399,60dd0cd9fdbc43602ca872245f27358d01fec243
torvalds/linux,CVE-2020-0030,5eeb2ca02a2f6084fc57ae5c244a38baab07033a
torvalds/linux,CVE-2020-0423,f3277cbfba763cd2826396521b9296de67cf1bbc
torvalds/linux,CVE-2020-0427,be4c60b563edee3712d392aaeb0943a768df7023
torvalds/linux,CVE-2020-0429,b228a94066406b6c456321d69643b0d7ce11cfa6
torvalds/linux,CVE-2020-0433,f5bbbbe4d63577026f908a809f22f5fd5a90ea1f
torvalds/linux,CVE-2020-0466,52c479697c9b73f628140dcdfcd39ea302d05482
torvalds/linux,CVE-2020-10690,a33121e5487b424339636b25c35d3a180eaa5f5e
torvalds/linux,CVE-2020-10720,a4270d6795b0580287453ea55974d948393e66ef
torvalds/linux,CVE-2020-12464,056ad39ee9253873522f6469c3364964a322912b
torvalds/linux,CVE-2020-12657,2f95fa5c955d0a9987ffdc3a095e2f4e62c5f2a9
torvalds/linux,CVE-2020-14351,f91072ed1b7283b13ca57fcfbece5a3b92726143
torvalds/linux,CVE-2020-14381,8019ad13ef7f64be44d4f892af9c840179009254
torvalds/linux,CVE-2020-14416,0ace17d56824165c7f4c68785d6b58971db954dd
torvalds/linux,CVE-2020-15436,2d3a8e2deddea6c89961c422ec0c5b851e648c14
torvalds/linux,CVE-2020-16119,d9ea761fdd197351890418acd462c51f241014a7
torvalds/linux,CVE-2020-25656,82e61c3909db51d91b9d3e2071557b6435018b80
torvalds/linux,CVE-2020-25668,90bfdeef83f1d6c696039b6a917190dcbbad3220
torvalds/linux,CVE-2020-25669,77e70d351db7de07a46ac49b87a6c3c7a60fca7e
torvalds/linux,CVE-2020-27067,9f775ead5e570e7e19015b9e4e2f3dd6e71a5935
torvalds/linux,CVE-2020-27784,e8d5f92b8d30bb4ade76494490c3c065e12411b1
torvalds/linux,CVE-2020-27786,c1f6e3c818dd734c30f6a7eeebf232ba2cf3181d
torvalds/linux,CVE-2020-27820,aff2299e0d81b26304ccc6a1ec0170e437f38efc
torvalds/linux,CVE-2020-29569,1c728719a4da6e654afb9cc047164755072ed7c9
torvalds/linux,CVE-2020-29660,c8bcd9c5be24fb9e6132e97da5a35e55a83e36b9
torvalds/linux,CVE-2020-29661,54ffccbf053b5b6ca4f6e45094b942fab92a25fc
torvalds/linux,CVE-2020-36313,0774a964ef561b7170d8d1b1bfe6f88002b6d219
torvalds/linux,CVE-2020-36385,f5449e74802c1112dea984aec8af7a33c4516af1
torvalds/linux,CVE-2020-36387,6d816e088c359866f9867057e04f244c608c42fe
torvalds/linux,CVE-2020-36557,ca4463bf8438b403596edd0ec961ca0d4fbe0220
torvalds/linux,CVE-2020-7053,7dc40713618c884bf07c030d1ab1f47a9dc1f310
torvalds/linux,CVE-2020-8428,d0cb50185ae942b03c4327be322055d622dc79f6
torvalds/linux,CVE-2020-8648,07e6124a1a46b4b5a9b3cacc0c306b50da87abf5
torvalds/linux,CVE-2021-0342,96aa1b22bd6bb9fccf62f6261f390ed6f3e7967f
torvalds/linux,CVE-2021-0707,05cd84691eafcd7959a1e120d5e72c0dd98c5d91
torvalds/linux,CVE-2021-0920,cbcf01128d0a92e131bd09f1688fe032480b65ca
torvalds/linux,CVE-2021-0935,2f987a76a97773beafbc615b9c4d8fe79129a7f4
torvalds/linux,CVE-2021-0941,6306c1189e77a513bf02720450bb43bd4ba5d8ae
torvalds/linux,CVE-2021-1048,77f4689de17c0887775bb77896f4cc11a39bf848
torvalds/linux,CVE-2021-20292,5de5b6ecf97a021f29403aa272cb4e03318ef586
torvalds/linux,CVE-2021-22543,f8be156be163a052a067306417cd0ff679068c97
torvalds/linux,CVE-2021-23134,c61760e6940dd4039a7f5e84a6afc9cdbf4d82b6
torvalds/linux,CVE-2021-28691,107866a8eb0b664675a260f1ba0655010fac1e08
torvalds/linux,CVE-2021-29266,f6bbf0010ba004f5e90c7aefdebc0ee4bd3283b9
torvalds/linux,CVE-2021-33033,ad5d07f4a9cd671233ae20983848874731102c08
torvalds/linux,CVE-2021-33034,5c4c8c9544099bb9043a10a5318130a943e32fc3
torvalds/linux,CVE-2021-3347,12bb3f7f1b03d5913b3f9d4236a488aa7774dfe9
torvalds/linux,CVE-2021-3348,b98e762e3d71e893b221f871825dc64694cfb258
torvalds/linux,CVE-2021-3483,829933ef05a951c8ff140e814656d73e74915faf
torvalds/linux,CVE-2021-3543,f1ce3986baa62cffc3c5be156994de87524bab99
torvalds/linux,CVE-2021-3573,e305509e678b3a4af2b3cfd410f409f7cdaabb52
torvalds/linux,CVE-2021-3640,99c23da0eed4fd20cae8243f2b51e10e66aa0951
torvalds/linux,CVE-2021-3715,ef299cc3fa1a9e1288665a9fdc8bff55629fd359
torvalds/linux,CVE-2021-3752,1bff51ea59a9afb67d2dd78518ab0582a54a472c
torvalds/linux,CVE-2021-3760,1b1499a817c90fd1ce9453a2c98d2a01cca0e775
torvalds/linux,CVE-2021-38204,b5fdf5c6e6bee35837e160c00ac89327bdad031b
torvalds/linux,CVE-2021-39634,f8d4f44df056c5b504b0d49683fb7279218fd207
torvalds/linux,CVE-2021-39648,64e6bbfff52db4bf6785fab9cffab850b2de6870
torvalds/linux,CVE-2021-39656,14fbbc8297728e880070f7b077b3301a8c698ef9
torvalds/linux,CVE-2021-4028,bc0bdc5afaa740d782fbf936aaeebd65e5c2921d
torvalds/linux,CVE-2021-4083,054aa8d439b9185d4f5eb9a90282d1ce74772969
torvalds/linux,CVE-2021-4150,9fbfabfda25d8774c5a08634fdd2da000a924890
torvalds/linux,CVE-2021-4154,3b0462726e7ef281c35a7a4ae33e93ee2bc9975b
torvalds/linux,CVE-2021-4202,86cdf8e38792545161dbe3350a7eced558ba4d15
torvalds/linux,CVE-2021-4203,35306eb23814444bd4021f8a1c3047d3cb0c8b2b
torvalds/linux,CVE-2021-43057,a3727a8bac0a9e77c70820655fd8715523ba3db7
torvalds/linux,CVE-2021-44733,dfd0743f1d9ea76931510ed150334d571fbab49d
torvalds/linux,CVE-2021-45868,9bf3d20331295b1ecb81f4ed9ef358c51699a050
torvalds/linux,CVE-2021-46929,5ec7d18d1813a5bead0b495045606c93873aecbb
torvalds/linux,CVE-2021-46933,b1e0887379422975f237d43d8839b751a6bcf154
torvalds/linux,CVE-2021-46936,e22e45fc9e41bf9fcc1e92cfb78eb92786728ef0
torvalds/linux,CVE-2021-46958,061dde8245356d8864d29e25207aa4daa0be4d3c
torvalds/linux,CVE-2021-46959,794aaf01444d4e765e2b067cba01cc69c1c68ed9
torvalds/linux,CVE-2021-46966,e483bb9a991bdae29a0caa4b3a6d002c968f94aa
torvalds/linux,CVE-2021-46969,0ecc1c70dcd32c0f081b173a1a5d89952686f271
torvalds/linux,CVE-2021-46973,47a017f33943278570c072bc71681809b2567b3a
torvalds/linux,CVE-2021-46986,bb9c74a5bd1462499fe5ccb1e3c5ac40dcfa9139
torvalds/linux,CVE-2021-46991,38318f23a7ef86a8b1862e5e8078c4de121960c3
torvalds/linux,CVE-2021-46998,643001b47adc844ae33510c4bb93c236667008a3
torvalds/linux,CVE-2021-46999,35b4f24415c854cd718ccdf38dbea6297f010aae
torvalds/linux,CVE-2021-47011,9f38f03ae8d5f57371b71aa6b4275765b65454fd
torvalds/linux,CVE-2021-47012,3093ee182f01689b89e9f8797b321603e5de4f63
torvalds/linux,CVE-2021-47013,6d72e7c767acbbdd44ebc7d89c6690b405b32b57
torvalds/linux,CVE-2021-47017,8392df5d7e0b6a7d21440da1fc259f9938f4dec3
torvalds/linux,CVE-2021-47026,7f4a8592ff29f19c5a2ca549d0973821319afaad
torvalds/linux,CVE-2021-47048,a2c5bedb2d55dd27c642c7b9fb6886d7ad7bdb58
torvalds/linux,CVE-2021-47049,3e9bf43f7f7a46f21ec071cb47be92d0874c48da
torvalds/linux,CVE-2021-47058,e41a962f82e7afb5b1ee644f48ad0b3aee656268
torvalds/linux,CVE-2021-47060,5d3c4c79384af06e3c8e25b7770b6247496b4417
torvalds/linux,CVE-2021-47061,2ee3757424be7c1cd1d0bbfa6db29a7edd82a250
torvalds/linux,CVE-2021-47063,4d906839d321c2efbf3fed4bc31ffd9ff55b75c0
torvalds/linux,CVE-2021-47069,a11ddb37bf367e6b5239b95ca759e5389bb46048
torvalds/linux,CVE-2021-47078,67f29896fdc83298eed5a6576ff8f9873f709228
torvalds/linux,CVE-2021-47081,115726c5d312b462c9d9931ea42becdfa838a076
torvalds/linux,CVE-2021-47088,34796417964b8d0aef45a99cf6c2d20cebe33733
torvalds/linux,CVE-2021-47100,ffb76a86f8096a8206be03b14adda6092e18e275
torvalds/linux,CVE-2021-47106,0f7d9b31ce7abdbb29bf018131ac920c9f698518
torvalds/linux,CVE-2021-47112,8b79feffeca28c5459458fe78676b081e87c93a4
torvalds/linux,CVE-2021-47118,0711f0d7050b9e07c44bc159bbc64ac0a1022c7f
torvalds/linux,CVE-2021-47131,c55dcdd435aa6c6ad6ccac0a4c636d010ee367a4
torvalds/linux,CVE-2021-47142,1e5c37385097c35911b0f8a0c67ffd10ee1af9a2
torvalds/linux,CVE-2021-47143,444d7be9532dcfda8e0385226c862fd7e986f607
torvalds/linux,CVE-2021-47162,b7df21cf1b79ab7026f545e7bf837bd5750ac026
torvalds/linux,CVE-2022-0487,bd2db32e7c3e35bd4d9b8bbff689434a50893546
torvalds/linux,CVE-2022-0646,6c342ce2239c182c2428ce5a44cb32330434ae6e
torvalds/linux,CVE-2022-1011,0c4bcfdecb1ac0967619ee7ff44871d93c08c909
torvalds/linux,CVE-2022-1043,a30f895ad3239f45012e860d4f94c1a388b36d14
torvalds/linux,CVE-2022-1048,92ee3c60ec9fe64404dc035e7c41277d74aa26cb
torvalds/linux,CVE-2022-1055,04c2a47ffb13c29778e2a14e414ad4cb5a5db4b5
torvalds/linux,CVE-2022-1184,46c116b920ebec58031f0a78c5ea9599b0d2a371
torvalds/linux,CVE-2022-1198,efe4186e6a1b54bf38b9e05450d43b0da1fd7739
torvalds/linux,CVE-2022-1419,4b848f20eda5974020f043ca14bacf7a7e634fc8
torvalds/linux,CVE-2022-1652,f71f01394f742fc4558b3f9f4c7ef4c4cf3b07c8
torvalds/linux,CVE-2022-1679,0ac4827f78c7ffe8eef074bc010e7e34bc22f533
torvalds/linux,CVE-2022-1836,233087ca063686964a53c829d547c7571e3f67bf
torvalds/linux,CVE-2022-1882,353f7988dd8413c47718f7ca79c030b6fb62cfe5
torvalds/linux,CVE-2022-1966,520778042ccca019f3ffa136dd0ca565c486cedd
torvalds/linux,CVE-2022-1976,9cae36a094e7e9d6e5fe8b6dcd4642138b3eb0c7
torvalds/linux,CVE-2022-1998,ee12595147ac1fbfb5bcb23837e26dd58d94b15d
torvalds/linux,CVE-2022-20141,23d2b94043ca8835bd1e67749020e839f396a1c2
torvalds/linux,CVE-2022-20148,5429c9dbc9025f9a166f64e22e3a69c94fd5b29b
torvalds/linux,CVE-2022-20153,f70865db5ff35f5ed0c7e9ef63e7cca3d4947f04
torvalds/linux,CVE-2022-20154,5ec7d18d1813a5bead0b495045606c93873aecbb
torvalds/linux,CVE-2022-20421,a0e44c64b6061dda7e00b7c458e4523e2331b739
torvalds/linux,CVE-2022-20567,d02ba2a6110c530a32926af8ad441111774d2893
torvalds/linux,CVE-2022-22942,a0f90c8815706981c483a652a6aefca51a5e191c
torvalds/linux,CVE-2022-24122,f9d87929d451d3e649699d0f1d74f71f77ad38f5
torvalds/linux,CVE-2022-2585,e362359ace6f87c201531872486ff295df306d13
torvalds/linux,CVE-2022-2586,470ee20e069a6d05ae549f7d0ef2bdbcee6a81b2
torvalds/linux,CVE-2022-2588,9ad36309e2719a884f946678e0296be10f0bb4c1
torvalds/linux,CVE-2022-2602,0091bfc81741b8d3aeb3b7ab8636f911b2de6e80
torvalds/linux,CVE-2022-28796,cc16eecae687912238ee6efbff71ad31e2bc414e
torvalds/linux,CVE-2022-28893,f00432063db1a0db484e85193eccc6845435b80e
torvalds/linux,CVE-2022-2938,a06247c6804f1a7c86a2e5398a4c1f1db1471848
torvalds/linux,CVE-2022-29582,e677edbcabee849bfdd43f1602bccbecf736a646
torvalds/linux,CVE-2022-2977,7e0438f83dc769465ee663bb5dcf8cc154940712
torvalds/linux,CVE-2022-2978,2e488f13755ffbb60f307e991b27024716a33b29
torvalds/linux,CVE-2022-3176,791f3465c4afde02d7f16cf7424ca87070b69396
torvalds/linux,CVE-2022-32250,520778042ccca019f3ffa136dd0ca565c486cedd
torvalds/linux,CVE-2022-3239,c08eadca1bdfa099e20a32f8fa4b52b2f672236d
torvalds/linux,CVE-2022-3344,16ae56d7e0528559bf8dc9070e3bfd8ba3de80df
torvalds/linux,CVE-2022-33743,f63c2c2032c2e3caad9add3b82cc6e91c376fd26
torvalds/linux,CVE-2022-3424,643a16a0eb1d6ac23744bb6e90a00fc21148a9dc
torvalds/linux,CVE-2022-3534,93c660ca40b5d2f7c1b1626e955a8e9fa30e0749
torvalds/linux,CVE-2022-3541,12aece8b01507a2d357a1861f470e83621fbb6f2
torvalds/linux,CVE-2022-3545,02e1a114fdb71e59ee6770294166c30d437bf86a
torvalds/linux,CVE-2022-3564,3aff8aaca4e36dc8b17eaa011684881a80238966
torvalds/linux,CVE-2022-3565,2568a7e0832ee30b0a351016d03062ab4e0e0a3f
torvalds/linux,CVE-2022-3586,9efd23297cca530bb35e1848665805d3fcdd7889
torvalds/linux,CVE-2022-3595,b854b4ee66437e6e1622fda90529c814978cb4ca
torvalds/linux,CVE-2022-3625,6b4db2e528f650c7fb712961aac36455468d5902
torvalds/linux,CVE-2022-3635,3f4093e2bf4673f218c0bf17d8362337c400e77b
torvalds/linux,CVE-2022-3636,17a5f6a78dc7b8db385de346092d7d9f9dc24df6
torvalds/linux,CVE-2022-3640,0d0e2d032811280b927650ff3c15fe5020e82533
torvalds/linux,CVE-2022-3649,d325dc6eb763c10f591c239550b8c7e5466a5d09
torvalds/linux,CVE-2022-3910,fc7222c3a9f56271fba02aabbfbae999042f1679
torvalds/linux,CVE-2022-3977,3a732b46736cd8a29092e4b0b1a9ba83e672bf89
torvalds/linux,CVE-2022-40307,9cb636b5f6a8cc6d1b50809ec8f8d33ae0c84c95
torvalds/linux,CVE-2022-4095,e230a4455ac3e9b112f0367d1b8e255e141afae0
torvalds/linux,CVE-2022-41218,fd3d91ab1c6ab0628fe642dd570b56302c30a792
torvalds/linux,CVE-2022-41222,97113eb39fa7972722ff490b947d8af023e1f6a2
torvalds/linux,CVE-2022-4128,5c835bb142d4013c2ab24bff5ae9f6709a39cbcf
torvalds/linux,CVE-2022-41850,cacdb14b1c8d3804a3a7d31773bc7569837b71a4
torvalds/linux,CVE-2022-42703,2555283eb40df89945557273121e9393ef9b542b
torvalds/linux,CVE-2022-42719,ff05d4b45dd89b922578dac497dcabf57cf771c6
torvalds/linux,CVE-2022-42720,0b7808818cb9df6680f98996b8e9a439fa7bcc2f
torvalds/linux,CVE-2022-42896,711f8c3fb3db61897080468586b970c87c61d9e4
torvalds/linux,CVE-2022-4379,75333d48f92256a0dec91dbf07835e804fc411c0
torvalds/linux,CVE-2022-4382,d18dcfe9860e842f394e37ba01ca9440ab2178f4
torvalds/linux,CVE-2022-45886,4172385b0c9ac366dcab78eda48c26814b87ed1a
torvalds/linux,CVE-2022-45888,282a4b71816b6076029017a7bab3a9dcee12a920
torvalds/linux,CVE-2022-45919,280a8ab81733da8bc442253c700a52c4c0886ffd
torvalds/linux,CVE-2022-4696,44526bedc2ff8fcd58552e3c5bae928524b6f13c
torvalds/linux,CVE-2022-47939,cf6531d98190fa2cf92a6d8bbc8af0a4740a223c
torvalds/linux,CVE-2022-47946,70aacfe66136809d7f080f89c492c278298719f4
torvalds/linux,CVE-2022-48628,e3dfcab2080dc1f9a4b09cc1327361bc2845bfcd
torvalds/linux,CVE-2023-0030,729eba3355674f2d9524629b73683ba1d1cd3f10
torvalds/linux,CVE-2023-0240,1e6fa5216a0e59ef02e8b6b40d553238a3b81d49
torvalds/linux,CVE-2023-0266,56b88b50565cd8b946a2d00b0c83927b7ebb055e
torvalds/linux,CVE-2023-0461,2c02d41d71f90a5168391b6a5f2954112ba2307c
torvalds/linux,CVE-2023-0468,a26a35e9019fd70bf3cf647dcfdae87abc7bacea
torvalds/linux,CVE-2023-0469,9d94c04c0db024922e886c9fd429659f22f48ea4
torvalds/linux,CVE-2023-0590,ebda44da44f6f309d302522b049f43d6f829f7aa
torvalds/linux,CVE-2023-1079,4ab3a086d10eeec1424f2e8a968827a6336203df
torvalds/linux,CVE-2023-1118,29b0589a865b6f66d141d79b2dd1373e4e50fe17
