repo,vul_id,fixed_commit_sha
FFmpeg/FFmpeg,CVE-2020-14212,dd273d359e45ab69398ac0dc41206d5f1a9371bf
FFmpeg/FFmpeg,CVE-2020-20448,8802e329c8317ca5ceb929df48a23eb0f9e852b2
FFmpeg/FFmpeg,CVE-2020-20450,3865b1952e5cf993b016d83ba78fe1deb63bbfad
FFmpeg/FFmpeg,CVE-2020-20891,64a805883d7223c868a683f0030837d859edd2ab
FFmpeg/FFmpeg,CVE-2020-20892,19587c9332f5be4f6bc6d7b2b8ef3fd21dfeaa01
FFmpeg/FFmpeg,CVE-2020-20898,99f8d32129dd233d4eb2efa44678a0bc44869f23
FFmpeg/FFmpeg,CVE-2020-22016,a95d2099b8edb6bb906751a7e27984de2d8930d8
FFmpeg/FFmpeg,CVE-2020-22019,e6b5c7a5fccf7237b2aceb4334dec53f181e0149
FFmpeg/FFmpeg,CVE-2020-22026,a9b8eda77306829c9165bc306aafd6e1a91f14c0
FFmpeg/FFmpeg,CVE-2020-22031,fd8b08ebbb27e841fd5527e4b800ab3738216e9d
FFmpeg/FFmpeg,CVE-2020-22036,8c3166e1c302c3ba80d9742ae46161c0fa8e2606
FFmpeg/FFmpeg,CVE-2020-22038,7c32e9cf93b712f8463573a59ed4e98fd10fa013
FFmpeg/FFmpeg,CVE-2020-22040,1a0c584abc9709b1d11dbafef05d22e0937d7d19
FFmpeg/FFmpeg,CVE-2020-22044,c7c2f4975b23dc2ba6b3324a41bb495fcb4656d6
FFmpeg/FFmpeg,CVE-2020-22046,bbc9751da67286d27f379dbe3b52ee3b55b0503e
FFmpeg/FFmpeg,CVE-2020-22048,64d2e0b20066058cf1c6dc3c49adab6d18d66fcc
FFmpeg/FFmpeg,CVE-2020-24020,584f396132aa19d21bb1e38ad9a5d428869290cb
FFmpeg/FFmpeg,CVE-2021-38091,99f8d32129dd233d4eb2efa44678a0bc44869f23
FFmpeg/FFmpeg,CVE-2021-38092,99f8d32129dd233d4eb2efa44678a0bc44869f23
FFmpeg/FFmpeg,CVE-2021-38093,99f8d32129dd233d4eb2efa44678a0bc44869f23
FFmpeg/FFmpeg,CVE-2021-38094,99f8d32129dd233d4eb2efa44678a0bc44869f23
FFmpeg/FFmpeg,CVE-2022-1475,757da974b21833529cc41bdcc9684c29660cdfa8
FFmpeg/FFmpeg,CVE-2022-2566,c953baa084607dd1d84c3bfcce3cf6a87c3e6e05
FFmpeg/FFmpeg,CVE-2022-3964,92f9b28ed84a77138105475beba16c146bdaf984
FFmpeg/FFmpeg,CVE-2022-3965,13c13109759090b7f7182480d075e13b36ed8edd
FFmpeg/FFmpeg,CVE-2023-47470,4565747056a11356210ed8edcecb920105e40b60
FFmpeg/FFmpeg,CVE-2023-50008,5f87a68cf70dafeab2fb89b42e41a4c29053b89b
FFmpeg/FFmpeg,CVE-2024-22862,ca09d8a0dcd82e3128e62463231296aaf63ae6f7
FFmpeg/FFmpeg,CVE-2024-31582,99debe5f823f45a482e1dc08de35879aa9c74bd2
